AERONET Version 3
Beijing_PKU
Version 3: AOD Level 1.5
The following data are cloud cleared and quality controls have been applied but these data may not have final calibration applied.  These data may change.
Contact: PI=Jing_Li; PI Email=Jing-li@pku.edu.cn
All Points,UNITS can be found at,,, https://aeronet.gsfc.nasa.gov/new_web/units.html
Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,Triplet_Variability_1640,Triplet_Variability_1020,Triplet_Variability_870,Triplet_Variability_865,Triplet_Variability_779,Triplet_Variability_675,Triplet_Variability_667,Triplet_Variability_620,Triplet_Variability_560,Triplet_Variability_555,Triplet_Variability_551,Triplet_Variability_532,Triplet_Variability_531,Triplet_Variability_510,Triplet_Variability_500,Triplet_Variability_490,Triplet_Variability_443,Triplet_Variability_440,Triplet_Variability_412,Triplet_Variability_400,Triplet_Variability_380,Triplet_Variability_340,Triplet_Variability_Precipitable_Water(cm),Triplet_Variability_681,Triplet_Variability_709,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),Solar_Zenith_Angle(Degrees),Optical_Air_Mass,Sensor_Temperature(Degrees_C),Ozone(Dobson),NO2(Dobson),Last_Date_Processed,Number_of_Wavelengths,Exact_Wavelengths_of_AOD(um)_1640nm,Exact_Wavelengths_of_AOD(um)_1020nm,Exact_Wavelengths_of_AOD(um)_870nm,Exact_Wavelengths_of_AOD(um)_865nm,Exact_Wavelengths_of_AOD(um)_779nm,Exact_Wavelengths_of_AOD(um)_675nm,Exact_Wavelengths_of_AOD(um)_667nm,Exact_Wavelengths_of_AOD(um)_620nm,Exact_Wavelengths_of_AOD(um)_560nm,Exact_Wavelengths_of_AOD(um)_555nm,Exact_Wavelengths_of_AOD(um)_551nm,Exact_Wavelengths_of_AOD(um)_532nm,Exact_Wavelengths_of_AOD(um)_531nm,Exact_Wavelengths_of_AOD(um)_510nm,Exact_Wavelengths_of_AOD(um)_500nm,Exact_Wavelengths_of_AOD(um)_490nm,Exact_Wavelengths_of_AOD(um)_443nm,Exact_Wavelengths_of_AOD(um)_440nm,Exact_Wavelengths_of_AOD(um)_412nm,Exact_Wavelengths_of_AOD(um)_400nm,Exact_Wavelengths_of_AOD(um)_380nm,Exact_Wavelengths_of_AOD(um)_340nm,Exact_Wavelengths_of_PW(um)_935nm,Exact_Wavelengths_of_AOD(um)_681nm,Exact_Wavelengths_of_AOD(um)_709nm,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty
20:01:2021,01:36:22,20,20.066921,0.145842,0.241124,0.298618,-999.000000,-999.000000,0.419033,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.634247,-999.000000,-999.000000,0.750260,-999.000000,-999.000000,0.872856,0.961640,0.490302,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000643,0.002588,0.002787,-999.000000,-999.000000,0.004050,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.005135,-999.000000,-999.000000,0.006126,-999.000000,-999.000000,0.005277,0.003736,0.004162,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.360529,1.155064,1.367168,1.366749,0.958150,-999.000000,lev15,779,Beijing_PKU,39.992000,116.310200,53.000000,71.836351,3.179887,-2.500000,359.149112,1.086115,10:05:2024,9,1.640300,1.019600,0.868700,-999.,-999.,0.674900,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500500,-999.,-999.,0.440200,-999.,-999.,0.379900,0.339400,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
20:01:2021,01:41:22,20,20.070394,0.146563,0.242594,0.300289,-999.000000,-999.000000,0.421017,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.635825,-999.000000,-999.000000,0.751943,-999.000000,-999.000000,0.873353,0.964032,0.487544,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001100,0.003885,0.004339,-999.000000,-999.000000,0.006694,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.008474,-999.000000,-999.000000,0.010971,-999.000000,-999.000000,0.011919,0.010893,0.011609,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.355210,1.148005,1.361066,1.361084,0.958470,-999.000000,lev15,779,Beijing_PKU,39.992000,116.310200,53.000000,71.206720,3.078947,-2.100000,359.149969,1.086092,10:05:2024,9,1.640300,1.019600,0.868700,-999.,-999.,0.674900,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500500,-999.,-999.,0.440200,-999.,-999.,0.379900,0.339400,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
20:01:2021,01:52:00,20,20.077778,0.151249,0.245680,0.303077,-999.000000,-999.000000,0.423484,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.639045,-999.000000,-999.000000,0.754365,-999.000000,-999.000000,0.877539,0.968914,0.487981,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000842,0.002021,0.002760,-999.000000,-999.000000,0.004151,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.007613,-999.000000,-999.000000,0.008926,-999.000000,-999.000000,0.009920,0.011845,0.010602,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.347286,1.147310,1.355533,1.353636,0.965711,-999.000000,lev15,779,Beijing_PKU,39.992000,116.310200,53.000000,69.912079,2.891144,-1.100000,359.151791,1.086042,10:05:2024,9,1.640300,1.019600,0.868700,-999.,-999.,0.674900,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500500,-999.,-999.,0.440200,-999.,-999.,0.379900,0.339400,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
20:01:2021,01:56:22,20,20.080810,0.151075,0.242022,0.297877,-999.000000,-999.000000,0.414093,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.624596,-999.000000,-999.000000,0.737738,-999.000000,-999.000000,0.859463,0.950334,0.481076,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000877,0.002004,0.001751,-999.000000,-999.000000,0.004067,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.007103,-999.000000,-999.000000,0.008367,-999.000000,-999.000000,0.012651,0.013976,0.011442,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.340357,1.154833,1.355534,1.343803,0.976895,-999.000000,lev15,779,Beijing_PKU,39.992000,116.310200,53.000000,69.398557,2.823171,-0.700000,359.152539,1.086022,10:05:2024,9,1.640300,1.019600,0.868700,-999.,-999.,0.674900,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500500,-999.,-999.,0.440200,-999.,-999.,0.379900,0.339400,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
20:01:2021,02:01:22,20,20.084282,0.151579,0.242145,0.298259,-999.000000,-999.000000,0.414549,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.625881,-999.000000,-999.000000,0.740456,-999.000000,-999.000000,0.861932,0.953570,0.473819,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000320,0.000561,0.000748,-999.000000,-999.000000,0.001350,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001181,-999.000000,-999.000000,0.001528,-999.000000,-999.000000,0.005274,0.005192,0.002268,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.343581,1.157576,1.361063,1.345260,0.975602,-999.000000,lev15,779,Beijing_PKU,39.992000,116.310200,53.000000,68.823982,2.751029,-0.500000,359.153396,1.085999,10:05:2024,9,1.640300,1.019600,0.868700,-999.,-999.,0.674900,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500500,-999.,-999.,0.440200,-999.,-999.,0.379900,0.339400,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
20:01:2021,02:06:22,20,20.087755,0.153030,0.243692,0.299846,-999.000000,-999.000000,0.417061,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.629910,-999.000000,-999.000000,0.745704,-999.000000,-999.000000,0.869186,0.960290,0.469229,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001261,0.002954,0.003311,-999.000000,-999.000000,0.005008,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.008127,-999.000000,-999.000000,0.008875,-999.000000,-999.000000,0.008772,0.008106,0.007565,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.345930,1.164743,1.363257,1.347254,0.975903,-999.000000,lev15,779,Beijing_PKU,39.992000,116.310200,53.000000,68.264120,2.684417,-0.300000,359.154253,1.085976,10:05:2024,9,1.640300,1.019600,0.868700,-999.,-999.,0.674900,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500500,-999.,-999.,0.440200,-999.,-999.,0.379900,0.339400,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
20:01:2021,02:11:22,20,20.091227,0.153498,0.244500,0.301267,-999.000000,-999.000000,0.419035,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.633013,-999.000000,-999.000000,0.749974,-999.000000,-999.000000,0.873461,0.965914,0.464505,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000293,0.000850,0.000799,-999.000000,-999.000000,0.002350,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.004014,-999.000000,-999.000000,0.005033,-999.000000,-999.000000,0.006436,0.006488,0.004406,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.347133,1.164585,1.365268,1.347597,0.976108,-999.000000,lev15,779,Beijing_PKU,39.992000,116.310200,53.000000,67.719365,2.622835,-0.100000,359.155110,1.085952,10:05:2024,9,1.640300,1.019600,0.868700,-999.,-999.,0.674900,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500500,-999.,-999.,0.440200,-999.,-999.,0.379900,0.339400,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
20:01:2021,02:16:22,20,20.094699,0.155687,0.248754,0.306566,-999.000000,-999.000000,0.427356,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.647230,-999.000000,-999.000000,0.767642,-999.000000,-999.000000,0.894982,0.990738,0.468468,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000620,0.001193,0.001392,-999.000000,-999.000000,0.002208,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.004109,-999.000000,-999.000000,0.004648,-999.000000,-999.000000,0.006911,0.006608,0.006509,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.355734,1.172293,1.373755,1.356254,0.984103,-999.000000,lev15,779,Beijing_PKU,39.992000,116.310200,53.000000,67.190110,2.565847,0.000000,359.155967,1.085929,10:05:2024,9,1.640300,1.019600,0.868700,-999.,-999.,0.674900,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500500,-999.,-999.,0.440200,-999.,-999.,0.379900,0.339400,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
20:01:2021,02:21:22,20,20.098171,0.154705,0.246913,0.304455,-999.000000,-999.000000,0.424842,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.642998,-999.000000,-999.000000,0.762711,-999.000000,-999.000000,0.888898,0.984620,0.465112,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000362,0.000934,0.001104,-999.000000,-999.000000,0.002897,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.005167,-999.000000,-999.000000,0.004596,-999.000000,-999.000000,0.009326,0.011040,0.006254,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.356048,1.171304,1.372320,1.356802,0.984885,-999.000000,lev15,779,Beijing_PKU,39.992000,116.310200,53.000000,66.676752,2.513069,0.000000,359.156823,1.085906,10:05:2024,9,1.640300,1.019600,0.868700,-999.,-999.,0.674900,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500500,-999.,-999.,0.440200,-999.,-999.,0.379900,0.339400,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
20:01:2021,02:26:22,20,20.101644,0.157098,0.250341,0.308569,-999.000000,-999.000000,0.429761,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.650488,-999.000000,-999.000000,0.770515,-999.000000,-999.000000,0.896430,0.992504,0.459130,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000760,0.001244,0.002569,-999.000000,-999.000000,0.003216,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.004956,-999.000000,-999.000000,0.005897,-999.000000,-999.000000,0.004577,0.005615,0.006295,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.352086,1.159899,1.369793,1.353570,0.976242,-999.000000,lev15,779,Beijing_PKU,39.992000,116.310200,53.000000,66.179684,2.464163,0.100000,359.157680,1.085883,10:05:2024,9,1.640300,1.019600,0.868700,-999.,-999.,0.674900,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500500,-999.,-999.,0.440200,-999.,-999.,0.379900,0.339400,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
