cern_site,cern_lat,cern_lon,matched_carsnet_site,carsnet_lat,carsnet_lon,distance_km,suggested_AOD_fixed,aod_method,match_quality,top3_candidates
LSA,29.666667,91.333333,Lhasa,29.666667,91.133333,19.323920,0.061266,pooled_median_after_tukey_filter,good,Lhasa:19.3km; Shangrila:883.8km; Waliguan:1155.5km
FKD,47.292667,87.933667,Akedala,47.100000,87.966667,21.568161,0.081702,pooled_median_after_tukey_filter,good,Akedala:21.6km; Urumqi:391.0km; Dunhuang:960.9km
NMG,43.633333,116.700000,Xilinhot,43.950000,116.116667,58.584866,0.074374,pooled_median_after_tukey_filter,good,Xilinhot:58.6km; Shangdianzi:333.5km; Nanjiao:426.7km
FQA,35.000100,114.400000,Zhengzhou,34.716667,113.650000,75.340537,0.433254,pooled_median_after_tukey_filter,good,Zhengzhou:75.3km; Yushe:262.7km; Shouxian:362.3km
BJF,39.966667,115.433333,Daxing,39.450000,116.200000,87.187122,0.202756,pooled_median_after_tukey_filter,good,Daxing:87.2km; Nanjiao:90.1km; Gucheng:113.6km
DHL,30.616667,114.350000,Jinsha,29.633333,114.200000,110.289265,0.165435,pooled_median_after_tukey_filter,usable,Jinsha:110.3km; Shouxian:305.7km; Zhengzhou:460.6km
CSA,31.533333,120.683333,Shanghai,31.516670,121.958330,120.862680,0.263714,pooled_median_after_tukey_filter,usable,Shanghai:120.9km; LinAn:173.9km; Shouxian:380.3km
DTL,29.500000,112.800000,Jinsha,29.633333,114.200000,136.209906,0.165435,pooled_median_after_tukey_filter,usable,Jinsha:136.2km; Shouxian:499.7km; Zhengzhou:585.6km
HBG,37.533333,101.250000,Waliguan,36.283330,100.900000,142.434623,0.073898,pooled_median_after_tukey_filter,usable,Waliguan:142.4km; Minqin:201.8km; Ejina:491.4km
THL,31.421000,120.215333,LinAn,30.216667,119.700000,142.670739,0.214220,pooled_median_after_tukey_filter,usable,LinAn:142.7km; Shanghai:165.6km; Shouxian:341.9km
CWA,35.200000,107.666667,XiAn,34.433333,108.966667,146.118925,0.328660,pooled_median_after_tukey_filter,usable,XiAn:146.1km; Yushe:520.5km; Zhengzhou:547.8km
LCA,37.884000,114.684167,Yushe,37.066667,112.983333,175.458379,0.280981,pooled_median_after_tukey_filter,usable,Yushe:175.5km; Gucheng:206.2km; Daxing:218.3km
SPD,37.466667,105.000100,Minqin,38.633333,103.083333,212.120243,0.180501,pooled_median_after_tukey_filter,usable,Minqin:212.1km; Waliguan:387.7km; XiAn:491.1km
HJA,24.733333,108.316667,Nanning,22.633333,108.216667,233.731270,0.329491,pooled_median_after_tukey_filter,usable,Nanning:233.7km; Jinsha:796.9km; Shangrila:886.1km
