cern_site,cern_lat,cern_lon,matched_carsnet_site,carsnet_lat,carsnet_lon,distance_km,suggested_AOD_fixed,aod_method,match_quality,top3_candidates,source_wavelength_nm,target_wavelength_nm,angstrom_exponent,conversion_factor_550_to_497p5,suggested_AOD_fixed_497p5nm
AKA,40.616833,80.828833,Tazhong,39.000000,83.666667,301.769858,0.216727,pooled_p20_after_tukey_filter,distant,Tazhong (301.8 km); Urumqi (660.4 km); Akedala (919.6 km),550.000000,497.500000,1.300000,1.139306,0.246918
ALF,24.533333,101.016667,Shangrila,28.033333,100.216667,397.266759,0.036038,pooled_p20_after_tukey_filter,distant,Shangrila (397.3 km); Nanning (763.4 km); Lhasa (1131.9 km),550.000000,497.500000,1.300000,1.139306,0.041058
ASA,36.857333,109.323167,XiAn,34.433333,108.966667,271.454014,0.248358,pooled_p20_after_tukey_filter,fair,XiAn (271.5 km); Yushe (326.0 km); Zhengzhou (457.1 km),550.000000,497.500000,1.300000,1.139306,0.282956
BJF,39.966667,115.433333,Daxing,39.450000,116.200000,87.187122,0.102878,pooled_p20_after_tukey_filter,good,Daxing (87.2 km); Nanjiao (90.1 km); Gucheng (113.6 km),550.000000,497.500000,1.300000,1.139306,0.117210
BNF,21.916667,101.266667,Shangrila,28.033333,100.216667,688.314882,0.036038,pooled_p20_after_tukey_filter,distant,Shangrila (688.3 km); Nanning (719.5 km); Lhasa (1329.9 km),550.000000,497.500000,1.300000,1.139306,0.041058
CBF,42.400000,128.100000,LongFS,44.733300,127.600000,262.558340,0.079027,pooled_p20_after_tukey_filter,fair,LongFS (262.6 km); Dalian (669.8 km); Shangdianzi (934.1 km),550.000000,497.500000,1.300000,1.139306,0.090036
CLD,37.016667,80.716667,Tazhong,39.000000,83.666667,339.723996,0.216727,pooled_p20_after_tukey_filter,distant,Tazhong (339.7 km); Urumqi (951.9 km); Dunhuang (1261.5 km),550.000000,497.500000,1.300000,1.139306,0.246918
CSA,31.533333,120.683333,Shanghai,31.516670,121.958330,120.862680,0.171030,pooled_p20_after_tukey_filter,good,Shanghai (120.9 km); LinAn (173.9 km); Shouxian (380.3 km),550.000000,497.500000,1.300000,1.139306,0.194856
CWA,35.200000,107.666667,XiAn,34.433333,108.966667,146.118925,0.248358,pooled_p20_after_tukey_filter,good,XiAn (146.1 km); Yushe (520.5 km); Zhengzhou (547.8 km),550.000000,497.500000,1.300000,1.139306,0.282956
DHF,23.166667,112.550000,Nanning,22.633333,108.216667,447.794128,0.217688,pooled_p20_after_tukey_filter,distant,Nanning (447.8 km); Jinsha (737.6 km); LinAn (1057.3 km),550.000000,497.500000,1.300000,1.139306,0.248013
DHL,30.616667,114.350000,Jinsha,29.633333,114.200000,110.289265,0.119018,pooled_p20_after_tukey_filter,good,Jinsha (110.3 km); Shouxian (305.7 km); Zhengzhou (460.6 km),550.000000,497.500000,1.300000,1.139306,0.135598
DTL,29.500000,112.800000,Jinsha,29.633333,114.200000,136.209906,0.119018,pooled_p20_after_tukey_filter,good,Jinsha (136.2 km); Shouxian (499.7 km); Zhengzhou (585.6 km),550.000000,497.500000,1.300000,1.139306,0.135598
DYB,22.533333,114.516667,Nanning,22.633333,108.216667,646.860246,0.217688,pooled_p20_after_tukey_filter,distant,Nanning (646.9 km); Jinsha (790.1 km); LinAn (997.9 km),550.000000,497.500000,1.300000,1.139306,0.248013
ESD,39.483333,110.183333,Datong,40.083333,113.416667,284.210908,0.098252,pooled_p20_after_tukey_filter,fair,Datong (284.2 km); Yushe (363.2 km); Daxing (516.4 km),550.000000,497.500000,1.300000,1.139306,0.111939
FKD,47.292667,87.933667,Akedala,47.100000,87.966667,21.568161,0.055271,pooled_p20_after_tukey_filter,excellent,Akedala (21.6 km); Urumqi (391.0 km); Dunhuang (960.9 km),550.000000,497.500000,1.300000,1.139306,0.062971
FQA,35.000100,114.400000,Zhengzhou,34.716667,113.650000,75.340537,0.165088,pooled_p20_after_tukey_filter,good,Zhengzhou (75.3 km); Yushe (262.7 km); Shouxian (362.3 km),550.000000,497.500000,1.300000,1.139306,0.188086
GGF,29.583333,102.000100,Shangrila,28.033333,100.216667,244.735750,0.036038,pooled_p20_after_tukey_filter,fair,Shangrila (244.7 km); Waliguan (752.0 km); XiAn (849.5 km),550.000000,497.500000,1.300000,1.139306,0.041058
GGS,29.650000,102.116667,Shangrila,28.033333,100.216667,257.990227,0.036038,pooled_p20_after_tukey_filter,fair,Shangrila (258.0 km); Waliguan (746.3 km); XiAn (836.1 km),550.000000,497.500000,1.300000,1.139306,0.041058
HBG,37.533333,101.250000,Waliguan,36.283330,100.900000,142.434623,0.048076,pooled_p20_after_tukey_filter,good,Waliguan (142.4 km); Minqin (201.8 km); Ejina (491.4 km),550.000000,497.500000,1.300000,1.139306,0.054773
HJA,24.733333,108.316667,Nanning,22.633333,108.216667,233.731270,0.217688,pooled_p20_after_tukey_filter,fair,Nanning (233.7 km); Jinsha (796.9 km); Shangrila (886.1 km),550.000000,497.500000,1.300000,1.139306,0.248013
HLA,47.450000,126.916667,LongFS,44.733300,127.600000,306.641193,0.079027,pooled_p20_after_tukey_filter,distant,LongFS (306.6 km); Xilinhot (923.6 km); Dalian (1042.2 km),550.000000,497.500000,1.300000,1.139306,0.090036
