site,output_exists,rows,has_aod,aod_min,aod_max,aod_unique,column_count
AKA,True,676.0,True,0.429141,0.429141,1.0,47
ALF,False,,False,,,,0
ASA,True,1017.0,True,0.374444,0.374444,1.0,47
BJC,True,336.0,True,0.044959,1.295662,336.0,47
BJF,True,0.0,True,,,,47
BNF,True,546.0,True,0.06233,0.06233,1.0,47
CBF,True,373.0,True,0.14229,0.14229,1.0,47
CLD,True,562.0,True,0.429141,0.429141,1.0,47
CSA,True,526.0,True,0.300451,0.300451,1.0,47
CWA,True,773.0,True,0.374444,0.374444,1.0,47
DHF,True,352.0,True,0.375391,0.375391,1.0,47
DHL,True,284.0,True,0.188481,0.188481,1.0,47
DTL,False,,False,,,,0
DYB,False,,False,,,,0
ESD,True,733.0,True,0.198181,0.198181,1.0,47
FKD,True,562.0,True,0.093084,0.093084,1.0,47
FQA,True,756.0,True,0.493609,0.493609,1.0,47
GGF,False,,False,,,,0
GGS,True,156.0,True,0.06233,0.06233,1.0,47
HBG,False,,False,,,,0
HJA,True,235.0,True,0.375391,0.375391,1.0,47
HLA,True,594.0,True,0.14229,0.14229,1.0,47
HSF,True,280.0,True,0.375391,0.375391,1.0,47
HTF,True,368.0,True,0.375391,0.375391,1.0,47
JZB,True,761.0,True,0.175416,0.175416,1.0,47
LCA,True,397.0,True,0.320123,0.320123,1.0,47
LSA,True,1105.0,True,0.069801,0.069801,1.0,47
LZD,True,1159.0,True,0.205646,0.205646,1.0,47
MXF,True,293.0,True,0.06233,0.06233,1.0,47
NMD,True,882.0,True,0.084735,0.084735,1.0,47
NMG,True,726.0,True,0.084735,0.084735,1.0,47
PDF,True,161.0,True,0.375391,0.375391,1.0,47
QYA,True,529.0,True,0.188481,0.188481,1.0,47
QYF,False,,False,,,,0
SJM,True,799.0,True,0.14229,0.14229,1.0,47
SNF,True,412.0,True,0.374444,0.374444,1.0,47
SPD,False,,False,,,,0
SYA,False,,False,,,,0
SYB,True,802.0,True,0.375391,0.375391,1.0,47
THL,True,626.0,True,0.244062,0.244062,1.0,47
TYA,False,,False,,,,0
YCA,True,1028.0,True,0.283116,0.283116,1.0,47
YGA,True,0.0,True,,,,47
YTA,True,756.0,True,0.188481,0.188481,1.0,47
