wavelength/nm,wavenumber/cm-1,RSRF/1
395,25316.45569620253,0.000124
396,25252.52525252525,0.000155
397,25188.91687657431,0.000196
398,25125.628140703517,0.000243
399,25062.65664160401,0.000294
400,25000.0,0.00034500000000000004
401,24937.65586034913,0.000395
402,24875.621890547263,0.000442
403,24813.89578163772,0.000482
404,24752.47524752475,0.0005149999999999999
405,24691.35802469136,0.000543
406,24630.54187192118,0.000567
407,24570.02457002457,0.0005899999999999999
408,24509.803921568626,0.000613
409,24449.877750611246,0.000639
410,24390.243902439026,0.000664
411,24330.900243309003,0.000692
412,24271.844660194176,0.000721
413,24213.075060532687,0.00075
414,24154.589371980677,0.0007779999999999999
415,24096.385542168675,0.000802
416,24038.46153846154,0.000825
417,23980.815347721822,0.000849
418,23923.444976076556,0.000877
419,23866.34844868735,0.000915
420,23809.52380952381,0.000965
421,23752.969121140144,0.0010249999999999999
422,23696.682464454978,0.001088
423,23640.66193853428,0.001149
424,23584.905660377357,0.001204
425,23529.41176470588,0.001253
426,23474.17840375587,0.0013009999999999999
427,23419.2037470726,0.001349
428,23364.48598130841,0.001399
429,23310.02331002331,0.001452
430,23255.81395348837,0.0015040000000000001
431,23201.85614849188,0.001553
432,23148.14814814815,0.0016
433,23094.688221709006,0.0016439999999999998
434,23041.474654377882,0.001686
435,22988.505747126437,0.001729
436,22935.77981651376,0.001772
437,22883.29519450801,0.001812
438,22831.0502283105,0.0018440000000000002
439,22779.04328018223,0.001862
440,22727.272727272728,0.001865
441,22675.736961451246,0.0018599999999999999
442,22624.43438914027,0.0018579999999999998
443,22573.363431151243,0.001872
444,22522.522522522522,0.001908
445,22471.91011235955,0.001956
446,22421.52466367713,0.001999
447,22371.364653243847,0.0020210000000000002
448,22321.428571428572,0.002011
449,22271.714922049,0.001978
450,22222.222222222223,0.0019370000000000001
451,22172.949002217294,0.001901
452,22123.893805309734,0.00188
453,22075.05518763797,0.0018659999999999998
454,22026.431718061674,0.0018479999999999998
455,21978.021978021978,0.001815
456,21929.824561403508,0.001762
457,21881.83807439825,0.001693
458,21834.06113537118,0.001618
459,21786.49237472767,0.0015459999999999998
460,21739.130434782608,0.0014810000000000001
461,21691.973969631235,0.0014219999999999999
462,21645.021645021647,0.0013650000000000001
463,21598.272138228942,0.0013109999999999999
464,21551.724137931036,0.001261
465,21505.37634408602,0.001216
466,21459.227467811157,0.001178
467,21413.276231263382,0.001149
468,21367.521367521367,0.001133
469,21321.961620469083,0.0011229999999999999
470,21276.59574468085,0.001118
471,21231.422505307855,0.001118
472,21186.4406779661,0.001126
473,21141.649048625794,0.001145
474,21097.04641350211,0.001173
475,21052.63157894737,0.001215
476,21008.40336134454,0.0013239999999999999
477,20964.360587002095,0.001452
478,20920.50209205021,0.001596
479,20876.826722338206,0.001749
480,20833.333333333332,0.001908
481,20790.02079002079,0.002074
482,20746.887966804978,0.002253
483,20703.933747412008,0.002448
484,20661.15702479339,0.002662
485,20618.556701030928,0.0028870000000000002
486,20576.1316872428,0.003107
487,20533.88090349076,0.003301
488,20491.803278688523,0.003449
489,20449.89775051125,0.0035470000000000002
490,20408.163265306124,0.003592
491,20366.598778004074,0.00359
492,20325.20325203252,0.003539
493,20283.97565922921,0.003448
494,20242.914979757086,0.00333
495,20202.0202020202,0.0031869999999999997
496,20161.290322580644,0.003049
497,20120.72434607646,0.002889
498,20080.321285140562,0.0027500000000000003
499,20040.080160320642,0.002811
500,20000.0,0.003054
501,19960.079840319362,0.0033789999999999996
502,19920.3187250996,0.003787
503,19880.715705765408,0.004294
504,19841.26984126984,0.004919
505,19801.980198019803,0.005677
506,19762.845849802372,0.006581
507,19723.865877712033,0.0076419999999999995
508,19685.03937007874,0.008872999999999999
509,19646.365422396855,0.010287999999999999
510,19607.843137254902,0.011918
511,19569.471624266145,0.013916999999999999
512,19531.25,0.016413999999999998
513,19493.17738791423,0.019649
514,19455.252918287937,0.023411
515,19417.47572815534,0.027627000000000002
516,19379.84496124031,0.032288000000000004
517,19342.35976789168,0.03743
518,19305.019305019305,0.043117
519,19267.82273603083,0.049436999999999995
520,19230.76923076923,0.056498999999999994
521,19193.857965451054,0.064368
522,19157.088122605364,0.073098
523,19120.458891013383,0.082731
524,19083.969465648854,0.093288
525,19047.619047619046,0.10472200000000001
526,19011.406844106463,0.116926
527,18975.332068311196,0.12972799999999998
528,18939.39393939394,0.142963
529,18903.59168241966,0.156761
530,18867.924528301886,0.171432
531,18832.391713747646,0.187422
532,18796.992481203008,0.20523599999999997
533,18761.72607879925,0.225086
534,18726.591760299627,0.24707
535,18691.58878504673,0.271256
536,18656.716417910447,0.29753799999999997
537,18621.973929236497,0.32520400000000005
538,18587.36059479554,0.353232
539,18552.875695732837,0.3804
540,18518.51851851852,0.405547
541,18484.288354898337,0.428488
542,18450.18450184502,0.449486
543,18416.206261510128,0.46901600000000004
544,18382.352941176472,0.487611
545,18348.623853211007,0.505375
546,18315.018315018315,0.522379
547,18281.535648994515,0.5390630000000001
548,18248.17518248175,0.555778
549,18214.936247723133,0.572165
550,18181.81818181818,0.5876359999999999
551,18148.820326678764,0.6015550000000001
552,18115.942028985508,0.613465
553,18083.182640144667,0.623688
554,18050.54151624549,0.632767
555,18018.018018018018,0.641262
556,17985.61151079137,0.6496989999999999
557,17953.321364452422,0.658415
558,17921.14695340502,0.6677190000000001
559,17889.08765652952,0.677938
560,17857.14285714286,0.689272
561,17825.311942959,0.7013349999999999
562,17793.59430604982,0.7135720000000001
563,17761.989342806395,0.725404
564,17730.49645390071,0.736304
565,17699.11504424779,0.74602
566,17667.844522968197,0.7544249999999999
567,17636.68430335097,0.761644
568,17605.6338028169,0.767879
569,17574.69244288225,0.773385
570,17543.859649122805,0.7784359999999999
571,17513.134851138355,0.7833110000000001
572,17482.517482517484,0.788255
573,17452.00698080279,0.7933549999999999
574,17421.602787456446,0.79866
575,17391.304347826088,0.804211
576,17361.11111111111,0.810063
577,17331.02253032929,0.816362
578,17301.038062283737,0.823284
579,17271.157167530226,0.8310219999999999
580,17241.379310344826,0.8397549999999999
581,17211.70395869191,0.8495140000000001
582,17182.13058419244,0.860305
583,17152.658662092625,0.872132
584,17123.287671232876,0.8848309999999999
585,17094.017094017094,0.8975270000000001
586,17064.846416382254,0.909226
587,17035.775127768313,0.919237
588,17006.802721088436,0.9270499999999999
589,16977.92869269949,0.932555
590,16949.15254237288,0.935753
591,16920.47377326565,0.9366589999999999
592,16891.891891891893,0.935485
593,16863.406408094434,0.933189
594,16835.016835016835,0.9309099999999999
595,16806.722689075632,0.9297799999999999
596,16778.523489932886,0.930727
597,16750.418760469012,0.9338580000000001
598,16722.408026755853,0.9390909999999999
599,16694.49081803005,0.946358
600,16666.666666666668,0.955457
601,16638.935108153077,0.9656100000000001
602,16611.295681063122,0.975872
603,16583.74792703151,0.985278
604,16556.29139072848,0.9928959999999999
605,16528.92561983471,0.998003
606,16501.6501650165,1.0
607,16474.464579901152,0.998579
608,16447.36842105263,0.993719
609,16420.361247947454,0.986217
610,16393.44262295082,0.9770730000000001
611,16366.612111292963,0.9672719999999999
612,16339.869281045752,0.957692
613,16313.21370309951,0.948798
614,16286.644951140066,0.940951
615,16260.162601626016,0.934508
616,16233.766233766233,0.929696
617,16207.45542949757,0.926255
618,16181.229773462783,0.923808
619,16155.08885298869,0.921979
620,16129.032258064517,0.92047
621,16103.05958132045,0.9192659999999999
622,16077.170418006432,0.91842
623,16051.364365971107,0.917987
624,16025.641025641025,0.9179689999999999
625,16000.0,0.918161
626,15974.44089456869,0.9182819999999999
627,15948.96331738437,0.917954
628,15923.566878980891,0.91679
629,15898.25119236884,0.9144629999999999
630,15873.015873015873,0.910667
631,15847.860538827259,0.905098
632,15822.784810126583,0.897506
633,15797.788309636651,0.887828
634,15772.870662460567,0.876058
635,15748.031496062993,0.862206
636,15723.270440251572,0.84643
637,15698.587127158557,0.8294370000000001
638,15673.98119122257,0.8120499999999999
639,15649.452269170579,0.79506
640,15625.0,0.779192
641,15600.624024960998,0.764993
642,15576.32398753894,0.752958
643,15552.099533437015,0.7435590000000001
644,15527.950310559007,0.737182
645,15503.875968992248,0.733873
646,15479.876160990712,0.7335729999999999
647,15455.950540958269,0.736082
648,15432.098765432098,0.741064
649,15408.320493066256,0.7477509999999999
650,15384.615384615385,0.755265
651,15360.983102918586,0.7627290000000001
652,15337.423312883435,0.7693800000000001
653,15313.935681470139,0.774975
654,15290.51987767584,0.7793869999999999
655,15267.175572519083,0.782483
656,15243.90243902439,0.784192
657,15220.700152207002,0.784716
658,15197.568389057751,0.7843340000000001
659,15174.506828528072,0.783332
660,15151.515151515152,0.7820050000000001
661,15128.593040847201,0.780659
662,15105.740181268882,0.779607
663,15082.956259426848,0.779174
664,15060.240963855422,0.7796120000000001
665,15037.593984962406,0.780855
666,15015.015015015015,0.782756
667,14992.503748125937,0.785172
668,14970.059880239522,0.787908
669,14947.683109118087,0.7905599999999999
670,14925.373134328358,0.792671
671,14903.129657228017,0.793778
672,14880.952380952382,0.7935
673,14858.84101040119,0.79176
674,14836.79525222552,0.7885639999999999
675,14814.814814814816,0.783916
676,14792.899408284024,0.777907
677,14771.048744460857,0.7709560000000001
678,14749.262536873157,0.7635609999999999
679,14727.540500736377,0.756219
680,14705.882352941177,0.7494379999999999
681,14684.287812041115,0.743787
682,14662.756598240469,0.739845
683,14641.288433382138,0.738195
684,14619.883040935672,0.739334
685,14598.540145985402,0.743412
686,14577.25947521866,0.750389
687,14556.040756914119,0.759795
688,14534.883720930233,0.771049
689,14513.78809869376,0.783601
690,14492.753623188406,0.7968959999999999
691,14471.78002894356,0.810371
692,14450.86705202312,0.823446
693,14430.01443001443,0.835518
694,14409.22190201729,0.8459720000000001
695,14388.489208633093,0.854191
696,14367.816091954022,0.8597459999999999
697,14347.202295552368,0.862959
698,14326.647564469915,0.864349
699,14306.15164520744,0.864447
700,14285.714285714286,0.86369
701,14265.335235378032,0.862149
702,14245.014245014245,0.859804
703,14224.75106685633,0.85663
704,14204.545454545454,0.852638
705,14184.397163120568,0.847974
706,14164.305949008498,0.8428230000000001
707,14144.271570014143,0.837405
708,14124.293785310734,0.831934
709,14104.372355430183,0.826595
710,14084.507042253521,0.821562
711,14064.697609001407,0.8170059999999999
712,14044.943820224718,0.813116
713,14025.245441795232,0.810153
714,14005.602240896358,0.8083899999999999
715,13986.013986013986,0.8081
716,13966.480446927375,0.809495
717,13947.001394700139,0.81256
718,13927.57660167131,0.817233
719,13908.205841446454,0.823459
720,13888.888888888889,0.831187
721,13869.625520110956,0.84032
722,13850.415512465373,0.850755
723,13831.258644536652,0.8623869999999999
724,13812.154696132597,0.8749720000000001
725,13793.103448275862,0.8876919999999999
726,13774.104683195592,0.899594
727,13755.15818431912,0.909834
728,13736.263736263736,0.9177620000000001
729,13717.421124828532,0.923409
730,13698.630136986301,0.926985
731,13679.890560875512,0.9287059999999999
732,13661.20218579235,0.9286679999999999
733,13642.564802182811,0.9264960000000001
734,13623.978201634878,0.921711
735,13605.442176870749,0.913852
736,13586.95652173913,0.902668
737,13568.521031207598,0.88862
738,13550.135501355013,0.872341
739,13531.799729364006,0.8544419999999999
740,13513.513513513513,0.835416
741,13495.27665317139,0.815388
742,13477.088948787063,0.7943899999999999
743,13458.950201884252,0.7724540000000001
744,13440.860215053763,0.749657
745,13422.818791946309,0.7262489999999999
746,13404.825737265415,0.702509
747,13386.880856760376,0.678736
748,13368.98395721925,0.6551220000000001
749,13351.13484646195,0.631517
750,13333.333333333334,0.6077170000000001
751,13315.579227696404,0.583565
752,13297.872340425532,0.559015
753,13280.212483399735,0.5343
754,13262.59946949602,0.5097
755,13245.033112582782,0.485471
756,13227.513227513227,0.46177300000000004
757,13210.03963011889,0.438487
758,13192.612137203167,0.415459
759,13175.230566534914,0.392579
760,13157.894736842105,0.369802
761,13140.604467805519,0.347233
762,13123.359580052493,0.324993
763,13106.15989515072,0.303198
764,13089.005235602095,0.281965
765,13071.8954248366,0.26146
766,13054.830287206267,0.24183
767,13037.80964797914,0.223186
768,13020.833333333334,0.20557999999999998
769,13003.901170351106,0.18895
770,12987.012987012988,0.173231
771,12970.16861219196,0.158384
772,12953.36787564767,0.144397
773,12936.6106080207,0.1313
774,12919.896640826873,0.11913399999999999
775,12903.225806451614,0.107944
776,12886.59793814433,0.097758
777,12870.01287001287,0.088529
778,12853.470437017995,0.080196
779,12836.970474967908,0.072705
780,12820.51282051282,0.066013
781,12804.097311139565,0.060085
782,12787.723785166241,0.054888000000000006
783,12771.392081736909,0.050381
784,12755.102040816326,0.04652
785,12738.853503184713,0.043255999999999996
786,12722.64631043257,0.040538
787,12706.480304955527,0.03831
788,12690.355329949238,0.036515
789,12674.271229404309,0.035094
790,12658.227848101265,0.033988
791,12642.225031605563,0.033137
792,12626.262626262625,0.03248
793,12610.340479192939,0.031963
794,12594.458438287154,0.03153
795,12578.616352201258,0.031127
796,12562.814070351758,0.030708000000000003
797,12547.051442910915,0.030261
798,12531.328320802006,0.029783
799,12515.644555694618,0.02927
800,12500.0,0.028721999999999998
801,12484.394506866416,0.028149999999999998
802,12468.827930174564,0.027569
803,12453.300124533002,0.026991
804,12437.810945273632,0.026425
805,12422.360248447205,0.025867
806,12406.94789081886,0.025312
807,12391.573729863692,0.024754
808,12376.237623762376,0.024192
809,12360.939431396786,0.023628
810,12345.67901234568,0.02307
811,12330.456226880395,0.022523
812,12315.27093596059,0.021993
813,12300.123001230013,0.021488999999999998
814,12285.012285012284,0.021019999999999997
815,12269.938650306749,0.020593
816,12254.901960784313,0.020215999999999998
817,12239.902080783353,0.019887
818,12224.938875305623,0.019601999999999998
819,12210.01221001221,0.019359
820,12195.121951219513,0.019155
821,12180.26796589525,0.018983
822,12165.450121654501,0.018841
823,12150.668286755772,0.018719
824,12135.922330097088,0.018616
825,12121.212121212122,0.018528
826,12106.537530266343,0.018451
827,12091.898428053204,0.018385
828,12077.294685990339,0.018325
829,12062.726176115802,0.018269999999999998
830,12048.192771084337,0.01822
831,12033.694344163658,0.018171
832,12019.23076923077,0.018121
833,12004.801920768306,0.018068
834,11990.407673860911,0.018011
835,11976.047904191617,0.017946
836,11961.722488038278,0.017872
837,11947.431302270012,0.01779
838,11933.174224343675,0.017701
839,11918.951132300357,0.01761
840,11904.761904761905,0.017516
841,11890.606420927468,0.017425
842,11876.484560570072,0.01734
843,11862.396204033215,0.017263999999999998
844,11848.341232227489,0.017199
845,11834.31952662722,0.017133
846,11820.33096926714,0.017052
847,11806.37544273908,0.016944999999999998
848,11792.452830188678,0.016797
849,11778.563015312131,0.016608
850,11764.70588235294,0.016375999999999998
851,11750.881316098707,0.0161
852,11737.089201877934,0.015786
853,11723.329425556858,0.015459
854,11709.6018735363,0.015149999999999999
855,11695.906432748538,0.014887999999999998
856,11682.242990654206,0.014691000000000001
857,11668.611435239207,0.014537
858,11655.011655011655,0.014398
859,11641.443538998836,0.014246000000000002
860,11627.906976744185,0.014058999999999999
861,11614.401858304298,0.013839999999999998
862,11600.92807424594,0.013594
863,11587.485515643106,0.013327
864,11574.074074074075,0.013045
865,11560.693641618496,0.012749
866,11547.344110854503,0.012436000000000001
867,11534.025374855824,0.012108
868,11520.737327188941,0.011763999999999998
869,11507.479861910242,0.011407
870,11494.252873563219,0.011042000000000001
871,11481.05625717566,0.010672
872,11467.88990825688,0.0103
873,11454.75372279496,0.009929
874,11441.647597254005,0.009559999999999999
875,11428.57142857143,0.009194
876,11415.52511415525,0.008832
877,11402.508551881414,0.008478
878,11389.521640091116,0.008131000000000001
879,11376.564277588168,0.007795
880,11363.636363636364,0.00747
881,11350.737797956866,0.007158
882,11337.868480725623,0.0068579999999999995
883,11325.028312570781,0.0065710000000000005
884,11312.217194570136,0.0062970000000000005
885,11299.435028248588,0.0060360000000000006
886,11286.681715575622,0.00579
887,11273.957158962796,0.0055569999999999994
888,11261.261261261261,0.005339
889,11248.59392575928,0.005135999999999999
890,11235.955056179775,0.004948
891,11223.34455667789,0.004776
892,11210.762331838565,0.00462
893,11198.208286674133,0.004482
894,11185.682326621923,0.0043630000000000006
895,11173.184357541899,0.004266
896,11160.714285714286,0.004190999999999999
897,11148.272017837235,0.00414
898,11135.8574610245,0.004107
899,11123.470522803114,0.004088
900,11111.111111111111,0.004082
901,11098.779134295228,0.004089
902,11086.474501108647,0.004104
903,11074.197120708748,0.004129
904,11061.946902654867,0.00416
905,11049.723756906078,0.004196
906,11037.527593818984,0.004233
907,11025.358324145534,0.0042699999999999995
908,11013.215859030837,0.004305
909,11001.100110011,0.004336
910,10989.010989010989,0.004361
911,10976.948408342481,0.00438
912,10964.912280701754,0.00439
913,10952.90251916758,0.004391
914,10940.919037199124,0.00438
915,10928.96174863388,0.004356
916,10917.03056768559,0.004319
917,10905.125408942204,0.004268
918,10893.246187363835,0.004208
919,10881.39281828074,0.004138
920,10869.565217391304,0.004062
921,10857.763300760043,0.00398
922,10845.986984815618,0.0038929999999999998
923,10834.236186348862,0.003802
924,10822.510822510823,0.0037080000000000004
925,10810.81081081081,0.003614
926,10799.136069114471,0.003519
927,10787.486515641855,0.0034260000000000002
928,10775.862068965518,0.003336
929,10764.262648008611,0.003249
930,10752.68817204301,0.003165
931,10741.138560687434,0.003085
932,10729.613733905579,0.003011
933,10718.113612004287,0.0029409999999999996
934,10706.638115631691,0.002879
935,10695.187165775402,0.0028239999999999997
936,10683.760683760684,0.002781
937,10672.358591248665,0.002747
938,10660.980810234541,0.002722
939,10649.627263045793,0.0027029999999999997
940,10638.297872340425,0.002692
941,10626.992561105208,0.002687
942,10615.711252653928,0.002687
943,10604.453870625663,0.0026889999999999996
