nm	%
1450	0.3389
1451	0.2688
1452	0.2019
1453	0.1645
1454	0.1722
1455	0.1872
1456	0.171
1457	0.1375
1458	0.1103
1459	0.0945
1460	0.0929
1461	0.1067
1462	0.1388
1463	0.186
1464	0.2413
1465	0.2832
1466	0.2928
1467	0.2772
1468	0.2526
1469	0.2414
1470	0.2607
1471	0.2999
1472	0.3422
1473	0.377
1474	0.3944
1475	0.3814
1476	0.3311
1477	0.2614
1478	0.197
1479	0.1588
1480	0.1597
1481	0.1832
1482	0.208
1483	0.2259
1484	0.2352
1485	0.2483
1486	0.277
1487	0.3144
1488	0.3457
1489	0.3475
1490	0.3056
1491	0.2499
1492	0.2141
1493	0.1984
1494	0.1964
1495	0.2087
1496	0.2362
1497	0.2703
1498	0.3019
1499	0.3279
1500	0.3426
1501	0.3328
1502	0.2906
1503	0.2365
1504	0.1976
1505	0.1843
1506	0.1996
1507	0.2299
1508	0.2608
1509	0.2949
1510	0.3353
1511	0.3658
1512	0.3687
1513	0.3378
1514	0.2777
1515	0.2211
1516	0.1981
1517	0.1997
1518	0.2115
1519	0.2344
1520	0.2692
1521	0.3035
1522	0.3264
1523	0.3443
1524	0.3647
1525	0.3733
1526	0.3571
1527	0.3305
1528	0.3124
1529	0.3073
1530	0.3156
1531	0.3327
1532	0.3553
1533	0.3947
1534	0.4601
1535	0.527
1536	0.5685
1537	0.5706
1538	0.5302
1539	0.4841
1540	0.4734
1541	0.4975
1542	0.5469
1543	0.613
1544	0.6939
1545	0.7873
1546	0.8994
1547	1.0135
1548	1.1115
1549	1.1717
1550	1.1878
1551	1.2156
1552	1.3174
1553	1.4699
1554	1.6386
1555	1.8361
1556	2.0567
1557	2.2971
1558	2.5558
1559	2.8734
1560	3.2677
1561	3.6637
1562	4.0183
1563	4.3968
1564	4.8992
1565	5.5718
1566	6.3951
1567	7.3384
1568	8.4261
1569	9.6497
1570	11.1322
1571	12.8268
1572	14.7782
1573	16.9677
1574	19.4546
1575	22.3556
1576	25.7853
1577	29.7572
1578	34.3653
1579	39.5154
1580	45.0029
1581	50.7547
1582	56.854
1583	62.9782
1584	69.2339
1585	75.0046
1586	80.5127
1587	85.3239
1588	89.2898
1589	92.6292
1590	95.0112
1591	96.6324
1592	97.7469
1593	98.387
1594	98.6336
1595	98.6807
1596	98.529
1597	98.2457
1598	97.9633
1599	97.9047
1600	97.7549
1601	97.6064
1602	97.7259
1603	97.5767
1604	97.5935
1605	97.6639
1606	98.1215
1607	98.286
1608	98.4479
1609	98.8848
1610	99.2962
1611	99.4289
1612	99.77
1613	99.9468
1614	99.8784
1615	100
1616	99.9044
1617	99.7681
1618	99.5311
1619	98.8719
1620	98.1578
1621	97.6989
1622	96.8596
1623	95.4964
1624	93.6853
1625	91.5208
1626	89.078
1627	86.0372
1628	82.6581
1629	78.6438
1630	74.4737
1631	69.8982
1632	65.1324
1633	60.1069
1634	55.1142
1635	50.2247
1636	45.2302
1637	40.7544
1638	36.3148
1639	32.3102
1640	28.5679
1641	25.2343
1642	22.2553
1643	19.5316
1644	17.1971
1645	15.1265
1646	13.2704
1647	11.6165
1648	10.0922
1649	8.7491
1650	7.6152
1651	6.6387
1652	5.7776
1653	5.0232
1654	4.3853
1655	3.818
1656	3.3258
1657	2.9182
1658	2.6042
1659	2.3788
1660	2.1878
1661	1.9949
1662	1.7845
1663	1.5944
1664	1.4486
1665	1.337
1666	1.2513
1667	1.1748
1668	1.0875
1669	0.9961
1670	0.9092
1671	0.8076
1672	0.6885
1673	0.5885
1674	0.5348
1675	0.5175
1676	0.5143
1677	0.5077
1678	0.4883
1679	0.4652
1680	0.4462
1681	0.4214
1682	0.3847
1683	0.3519
1684	0.3338
1685	0.3275
1686	0.3237
1687	0.3105
1688	0.2826
1689	0.2609
1690	0.261
1691	0.269
1692	0.2698
1693	0.261
1694	0.2448
1695	0.2334
1696	0.2342
1697	0.2386
1698	0.2375
1699	0.2314
1700	0.2236
1701	0.2187
1702	0.2198
1703	0.2242
1704	0.2278
1705	0.2254
1706	0.2157
1707	0.2084
1708	0.2106
1709	0.2162
1710	0.2187
1711	0.2177
1712	0.2141
1713	0.2114
1714	0.212
1715	0.2143
1716	0.2162
1717	0.2159
1718	0.2129
1719	0.2099
1720	0.2092
1721	0.2109
1722	0.2136
1723	0.2139
1724	0.2098
1725	0.2061
1726	0.2068
1727	0.2091
1728	0.2101
1729	0.2105
1730	0.2108
1731	0.2102
1732	0.2083
1733	0.2067
1734	0.2071
1735	0.2083
1736	0.2093
1737	0.2104
1738	0.2114
1739	0.2111
1740	0.2085
1741	0.2062
1742	0.2063
1743	0.2072
1744	0.2075
1745	0.2076
1746	0.2083
1747	0.2091
1748	0.2094
1749	0.2096
1750	0.2099
