time,C01,C02,C03,C04,C05,C06,C08,C09,C10,C11,C12,C13,C14,Sat_Azi,Sat_Zen,Sun_Azi,Sun_Gli,Sun_Zen,ele,C08_rad,C09_rad,C10_rad,C11_rad,C12_rad,C13_rad,C14_rad,T_a,RH,ghi
2021/1/1 1:00,0.0103,0.0005,0,0.025,0.0353,0,275.2,239.11,258.21,274.695,276.4,276.6,257.155,137.82,43.06,109.44,138.25,102.7,22.48,0.000199081,2.43E-05,0.006552754,0.018933198,0.026203182,0.043535927,0.053497794,260.45,88,0
2021/1/1 4:00,0.0851,0.06125,0.0944,0.027475,0.114825,0.06315,286.02,239.1025,257.655,279.8975,282.22,282.195,258.1275,137.82,43.06,132.625,113.26,70.41,22.48,0.000338565,2.43E-05,0.006428309,0.021787009,0.030295821,0.049141466,0.054546498,262.25,87,47.4
2021/1/1 7:00,0.10945,0.092025,0.1802,0.030975,0.177275,0.10465,297.97,238.705,257.88,289.945,293.15,292.7225,260.7,137.82,43.06,175.46,89.105,52.585,22.48,0.000577763,2.36E-05,0.006478696,0.02815065,0.039141374,0.060921322,0.057418252,266.05,78,171.1
2021/1/1 10:00,0.066025,0.047525,0.0717,0.025975,0.091475,0.04145,292.795,238.225,256.13,288.05,291.2925,290.8925,259.975,137.82,43.06,221.535,76.46,65.615,22.48,0.000460333,2.29E-05,0.006095313,0.026858167,0.037523043,0.058751702,0.056597619,267.85,68,165.9
2021/1/1 13:00,0.008825,0.00015,0,0.02555,0.03535,0,282.6225,238.73,255.555,281.02,283.45,283.37,257.5075,137.82,43.06,247.965,82.35,97.82,22.48,0.000287135,2.37E-05,0.005973152,0.022435219,0.031203934,0.050364827,0.053867429,265.05,73,0
2021/1/1 19:00,0.006725,7.50E-05,0,0.025225,0.0353,0.000125,278.095,238.3075,254.83,276.545,278.695,278.72,257.0275,137.82,43.06,244.79,129.705,171.96,22.48,0.000230207,2.30E-05,0.005822132,0.019912668,0.027762909,0.045603093,0.053345392,263.45,61,0
2021/1/1 22:00,0.00725,0,0,0.025275,0.0353,0,276.395,236.4325,251.575,275.195,277.35,277.22,256.2325,137.82,43.06,89.81,148.99,142.81,22.48,0.000211453,2.02E-05,0.005179821,0.019194291,0.026841062,0.044133765,0.05249045,261.75,78,0
2021/1/2 1:00,0.0089,0.000325,0,0.0249,0.0353,7.50E-05,274.95,234.5,250.6825,273.325,275.2675,275.175,255.005,137.82,43.06,108.53,139.175,104.305,22.48,0.000196583,1.77E-05,0.005014425,0.018231802,0.025458474,0.042185125,0.051187729,260.65,83,0
2021/1/2 4:00,0.1219,0.1052,0.11765,0.0489,0.102225,0.071025,272.425,229.5525,239.585,256.5525,255.3775,253.5,238.6275,137.82,43.06,132.48,113.265,70.42,22.48,0.000173452,1.25E-05,0.003282395,0.011141904,0.014765479,0.025067574,0.035767432,263.15,82,182.5
2021/1/2 7:00,0.117525,0.094675,0.175525,0.027775,0.17635,0.103225,296.9225,235.1775,248.98,287.545,291.72,290.645,259.0775,137.82,43.06,175.32,89.08,52.51,22.48,0.000552116,1.86E-05,0.004708786,0.026520681,0.037891129,0.058461166,0.055593014,275.55,32,479.4
2021/1/2 10:00,0.088225,0.062275,0.079075,0.0279,0.09635,0.0578,294.1475,235.255,247.3275,284.0225,287.0225,284.245,256.1025,137.82,43.06,221.5,76.38,65.475,22.48,0.000489334,1.87E-05,0.004427472,0.024288621,0.0340857,0.051505115,0.052383323,278.25,22,207.1
2021/1/2 13:00,0.0086,0.00035,0,0.02495,0.0353,0.00015,279.595,234.025,246.1825,274.225,276.245,272.85,250.725,137.82,43.06,247.99,82.23,97.68,22.48,0.000249462,1.71E-05,0.004239603,0.018696843,0.026113838,0.04006183,0.046801887,275.05,29,0
2021/1/2 19:00,0.006775,0.00025,0,0.0254,0.0353,0.000125,279.57,235,248.78,277.1975,279.9925,279.5725,256.13,137.82,43.06,244.315,129.57,171.845,22.48,0.000247568,1.83E-05,0.004673643,0.020266811,0.028673595,0.046452585,0.05238104,271.25,81,0
2021/1/2 22:00,0.00755,0,0,0.025025,0.0353,0,276.82,236.305,248.9275,275.52,278.1225,277.0175,255.2825,137.82,43.06,89.6,148.885,142.885,22.48,0.000216943,2.01E-05,0.004699408,0.019367776,0.027375679,0.043954314,0.051482974,272.15,72,0
2021/1/3 1:00,0.008425,0.000425,0,0.025525,0.0353,0,262.7525,234.905,244.9525,259.6525,261.225,259.23,246.2,137.82,43.06,108.395,139.15,104.36,22.48,0.000112998,1.83E-05,0.00405492,0.012633866,0.017894449,0.029485495,0.0426455,271.15,80,0
2021/1/3 4:00,0.1983,0.206525,0.218,0.041275,0.121075,0.10815,272.275,233.2525,241.91,249.3825,250.705,249.2325,240.3775,137.82,43.06,132.325,113.26,70.435,22.48,0.00017431,1.62E-05,0.003594158,0.008812571,0.012765728,0.022302967,0.037207529,273.55,67,75.6
2021/1/3 7:00,0.447875,0.48095,0.51705,0.046725,0.3375,0.276375,291.5,234.4325,245.9275,257.1025,259.0275,258.05,246.5575,137.82,43.06,175.175,89.045,52.425,22.48,0.000434722,1.76E-05,0.004198127,0.011328628,0.016394208,0.02811835,0.042776607,278.85,43,465.2
