index,Time,ghi,Sun_Zen,Sun_Azi,ghi_clear,T_a,RH,C01,C02,C03,C04,C05,C06,Sat_Azi,Sat_Zen,Sun_Azi_sat,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C05,WSA_C05,BSA_C06,WSA_C06
0,2021-01-02 04:00:00,389.2,63.050417254419855,175.18202078203,472.19127630746,269.60999999999996,65.29,0.1353,0.1063,0.1,0.0265,0.1335,0.1015,197.72,47.8,175.54,107.88,1.32,0.092,0.004,0.018,0.18,0.086,0.05,0.278,0.106,0.081,0.234,0.008,0.055,0.234,0.096,0.07,0.06751544317009989,0.06795954,0.1356785606576954,0.12738872399999998,0.19565843353351337,0.186466122,0.15785036967102944,0.15974426200000003,0.16423100630553772,0.15572812400000002
1,2021-01-02 05:00:00,360.9,63.630810650640655,190.62850496253566,461.2266756246563,270.60999999999996,60.22,0.1338,0.1075,0.103,0.029,0.141,0.1088,197.72,47.8,190.98,111.22,1.32,0.092,0.004,0.018,0.18,0.086,0.05,0.278,0.106,0.081,0.234,0.008,0.055,0.234,0.096,0.07,0.06751570123240679,0.06795954,0.13641573207950392,0.12738872399999998,0.19652498358095255,0.186466122,0.1578096370165275,0.15974426200000003,0.16502309759247627,0.15572812400000002
2,2021-01-03 04:00:00,420.3,62.96314575002461,175.05548094385085,473.6445978528149,269.17999999999995,25.5,0.1318,0.1055,0.1033,0.0278,0.1363,0.1033,197.72,47.8,175.42000000000002,107.76,1.32,0.093,0.004,0.018,0.179,0.086,0.05,0.278,0.106,0.082,0.237,0.008,0.056,0.233,0.096,0.07,0.06851546271825401,0.06895954,0.13456913606648113,0.12638872399999998,0.19409964812123243,0.18508850000000004,0.15942637424220418,0.16136663999999998,0.16311348185499602,0.15472812400000002
3,2021-01-04 05:00:00,449.0,63.40281331545076,190.42894939071883,465.15354839977584,271.32,22.23,0.132,0.1118,0.1153,0.0303,0.147,0.1148,197.72,47.8,190.78,110.98,1.32,0.093,0.004,0.018,0.179,0.086,0.05,0.278,0.106,0.081,0.237,0.008,0.056,0.233,0.096,0.07,0.06851551902365507,0.06895954,0.1351241824672244,0.12638872399999998,0.1961821659654992,0.186466122,0.15939361825747983,0.16136663999999998,0.16370975476365,0.15472812400000002
4,2021-01-05 05:00:00,434.6,63.27818742211947,190.33292957276234,467.30708910496077,268.41999999999996,20.72,0.132,0.1158,0.123,0.0315,0.1473,0.1143,197.72,47.8,190.7,110.84,1.32,0.093,0.004,0.018,0.179,0.086,0.05,0.278,0.106,0.082,0.237,0.008,0.056,0.233,0.096,0.07,0.06851546374485343,0.06895954,0.13496589437484866,0.12638872399999998,0.19456469257659054,0.18508850000000004,0.15940283111816378,0.16136663999999998,0.16353967420141097,0.15472812400000002
5,2021-01-06 04:00:00,477.8,62.65692746036491,174.67974414435184,478.8009776210029,261.57,15.72,0.1363,0.107,0.1055,0.0375,0.1345,0.1085,197.72,47.8,175.04,107.38,1.32,0.094,0.004,0.018,0.179,0.086,0.05,0.278,0.106,0.082,0.237,0.008,0.056,0.233,0.096,0.07,0.06951565073856149,0.06995954,0.13418810775681334,0.12638872399999998,0.19365328660958814,0.18508850000000004,0.1594496031460997,0.16136663999999998,0.16270435751699608,0.15472812400000002
6,2021-01-07 04:00:00,471.1,62.540175580806384,174.5560545449407,480.78151873880233,259.89,19.66,0.129,0.108,0.1083,0.0328,0.136,0.107,197.72,47.8,174.92000000000002,107.22,1.32,0.094,0.004,0.018,0.179,0.086,0.05,0.278,0.106,0.082,0.237,0.008,0.056,0.233,0.096,0.07,0.06951577110585738,0.06995954,0.13404402625053602,0.12638872399999998,0.1934845641345023,0.18508850000000004,0.15945854829630807,0.16136663999999998,0.16254969640943787,0.15472812400000002
7,2021-01-09 05:00:00,447.8,62.710122047676066,189.9757996042594,477.15250752775216,271.5,22.2,0.1385,0.1173,0.129,0.029,0.15,0.116,197.72,47.8,190.34,110.24,1.32,0.093,0.004,0.018,0.178,0.085,0.05,0.275,0.105,0.081,0.236,0.008,0.056,0.232,0.096,0.07,0.06851560478435301,0.06895954,0.13294329636544971,0.12519954,0.19184903453436952,0.183276938,0.15844554372221287,0.16036663999999998,0.1617750666459979,0.15372812400000002
8,2021-01-11 04:00:00,458.3,62.00099394610103,174.0714236307674,489.97615646254263,272.34999999999997,22.7,0.1335,0.107,0.1065,0.028,0.1383,0.1068,197.72,47.8,174.44,106.58,1.32,0.094,0.004,0.018,0.178,0.085,0.05,0.273,0.104,0.08,0.237,0.008,0.056,0.232,0.095,0.07,0.06951667203702735,0.06995954,0.13208806384680905,0.12519954,0.1899709401123995,0.182465376,0.15950048494262742,0.16136663999999998,0.16054581785366148,0.15353894
9,2021-01-11 05:00:00,430.2,62.38528276258935,189.8146681246214,482.7884493034468,273.06,21.58,0.136,0.1158,0.1235,0.0273,0.1483,0.1155,197.72,47.8,190.18,109.9,1.32,0.094,0.004,0.018,0.178,0.085,0.05,0.273,0.104,0.08,0.237,0.008,0.056,0.232,0.095,0.07,0.06951597201665322,0.06995954,0.13254856859547645,0.12519954,0.1905074689374621,0.182465376,0.1594704906052405,0.16136663999999998,0.16104031542219188,0.15353894
