Time,ghi,Sun_Zen,Sun_Azi,ghi_clear,T_a,RH,C01,C02,C03,C04,C05,C06,Sat_Azi,Sat_Zen,Sun_Azi_sat,Sun_Gli,ele
2021-01-02 04:00:00,389.2,63.050417254419855,175.18202078203,472.19127630746,269.60999999999996,65.29,0.1353,0.1063,0.1,0.0265,0.1335,0.1015,197.72,47.8,175.54,107.88,1.32
2021-01-02 05:00:00,360.9,63.630810650640655,190.62850496253566,461.2266756246563,270.60999999999996,60.22,0.1338,0.1075,0.103,0.029,0.141,0.1088,197.72,47.8,190.98,111.22,1.32
2021-01-03 04:00:00,420.3,62.96314575002461,175.05548094385085,473.6445978528149,269.17999999999995,25.5,0.1318,0.1055,0.1033,0.0278,0.1363,0.1033,197.72,47.8,175.42000000000002,107.76,1.32
2021-01-04 05:00:00,449.0,63.40281331545076,190.42894939071883,465.15354839977584,271.32,22.23,0.132,0.1118,0.1153,0.0303,0.147,0.1148,197.72,47.8,190.78,110.98,1.32
2021-01-05 05:00:00,434.6,63.27818742211947,190.33292957276234,467.30708910496077,268.41999999999996,20.72,0.132,0.1158,0.123,0.0315,0.1473,0.1143,197.72,47.8,190.7,110.84,1.32
2021-01-06 04:00:00,477.8,62.65692746036491,174.67974414435184,478.8009776210029,261.57,15.72,0.1363,0.107,0.1055,0.0375,0.1345,0.1085,197.72,47.8,175.04,107.38,1.32
2021-01-07 04:00:00,471.1,62.540175580806384,174.5560545449407,480.78151873880233,259.89,19.66,0.129,0.108,0.1083,0.0328,0.136,0.107,197.72,47.8,174.92000000000002,107.22,1.32
2021-01-09 05:00:00,447.8,62.710122047676066,189.9757996042594,477.15250752775216,271.5,22.2,0.1385,0.1173,0.129,0.029,0.15,0.116,197.72,47.8,190.34,110.24,1.32
2021-01-11 04:00:00,458.3,62.00099394610103,174.0714236307674,489.97615646254263,272.34999999999997,22.7,0.1335,0.107,0.1065,0.028,0.1383,0.1068,197.72,47.8,174.44,106.58,1.32
2021-01-11 05:00:00,430.2,62.38528276258935,189.8146681246214,482.7884493034468,273.06,21.58,0.136,0.1158,0.1235,0.0273,0.1483,0.1155,197.72,47.8,190.18,109.9,1.32
2021-01-12 04:00:00,395.4,61.84843041104419,173.95328736702004,492.5849204689515,272.54999999999995,30.6,0.1345,0.1128,0.1063,0.0278,0.136,0.1058,197.72,47.8,174.32,106.4,1.32
2021-01-16 05:00:00,472.2,61.45920421465006,189.46903180753606,498.95405132590184,271.4,18.12,0.1365,0.1218,0.1403,0.03,0.157,0.124,197.72,47.8,189.84,108.96,1.32
2021-01-18 05:00:00,422.4,61.044969253285416,189.35566347614264,506.624915953245,275.84999999999997,18.86,0.1353,0.1205,0.128,0.0273,0.1523,0.1218,197.72,47.8,189.72,108.52,1.32
2021-01-19 05:00:00,393.2,60.82882379377743,189.30464876578125,510.6073416554873,267.23999999999995,67.29,0.1753,0.1688,0.175,0.0283,0.1535,0.113,197.72,47.8,189.68,108.3,1.32
2021-01-20 04:00:00,399.1,60.38200416966195,173.06697330758334,518.8218956216404,270.79999999999995,56.63,0.1475,0.1268,0.1178,0.0275,0.1363,0.104,197.72,47.8,173.44,104.76,1.32
2021-01-20 05:00:00,372.3,60.6067857584249,189.25750994667072,514.6843102461254,271.9,51.78,0.1508,0.1325,0.135,0.0303,0.1515,0.1148,197.72,47.8,189.64,108.08,1.32
2021-01-21 04:00:00,404.7,60.16905116901684,172.96479018066736,522.7084777802519,274.10999999999996,51.21,0.1448,0.1238,0.1138,0.0288,0.1403,0.1085,197.72,47.8,173.34,104.54,1.32
2021-01-26 03:00:00,371.4,62.09902736009775,156.5495159312619,486.8169000817576,269.97999999999996,90.82,0.1325,0.1045,0.1003,0.028,0.126,0.095,197.72,47.8,156.92000000000002,100.36,1.32
2021-01-26 04:00:00,477.5,59.011338943057524,172.48712767059305,543.6109173844983,271.19,90.71,0.1415,0.1265,0.1377,0.032,0.1505,0.1175,197.72,47.8,172.88,103.3,1.32
2021-01-26 05:00:00,440.9,59.1563882810833,189.0594913713082,540.9790626666907,273.97999999999996,89.23,0.1473,0.1338,0.1495,0.0308,0.162,0.1298,197.72,47.8,189.44,106.62,1.32
2021-01-28 05:00:00,491.6,58.63037508661978,189.0270121022964,550.3746470933046,268.76,12.69,0.142,0.1295,0.151,0.0355,0.173,0.1385,197.72,47.8,189.42,106.1,1.32
2021-01-28 06:00:00,357.8,61.99123777363019,204.9843001542161,488.7226204916531,269.41999999999996,13.0,0.1305,0.1125,0.1308,0.0333,0.1525,0.1218,197.72,47.8,205.34,109.58,1.32
2021-01-30 05:00:00,449.3,58.084471697092766,189.01181490080515,560.0474407132806,276.31,22.72,0.1428,0.131,0.1498,0.0283,0.1693,0.1358,197.72,47.8,189.4,105.56,1.32
2021-01-31 05:00:00,430.5,57.80431510925493,189.01076687558603,564.9806949213628,271.23999999999995,76.84,0.1543,0.136,0.1465,0.0298,0.1708,0.1385,197.72,47.8,189.4,105.28,1.32
2021-02-02 05:00:00,506.5,57.23009368855504,189.02189075807615,575.0268064735276,271.2,15.98,0.1463,0.1343,0.156,0.033,0.1773,0.1458,197.72,47.8,189.42,104.7,1.32
2021-02-03 05:00:00,526.7,56.93623221804199,189.0341087494242,580.1339652346943,275.26,27.21,0.1448,0.1368,0.1578,0.0305,0.1793,0.1458,197.72,47.8,189.44,104.42,1.32
2021-02-04 05:00:00,507.1,56.63801026100031,189.050797308149,585.2933159879865,279.41999999999996,17.52,0.1473,0.1388,0.1573,0.0328,0.1798,0.147,197.72,47.8,189.46,104.12,1.32
2021-02-05 03:00:00,385.7,59.57322885742166,155.12097054571075,532.5796250814968,276.91999999999996,32.94,0.125,0.1005,0.0968,0.0283,0.1323,0.1023,197.72,47.8,155.5,97.54,1.32
2021-02-05 04:00:00,525.6,56.26923747612447,171.7132041700961,591.6674091272346,280.69,22.87,0.1418,0.1248,0.1388,0.0303,0.1593,0.1258,197.72,47.8,172.12,100.5,1.32
2021-02-05 05:00:00,462.4,56.33553751792875,189.07198510049065,590.5018726756316,282.78,19.8,0.1458,0.1375,0.1533,0.0288,0.1763,0.142,197.72,47.8,189.48,103.82,1.32
2021-02-05 06:00:00,403.7,59.76040079542453,205.6094231978716,529.1734512973544,284.88,16.73,0.138,0.123,0.1353,0.0273,0.158,0.126,197.72,47.8,205.98,107.3,1.32
2021-02-06 04:00:00,526.0,55.966609725722556,171.64978778732063,596.8480506622943,286.07,19.49,0.1395,0.1228,0.1377,0.029,0.1565,0.1258,197.72,47.8,172.06,100.2,1.32
2021-02-06 05:00:00,477.6,56.028927821527525,189.09770481611898,595.7565829257483,286.94,18.4,0.1493,0.1375,0.153,0.0283,0.1748,0.1403,197.72,47.8,189.5,103.52,1.32
2021-02-06 06:00:00,393.8,59.46622827514239,205.71336188221272,534.4153303471991,287.81,17.31,0.1403,0.1238,0.1345,0.0283,0.1565,0.1243,197.72,47.8,206.08,107.0,1.32
2021-02-07 04:00:00,586.4,55.65923289319683,171.58900252520584,602.0848958390735,276.98999999999995,26.7,0.1393,0.127,0.1435,0.028,0.1618,0.132,197.72,47.8,172.0,99.9,1.32
2021-02-07 05:00:00,556.7,55.7182988172214,189.1279933795135,601.0543365875338,277.78,23.39,0.1475,0.1428,0.1635,0.0298,0.1865,0.1533,197.72,47.8,189.54,103.22,1.32
2021-02-08 02:00:00,443.4,64.94674091155832,139.8490655056952,432.3352226282944,271.40999999999997,40.82,0.099,0.0765,0.073,0.0285,0.1053,0.0763,197.72,47.8,140.18,94.22,1.32
