site,latitude,longitude,elve,
AKA,40.61683333,80.82883333,1028,
ALF,24.53333333,101.0166667,2478,
ASA,36.85733333,109.3231667,1033,
BJC,40.0001,116.3333,45,
BJF,39.96666667,115.4333333,1150,
BNF,21.91666667,101.2666667,565,
CBF,42.4,128.1,738,
CLD,37.01666667,80.71666667,1301,
CSA,31.53333333,120.6833333,3,
CWA,35.2,107.6666667,1220,
DHF,23.16666667,112.55,100.5,
DHL,30.61666667,114.35,31,
DTL,29.5,112.8,27,
DYB,22.53333333,114.5166667,37,
ESD,39.48333333,110.1833333,1300,
FKD,47.29266667,87.93366667,461,
FQA,35.0001,114.4,67.5,
GGF,29.58333333,102.0001,3000,
GGS,29.65,102.1166667,1640,
HBG,37.53333333,101.25,3220,
HJA,24.73333333,108.3166667,279,
HLA,47.45,126.9166667,236,
HSF,22.68333333,112.9,56.4,
HTF,26.85,109.6,557,
JZB,36.05,120.2666667,6.8,
LCA,37.884,114.6841667,50.1,
LSA,29.66666667,91.33333333,3688,
LZD,39.33333333,100.1166667,1384,
MXF,31.7,103.9,1826,
NMD,42.93333333,120.7,358,
NMG,43.63333333,116.7,1187,
PDF,26.3667,105.75,1180,
QYA,26.73333333,115.05,86,
QYF,41.85,124.9333,560,
SJM,47.58333333,133.5166667,55,
SNF,31.38333333,110.2166667,1290,
SPD,37.46666667,105.0001,1320,46days~
SYA,41.51666667,123.4,41,
SYB,18.21666667,109.4833333,3.5,
THL,31.421,120.2153333,20,
TYA,28.91666667,111.4333333,106,
YCA,36.86666667,116.5666667,22,
YGA,31.26666667,105.45,420,
YTA,28.2,116.9166667,45,
