AKA,ALF,ASA,BJC,BJF,BNF,CBF,CLD,CSA,CWA,DHF,DHL,DYB,ESD,FKD,FQA,GGF,GGS,HBG,HJA,HLA,HSF,HTF,JZB,LCA,LSA,LZD,MXF,NMD,NMG,PDF,QYA,QYF,SJM,SNF,SPD,SYA,SYB,THL,TYA,YCA,YGA,YTA
0,NaN,0,20.9,23,8.5,36.9,0,NaN,0,224.7,120.3,NaN,0,0,125.7,NaN,8.1,NaN,5.6,3,37.4,7.1,79.9,-0.6,0,0,0,60.1,3.7,6.1,91.8,NaN,193,0,NaN,NaN,19.6,141.7,NaN,86.8,0,192.5
0,NaN,161.9,50.4,46.4,57.4,264.6,0,NaN,152.9,443.5,288.8,NaN,34.2,0,300.6,NaN,52.1,NaN,84,18.1,70.6,120.6,265.1,NaN,2.1,16.2,0,174.6,139.1,71.9,241.8,NaN,319.1,27.5,NaN,NaN,65.1,344.3,NaN,242.8,15.8,342.3
0,NaN,379.4,307.3,96.3,176.3,303.6,0,NaN,358.3,626.9,447.5,NaN,191.8,21.1,444.1,NaN,328.8,NaN,214.9,30.8,522.2,321.7,404.7,-0.7,210,236.4,20.6,310.7,337.4,158.3,502.3,NaN,370.6,46.6,NaN,NaN,429.8,496.9,NaN,376.6,48.9,644.6
16.7,NaN,499.2,242,80.3,305.3,170.2,31.3,NaN,444,746.8,549.4,NaN,323.6,102.6,526,NaN,469.6,NaN,585,40.3,663.2,479.8,483.8,20.7,420.1,349,51.5,422.7,493.5,224.7,582.3,NaN,430.5,344.7,NaN,NaN,598.7,608.8,NaN,465.3,162.9,637.3
47.4,NaN,559.8,420.7,58.7,477.1,372.2,207.1,NaN,526.6,788.7,581.3,NaN,402.2,196.5,563.3,NaN,583.9,NaN,627.8,230.4,708.6,588.8,506.1,75.7,573,404.2,368,460.1,629.9,320,652.2,NaN,391.5,715.2,NaN,NaN,717.5,640.2,NaN,495.2,154.8,683.2
79.2,NaN,579.2,378.9,54.4,418.9,382.3,286.4,NaN,558.9,757.5,549.4,NaN,481.5,342.9,536.4,NaN,632.9,NaN,689.4,228.2,693.3,643.5,459.9,192.5,671.6,440.5,638,593.5,402.9,354.8,656.9,NaN,286.4,642.3,NaN,NaN,768.3,606.6,NaN,470.6,115.4,654
117.2,NaN,547.8,237.2,92.3,408.9,114.6,391.8,NaN,518.9,649.6,458.2,NaN,486.8,338.6,438.4,NaN,602,NaN,672.3,195.5,613.3,766.8,363.1,326.9,718.2,444.6,607.5,324.3,505.1,358.7,575.8,NaN,124.5,604,NaN,NaN,739.3,515.2,NaN,367.4,131.4,563.7
171.1,NaN,449.4,130.1,40.2,376.9,37.7,446.9,NaN,433.2,474.5,322.3,NaN,398.8,259,281,NaN,510,NaN,580.1,135.7,455.8,340,232.6,174.9,702.1,416.7,565.6,226.9,334.3,327.7,455.3,NaN,18,512.2,NaN,NaN,641.8,352.7,NaN,237.1,154.4,400.1
158.2,NaN,302,36.2,15.4,230.2,0,466.6,NaN,285,255.4,147.8,NaN,295.8,236.3,102.5,NaN,75.9,NaN,412.5,8,268,376.3,89.8,NaN,613.9,316.6,470.7,41.7,171.6,156.1,64.5,NaN,0,356.5,NaN,NaN,480.5,159.3,NaN,88.1,51.2,201.2
178.5,NaN,36.8,0,0,223.8,0,404.4,NaN,106.9,44.1,10.1,NaN,142.3,91.4,0,NaN,42.3,NaN,63.1,0,33.1,182.1,0,0,439.9,173.3,92.5,0,0,63.5,29.4,NaN,0,55.2,NaN,NaN,275.7,5.7,NaN,0,16.1,13.2
165.9,NaN,0,0,0,45.2,0,298.4,NaN,0,0,0,NaN,0,34.1,0,NaN,13.1,NaN,20.8,0,0,19.7,0,0,217.5,0,52.3,0,0,5.8,0,NaN,0,8,NaN,NaN,76.2,0,NaN,0,-0.1,0
57.8,NaN,0,0,0,0,0,149.9,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,8.5,0,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,2,0,NaN,0,18.5,0,NaN,0,0,0,NaN,0,NaN,0,0,2.4,0,0,0,0,0,0,0,0,0,-1.7,NaN,9,NaN,NaN,NaN,0,0,NaN,0,0,3.8
0,NaN,0,16.4,24,4.7,48.5,0,NaN,0,229.7,65.2,NaN,0,0,119.1,NaN,6.1,NaN,5.1,5.2,37.2,6.8,64.2,-2.5,0,0,0,61,2.3,1.9,120.8,NaN,141.2,NaN,NaN,NaN,19.8,171,NaN,78.9,0,192.3
