index,Time,ghi,Sun_Zen,Sun_Azi,ghi_clear,T_a,RH,C01,C02,C03,C04,C05,C06,Sat_Azi,Sat_Zen,Sun_Azi_sat,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C05,WSA_C05,BSA_C06,WSA_C06
0,2021-01-01 03:00:00,526.0,61.464587023283116,157.44214801635349,472.9616529398028,274.59,29.58,0.1178,0.0983,0.1485,0.0283,0.1485,0.1123,196.62,41.98,157.98,95.86,1.4,0.054,0.041,0.0,0.084,0.076,0.0,0.403,0.151,0.038,0.244,0.152,0.02,0.151,0.075,0.012,0.06590904667780058,0.061756544,0.10607530603689865,0.098377984,0.39272337524698764,0.37921714800000006,0.2596575740350117,0.245203528,0.1556890186605102,0.148657336
1,2021-01-01 04:00:00,563.3,58.3124903253096,172.98763653357287,530.3169386887557,276.72999999999996,24.72,0.1255,0.1193,0.1765,0.0308,0.1788,0.1398,196.62,41.98,173.56,97.66,1.4,0.054,0.041,0.0,0.084,0.076,0.0,0.403,0.151,0.038,0.244,0.152,0.02,0.151,0.075,0.012,0.06396923238871124,0.061756544,0.10247955272053792,0.098377984,0.38601926558062005,0.37921714800000006,0.2526976907826679,0.245203528,0.1522795519160124,0.148657336
2,2021-01-01 05:00:00,536.4,58.544288951351206,189.19655964484969,526.1513269619161,278.07,22.63,0.1268,0.1208,0.1893,0.0285,0.1878,0.1438,196.56,41.98,189.72,100.4,1.36,0.054,0.041,0.0,0.084,0.076,0.0,0.403,0.151,0.038,0.244,0.152,0.02,0.151,0.075,0.012,0.06410438911422672,0.061756544,0.10273008713856663,0.098377984,0.38648495785252374,0.37921714800000006,0.25318187537732884,0.245203528,0.15251665928370284,0.148657336
3,2021-01-01 06:00:00,438.4,62.121664586356005,204.55098601716912,460.80114278534506,279.41999999999996,20.55,0.1125,0.0985,0.1795,0.0285,0.1625,0.1163,196.48,41.96,204.96,103.9,1.4,0.054,0.041,0.0,0.084,0.076,0.0,0.403,0.151,0.038,0.244,0.152,0.02,0.151,0.075,0.012,0.06634172156722293,0.061756544,0.1068773375392425,0.098377984,0.39422417630351714,0.37921714800000006,0.2612128428807127,0.245203528,0.1564512206213786,0.148657336
4,2021-01-05 04:00:00,466.4,57.967460308021394,172.44107067496586,533.9786342052348,272.32,38.26,0.1478,0.1303,0.1668,0.0288,0.1735,0.1348,196.62,41.98,173.02,97.2,1.44,0.057,0.033,0.0,0.092,0.057,0.0,0.378,0.199,0.031,0.249,0.13,0.013,0.163,0.038,0.01,0.06486382702051559,0.063243072,0.10558297394452693,0.10278348799999999,0.3816549492003569,0.372941334,0.2616250983358329,0.25568483399999997,0.1579371512174576,0.156412772
5,2021-01-06 03:00:00,487.8,61.166719095309816,156.67931908072143,475.3559740855164,272.52,39.63,0.127,0.1003,0.1655,0.0283,0.1478,0.1075,196.7,42.0,157.26,95.28,1.4,0.059,0.037,0.0,0.094,0.065,0.0,0.375,0.199,0.03,0.258,0.128,0.017,0.168,0.039,0.013,0.06957313520182337,0.065999808,0.11257442670590592,0.10629696,0.38915986230596,0.371318956,0.2703770055654794,0.258795978,0.16063852359295772,0.15746909
6,2021-01-06 04:00:00,485.9,57.86275163503027,172.30516428606822,535.2060964234685,274.64,27.67,0.1348,0.1263,0.1763,0.03,0.1765,0.1383,196.62,41.98,172.88,97.08,1.44,0.059,0.037,0.0,0.094,0.065,0.0,0.375,0.199,0.03,0.258,0.128,0.017,0.168,0.039,0.013,0.06776297034849087,0.065999808,0.10939440736897045,0.10629696,0.379787478326,0.371318956,0.26432072190658945,0.258795978,0.15888797125314816,0.15746909
7,2021-01-06 05:00:00,466.9,57.962676866728174,188.6694647920331,533.4192507662689,274.57,25.6,0.1338,0.132,0.1745,0.0288,0.1818,0.1405,196.56,41.98,189.18,99.78,1.36,0.059,0.037,0.0,0.094,0.065,0.0,0.375,0.199,0.03,0.258,0.128,0.017,0.168,0.039,0.013,0.06781454444572382,0.065999808,0.10948501051275807,0.10629696,0.38005398209310554,0.371318956,0.26449297436780106,0.258795978,0.15893761793440822,0.15746909
8,2021-01-07 03:00:00,539.8,61.08542049055373,156.52184214650268,476.21780191802793,263.48999999999995,20.46,0.1125,0.0968,0.168,0.0335,0.144,0.1123,196.7,42.0,157.1,95.16,1.4,0.06,0.035,0.0,0.095,0.063,0.0,0.373,0.203,0.03,0.258,0.129,0.017,0.169,0.038,0.013,0.06995697779972133,0.06662144,0.11292256003949841,0.106918592,0.38805303622159093,0.370075692,0.2705033621427903,0.258985162,0.16130821119908723,0.15827990600000003
9,2021-01-07 04:00:00,576.5,57.75073184485319,172.16970759903697,536.5561228541604,264.97999999999996,17.18,0.1363,0.1285,0.1748,0.0363,0.1785,0.144,196.62,41.98,172.76,96.94,1.44,0.06,0.035,0.0,0.095,0.063,0.0,0.373,0.203,0.03,0.258,0.129,0.017,0.169,0.038,0.013,0.06823482296766573,0.06662144,0.10982268134179832,0.106918592,0.37843107096765527,0.370075692,0.264363693380197,0.258985162,0.15959727396357354,0.15827990600000003
