wavelength/nm 	RSRF/%
395	0.0169
396	0.0143
397	0.0139
398	0.0159
399	0.0199
400	0.0265
401	0.0364
402	0.0497
403	0.0669
404	0.0879
405	0.1221
406	0.1659
407	0.2165
408	0.2743
409	0.3393
410	0.4113
411	0.4901
412	0.5752
413	0.6649
414	0.7567
415	0.8473
416	0.9352
417	1.0279
418	1.1366
419	1.2754
420	1.4588
421	1.6939
422	1.9849
423	2.3342
424	2.743
425	3.2226
426	3.7896
427	4.4665
428	5.2786
429	6.2434
430	7.3735
431	8.6773
432	10.1609
433	11.841
434	13.7405
435	15.8875
436	18.2995
437	20.9233
438	23.6645
439	26.3994
440	29.0139
441	31.5694
442	34.2553
443	37.3432
444	41.0877
445	45.3734
446	49.8907
447	54.1814
448	57.8025
449	60.8445
450	63.6331
451	66.6032
452	70.1402
453	74.0542
454	77.9359
455	81.3046
456	83.7669
457	85.495
458	86.8408
459	88.1876
460	89.8431
461	91.722
462	93.6068
463	95.2619
464	96.5033
465	97.3934
466	98.0522
467	98.5677
468	99.007
469	99.3761
470	99.6641
471	99.8684
472	100
473	99.9777
474	99.6968
475	99.0573
476	97.98
477	96.446
478	94.4551
479	92.0126
480	89.1933
481	86.3196
482	83.7435
483	81.7802
484	80.5899
485	79.8528
486	79.1572
487	78.0864
488	76.3329
489	73.9278
490	70.9707
491	67.5721
492	63.9301
493	60.2278
494	56.6262
495	53.2701
496	50.2424
497	47.4302
498	44.6986
499	41.9401
500	39.0935
501	36.1989
502	33.3187
503	30.5024
504	27.7768
505	25.1296
506	22.5503
507	20.0587
508	17.6875
509	15.4789
510	13.4744
511	11.7033
512	10.1542
513	8.7991
514	7.612
515	6.5703
516	5.6567
517	4.8667
518	4.195
519	3.6329
520	3.1691
521	2.7882
522	2.4755
523	2.2172
524	2.0002
525	1.8108
526	1.6378
527	1.4773
528	1.3283
529	1.1926
530	1.0716
531	0.9655
532	0.8737
533	0.7932
534	0.7213
535	0.6555
536	0.5937
537	0.5347
538	0.478
539	0.4234
540	0.3715
541	0.3236
542	0.2808
543	0.2441
544	0.2137
545	0.1898
546	0.1728
547	0.1622
548	0.1565
549	0.1539
550	0.1538
551	0.1552
552	0.158
553	0.1612
554	0.1639
555	0.1653
556	0.1665
557	0.1663
558	0.1651
559	0.1632
560	0.161
561	0.1585
562	0.1558
563	0.1533
564	0.151
565	0.149
566	0.1502
567	0.1508
568	0.1509
569	0.1507
570	0.1512
