Wavelength/nm	____/%
395	0.0124
396	0.0155
397	0.0196
398	0.0243
399	0.0294
400	0.0345
401	0.0395
402	0.0442
403	0.0482
404	0.0515
405	0.0543
406	0.0567
407	0.059
408	0.0613
409	0.0639
410	0.0664
411	0.0692
412	0.0721
413	0.075
414	0.0778
415	0.0802
416	0.0825
417	0.0849
418	0.0877
419	0.0915
420	0.0965
421	0.1025
422	0.1088
423	0.1149
424	0.1204
425	0.1253
426	0.1301
427	0.1349
428	0.1399
429	0.1452
430	0.1504
431	0.1553
432	0.16
433	0.1644
434	0.1686
435	0.1729
436	0.1772
437	0.1812
438	0.1844
439	0.1862
440	0.1865
441	0.186
442	0.1858
443	0.1872
444	0.1908
445	0.1956
446	0.1999
447	0.2021
448	0.2011
449	0.1978
450	0.1937
451	0.1901
452	0.188
453	0.1866
454	0.1848
455	0.1815
456	0.1762
457	0.1693
458	0.1618
459	0.1546
460	0.1481
461	0.1422
462	0.1365
463	0.1311
464	0.1261
465	0.1216
466	0.1178
467	0.1149
468	0.1133
469	0.1123
470	0.1118
471	0.1118
472	0.1126
473	0.1145
474	0.1173
475	0.1215
476	0.1324
477	0.1452
478	0.1596
479	0.1749
480	0.1908
481	0.2074
482	0.2253
483	0.2448
484	0.2662
485	0.2887
486	0.3107
487	0.3301
488	0.3449
489	0.3547
490	0.3592
491	0.359
492	0.3539
493	0.3448
494	0.333
495	0.3187
496	0.3049
497	0.2889
498	0.275
499	0.2811
500	0.3054
501	0.3379
502	0.3787
503	0.4294
504	0.4919
505	0.5677
506	0.6581
507	0.7642
508	0.8873
509	1.0288
510	1.1918
511	1.3917
512	1.6414
513	1.9649
514	2.3411
515	2.7627
516	3.2288
517	3.743
518	4.3117
519	4.9437
520	5.6499
521	6.4368
522	7.3098
523	8.2731
524	9.3288
525	10.4722
526	11.6926
527	12.9728
528	14.2963
529	15.6761
530	17.1432
531	18.7422
532	20.5236
533	22.5086
534	24.707
535	27.1256
536	29.7538
537	32.5204
538	35.3232
539	38.04
540	40.5547
541	42.8488
542	44.9486
543	46.9016
544	48.7611
545	50.5375
546	52.2379
547	53.9063
548	55.5778
549	57.2165
550	58.7636
551	60.1555
552	61.3465
553	62.3688
554	63.2767
555	64.1262
556	64.9699
557	65.8415
558	66.7719
559	67.7938
560	68.9272
561	70.1335
562	71.3572
563	72.5404
564	73.6304
565	74.602
566	75.4425
567	76.1644
568	76.7879
569	77.3385
570	77.8436
571	78.3311
572	78.8255
573	79.3355
574	79.866
575	80.4211
576	81.0063
577	81.6362
578	82.3284
579	83.1022
580	83.9755
581	84.9514
582	86.0305
583	87.2132
584	88.4831
585	89.7527
586	90.9226
587	91.9237
588	92.705
589	93.2555
590	93.5753
591	93.6659
592	93.5485
593	93.3189
594	93.091
595	92.978
596	93.0727
597	93.3858
598	93.9091
599	94.6358
600	95.5457
601	96.561
602	97.5872
603	98.5278
604	99.2896
605	99.8003
606	100
607	99.8579
608	99.3719
609	98.6217
610	97.7073
611	96.7272
612	95.7692
613	94.8798
614	94.0951
615	93.4508
616	92.9696
617	92.6255
618	92.3808
619	92.1979
620	92.047
621	91.9266
622	91.842
623	91.7987
624	91.7969
625	91.8161
626	91.8282
627	91.7954
628	91.679
629	91.4463
630	91.0667
631	90.5098
632	89.7506
633	88.7828
634	87.6058
635	86.2206
636	84.643
637	82.9437
638	81.205
639	79.506
640	77.9192
641	76.4993
642	75.2958
643	74.3559
644	73.7182
645	73.3873
646	73.3573
647	73.6082
648	74.1064
649	74.7751
650	75.5265
651	76.2729
652	76.938
653	77.4975
654	77.9387
655	78.2483
656	78.4192
657	78.4716
658	78.4334
659	78.3332
660	78.2005
661	78.0659
662	77.9607
663	77.9174
664	77.9612
665	78.0855
666	78.2756
667	78.5172
668	78.7908
669	79.056
670	79.2671
671	79.3778
672	79.35
673	79.176
674	78.8564
675	78.3916
676	77.7907
677	77.0956
678	76.3561
679	75.6219
680	74.9438
681	74.3787
682	73.9845
683	73.8195
684	73.9334
685	74.3412
686	75.0389
687	75.9795
688	77.1049
689	78.3601
690	79.6896
691	81.0371
692	82.3446
693	83.5518
694	84.5972
695	85.4191
696	85.9746
697	86.2959
698	86.4349
699	86.4447
700	86.369
701	86.2149
702	85.9804
703	85.663
704	85.2638
705	84.7974
706	84.2823
707	83.7405
708	83.1934
709	82.6595
710	82.1562
711	81.7006
712	81.3116
713	81.0153
714	80.839
715	80.81
716	80.9495
717	81.256
718	81.7233
719	82.3459
720	83.1187
721	84.032
722	85.0755
723	86.2387
724	87.4972
725	88.7692
726	89.9594
727	90.9834
728	91.7762
729	92.3409
730	92.6985
731	92.8706
732	92.8668
733	92.6496
734	92.1711
735	91.3852
736	90.2668
737	88.862
738	87.2341
739	85.4442
740	83.5416
741	81.5388
742	79.439
743	77.2454
744	74.9657
745	72.6249
746	70.2509
747	67.8736
748	65.5122
749	63.1517
750	60.7717
751	58.3565
752	55.9015
753	53.43
754	50.97
755	48.5471
756	46.1773
757	43.8487
758	41.5459
759	39.2579
760	36.9802
761	34.7233
762	32.4993
763	30.3198
764	28.1965
765	26.146
766	24.183
767	22.3186
768	20.558
769	18.895
770	17.3231
771	15.8384
772	14.4397
773	13.13
774	11.9134
775	10.7944
776	9.7758
777	8.8529
778	8.0196
779	7.2705
780	6.6013
781	6.0085
782	5.4888
783	5.0381
784	4.652
785	4.3256
786	4.0538
787	3.831
788	3.6515
789	3.5094
790	3.3988
791	3.3137
792	3.248
793	3.1963
794	3.153
795	3.1127
796	3.0708
797	3.0261
798	2.9783
799	2.927
800	2.8722
801	2.815
802	2.7569
803	2.6991
804	2.6425
805	2.5867
806	2.5312
807	2.4754
808	2.4192
809	2.3628
810	2.307
811	2.2523
812	2.1993
813	2.1489
814	2.102
815	2.0593
816	2.0216
817	1.9887
818	1.9602
819	1.9359
820	1.9155
821	1.8983
822	1.8841
823	1.8719
824	1.8616
825	1.8528
826	1.8451
827	1.8385
828	1.8325
829	1.827
830	1.822
831	1.8171
832	1.8121
833	1.8068
834	1.8011
835	1.7946
836	1.7872
837	1.779
838	1.7701
839	1.761
840	1.7516
841	1.7425
842	1.734
843	1.7264
844	1.7199
845	1.7133
846	1.7052
847	1.6945
848	1.6797
849	1.6608
850	1.6376
851	1.61
852	1.5786
853	1.5459
854	1.515
855	1.4888
856	1.4691
857	1.4537
858	1.4398
859	1.4246
860	1.4059
861	1.384
862	1.3594
863	1.3327
864	1.3045
865	1.2749
866	1.2436
867	1.2108
868	1.1764
869	1.1407
870	1.1042
871	1.0672
872	1.03
873	0.9929
874	0.956
875	0.9194
876	0.8832
877	0.8478
878	0.8131
879	0.7795
880	0.747
881	0.7158
882	0.6858
883	0.6571
884	0.6297
885	0.6036
886	0.579
887	0.5557
888	0.5339
889	0.5136
890	0.4948
891	0.4776
892	0.462
893	0.4482
894	0.4363
895	0.4266
896	0.4191
897	0.414
898	0.4107
899	0.4088
900	0.4082
901	0.4089
902	0.4104
903	0.4129
904	0.416
905	0.4196
906	0.4233
907	0.427
908	0.4305
909	0.4336
910	0.4361
911	0.438
912	0.439
913	0.4391
914	0.438
915	0.4356
916	0.4319
917	0.4268
918	0.4208
919	0.4138
920	0.4062
921	0.398
922	0.3893
923	0.3802
924	0.3708
925	0.3614
926	0.3519
927	0.3426
928	0.3336
929	0.3249
930	0.3165
931	0.3085
932	0.3011
933	0.2941
934	0.2879
935	0.2824
936	0.2781
937	0.2747
938	0.2722
939	0.2703
940	0.2692
941	0.2687
942	0.2687
943	0.2689
944	0.2695
945	0.2703
946	0.2713
947	0.2723
948	0.2734
949	0.2744
950	0.2752
951	0.2758
952	0.276
953	0.2758
954	0.2751
955	0.2737
956	0.2719
957	0.2695
958	0.2667
959	0.2635
960	0.26
961	0.2562
962	0.2521
963	0.2479
964	0.2435
965	0.2391
966	0.2347
967	0.2304
968	0.2261
969	0.2221
970	0.2183
971	0.2147
972	0.2113
973	0.2082
974	0.2056
975	0.2034
976	0.2017
977	0.2005
978	0.1995
979	0.1986
980	0.1978
981	0.197
982	0.1961
983	0.1953
984	0.1942
985	0.1931
986	0.1917
987	0.1901
988	0.1883
989	0.1863
990	0.184
991	0.1815
992	0.1788
993	0.1757
994	0.1723
995	0.1686
996	0.1648
997	0.1608
998	0.1565
999	0.1522
1000	0.1479
