__/nm	____/%
620	1.0263
621	1.0343
622	1.0424
623	1.0505
624	1.0587
625	1.0665
626	1.0737
627	1.0799
628	1.0846
629	1.0876
630	1.0885
631	1.0872
632	1.0833
633	1.0771
634	1.0685
635	1.0577
636	1.045
637	1.0309
638	1.0162
639	1.0016
640	0.9876
641	0.9749
642	0.9639
643	0.9551
644	0.9489
645	0.9452
646	0.9437
647	0.9441
648	0.9461
649	0.9487
650	0.951
651	0.952
652	0.9508
653	0.9474
654	0.9418
655	0.9343
656	0.925
657	0.9144
658	0.903
659	0.8915
660	0.8805
661	0.8704
662	0.8617
663	0.8549
664	0.8504
665	0.8484
666	0.8489
667	0.8519
668	0.8576
669	0.8653
670	0.875
671	0.8864
672	0.8987
673	0.9127
674	0.9282
675	0.9455
676	0.9648
677	0.986
678	1.0092
679	1.0344
680	1.0616
681	1.0909
682	1.1225
683	1.1567
684	1.1935
685	1.2327
686	1.2738
687	1.3164
688	1.36
689	1.4043
690	1.4492
691	1.4943
692	1.5394
693	1.584
694	1.6279
695	1.6706
696	1.7117
697	1.7519
698	1.792
699	1.8331
700	1.8759
701	1.9204
702	1.9664
703	2.0134
704	2.0613
705	2.11
706	2.1594
707	2.2097
708	2.2609
709	2.313
710	2.3665
711	2.4216
712	2.4784
713	2.5373
714	2.5985
715	2.6622
716	2.7291
717	2.8024
718	2.8858
719	2.983
720	3.098
721	3.2347
722	3.3972
723	3.5898
724	3.8168
725	4.0802
726	4.3815
727	4.7212
728	5.1001
729	5.5211
730	5.9883
731	6.5057
732	7.0769
733	7.7024
734	8.3809
735	9.1096
736	9.8859
737	10.715
738	11.605
739	12.5652
740	13.6057
741	14.734
742	15.9566
743	17.2808
744	18.7147
745	20.2699
746	21.9581
747	23.7834
748	25.7474
749	27.8409
750	30.0493
751	32.3548
752	34.7396
753	37.1994
754	39.7352
755	42.3503
756	45.0445
757	47.7953
758	50.5708
759	53.3354
760	56.0534
761	58.7023
762	61.2639
763	63.7207
764	66.061
765	68.2958
766	70.4479
767	72.5532
768	74.6438
769	76.713
770	78.7417
771	80.7081
772	82.5912
773	84.3794
774	86.0634
775	87.6334
776	89.0766
777	90.3724
778	91.4973
779	92.4283
780	93.1481
781	93.6626
782	93.9844
783	94.1268
784	94.1035
785	93.9279
786	93.6162
787	93.1943
788	92.6923
789	92.1452
790	91.5893
791	91.06
792	90.596
793	90.2511
794	90.0828
795	90.1483
796	90.4849
797	91.0472
798	91.7692
799	92.5841
800	93.4357
801	94.3112
802	95.21
803	96.1329
804	97.0683
805	97.9511
806	98.7094
807	99.3039
808	99.7111
809	99.938
810	100
811	99.9126
812	99.695
813	99.3782
814	98.9964
815	98.5835
816	98.1663
817	97.7465
818	97.3193
819	96.8803
820	96.4253
821	95.9496
822	95.4488
823	94.9188
824	94.3562
825	93.7584
826	93.1239
827	92.453
828	91.7501
829	91.0339
830	90.3261
831	89.6478
832	89.0168
833	88.4386
834	87.9157
835	87.4504
836	87.0447
837	86.7011
838	86.4224
839	86.2113
840	86.0739
841	86.0283
842	86.0962
843	86.3002
844	86.6402
845	87.0228
846	87.3304
847	87.4489
848	87.2915
849	86.884
850	86.2813
851	85.5396
852	84.7284
853	83.9678
854	83.3924
855	83.1388
856	83.2938
857	83.7379
858	84.2975
859	84.7964
860	85.0885
861	85.1544
862	85.007
863	84.6598
864	84.1195
865	83.3645
866	82.3755
867	81.1685
868	79.7745
869	78.2456
870	76.6377
871	75.0054
872	73.3992
873	71.8604
874	70.4273
875	69.1369
876	68.0184
877	67.0716
878	66.2895
879	65.6653
880	65.1909
881	64.8527
882	64.6363
883	64.5272
884	64.5108
885	64.5702
886	64.688
887	64.8481
888	65.0327
889	65.2171
890	65.3748
891	65.479
892	65.5049
893	65.4359
894	65.2576
895	64.9548
896	64.5135
897	63.9257
898	63.1865
899	62.292
900	61.2421
901	60.0455
902	58.7133
903	57.2577
904	55.6916
905	54.0292
906	52.2802
907	50.4346
908	48.4794
909	46.408
910	44.2145
911	41.8924
912	39.4328
913	36.8219
914	34.0447
915	31.0869
916	27.9497
917	24.6958
918	21.4003
919	18.1348
920	14.9673
921	11.9615
922	9.1804
923	6.6872
924	3.7795
925	3.5926
926	3.4333
927	3.2958
928	3.1813
929	3.0814
930	2.9954
931	2.9175
932	2.8468
933	2.7779
934	2.7146
935	2.651
936	2.5928
937	2.5346
938	2.4782
939	2.4262
940	2.374
941	2.3229
942	2.2756
943	2.2247
944	2.1763
945	2.1291
946	2.0802
947	2.0354
948	1.9885
949	1.9405
950	1.8939
951	1.8485
952	1.8002
953	1.7533
954	1.7035
955	1.6567
956	1.6105
957	1.5628
958	1.5161
959	1.4708
960	1.4256
961	1.3832
962	1.3408
963	1.2987
964	1.2594
965	1.2202
966	1.1834
967	1.1488
968	1.1161
969	1.0856
970	1.056
971	1.0303
972	1.0023
973	0.9782
974	0.958
975	0.938
976	0.9192
977	0.9035
978	0.8883
979	0.8731
980	0.8611
981	0.8477
982	0.8345
983	0.822
984	0.8094
985	0.7998
986	0.7887
987	0.777
988	0.7665
989	0.7567
990	0.7461
991	0.7363
992	0.727
993	0.7185
994	0.7093
995	0.7011
996	0.6934
997	0.6858
998	0.6784
999	0.672
1000	0.6656
1001	0.6594
1002	0.6544
1003	0.6512
1004	0.6467
1005	0.6442
1006	0.6433
1007	0.6412
1008	0.6418
1009	0.6423
1010	0.6452
1011	0.6465
1012	0.651
1013	0.6558
1014	0.6613
1015	0.6683
1016	0.6768
1017	0.6847
1018	0.6942
1019	0.7042
1020	0.7137
