nm	%
1606	0.0654
1611	0.132179
1616	0.09
1621	0.155449
1626	0.1701
1631	0.185946
1636	0.0722
1641	0.055288
1646	0.1482
1651	0.173731
1656	0.1926
1661	0.121216
1666	0.0525
1671	0.122029
1676	0.0651
1681	0.068849
1686	0.1104
1691	0.100767
1696	0.1439
1701	0.152058
1706	0.1295
1711	0.116904
1716	0.0845
1721	0.104628
1726	0.132
1731	0.189952
1736	0.0533
1741	0.060001
1746	0.2327
1751	0.085596
1756	0.109
1761	0.101054
1766	0.0629
1771	0.15123
1776	0.1654
1781	0.133317
1786	0.0831
1791	0.268229
1796	0.0928
1801	0.101115
1806	0.0989
1811	0.062322
1816	0.0583
1821	0.095961
1826	0.2054
1831	0.150337
1836	0.1034
1841	0.098567
1846	0.1875
1851	0.124581
1856	0.1279
1861	0.126376
1866	0.137
1871	0.095606
1876	0.0891
1881	0.131531
1886	0.0871
1891	0.085197
1896	0.0575
1901	0.144029
1906	0.1131
1911	0.251298
1916	0.1274
1921	0.270053
1926	0.183
1931	0.093207
1936	0.0562
1941	0.046097
1946	0.1668
1951	0.098664
1956	0.1517
1961	0.100041
1966	0.1676
1971	0.112322
1976	0.1471
1981	0.139401
1986	0.1595
1991	0.456959
1996	0.8081
2001	0.821159
2006	0.7822
2011	0.978706
2016	1.2871
2021	1.52833
2026	1.9356
2031	2.539601
2036	3.1592
2041	4.068045
2046	5.1323
2051	6.439467
2056	8.128
2061	10.35756
2066	13.0879
2071	16.51743
2076	20.595
2081	25.16709
2086	30.8539
2091	36.34433
2096	42.278
2101	47.24476
2106	52.2673
2111	56.33881
2116	59.298
2121	62.16619
2126	64.1372
2131	65.74532
2136	67.3786
2141	68.73121
2146	70.3778
2151	71.38305
2156	72.3924
2161	73.74387
2166	75.017
2171	76.33731
2176	77.3962
2181	78.46423
2186	80.2782
2191	81.65336
2196	82.7902
2201	83.7744
2206	84.8043
2211	85.29148
2216	86.6183
2221	87.95156
2226	88.0426
2231	89.32186
2236	88.8479
2241	89.8401
2246	90.3956
2251	91.53855
2256	92.5603
2261	93.48816
2266	94.0701
2271	95.80711
2276	96.7089
2281	98.04768
2286	98.9892
2291	99.1897
2296	99.2764
2301	99.25057
2306	98.0428
2311	95.24856
2316	92.5812
2321	87.88898
2326	82.7733
2331	77.04063
2336	70.6243
2341	62.91082
2346	56.0377
2351	48.8902
2356	42.2161
2361	36.62343
2366	31.3159
2371	26.92672
2376	23.1745
2381	19.99006
2386	17.1252
2391	14.82219
2396	12.6794
2401	11.04057
2406	9.7444
2411	8.341737
2416	7.1649
2421	6.330603
2426	5.6924
2431	4.968775
2436	4.3095
2441	4.043052
2446	3.5326
2451	3.120332
2456	3.0235
2461	2.791712
2466	2.2908
2471	1.821052
2476	1.8022
2481	1.539045
2486	1.3845
2491	1.234552
2496	1.1796
2501	1.170545
2506	0.9834
2511	0.972124
2516	0.7328
2521	0.661186
2526	0.6396
2531	0.458096
2536	0.3862
2541	0.43839
2546	0.291
2551	0.253441
2556	0.2835
2561	0.204327
2566	0.1948
2571	0.121125
2576	0.0657
2581	0.172315
2586	0.0818
2591	0.143423
2596	0.1819
2601	0.23162
2606	0.0764
2611	0.063427
2616	0.0253
2621	0.103586
2626	0.0911
2631	0.108234
2636	0.1656
2641	0.186905
2646	0.0432
2651	0.114607
2656	0.0571
2661	0.127431
2666	0.0848
2671	0.084085
2676	0.086
2681	0.102036
2686	0.1724
2691	0.099394
2696	0.0801
2701	0.088777
2706	0.1475
2711	0.11372
2716	0.0998
2721	0.082201
2726	0.0803
2731	0.119197
2736	0.0965
2741	0.061238
2746	0.132
2751	0.181757
2756	0.0698
2761	0.150606
2766	0.1409
2771	0.070027
2776	0.1107
2781	0.144273
2786	0.0804
2791	0.046457
2796	0.0634
