site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
AKA,2021-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0
AKA,2021-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0
AKA,2021-01-01 02:00:00,37.2784,94.9565,27.4522,9.8262,95.3044
AKA,2021-01-01 03:00:00,167.3248,350.7453,89.0646,78.2601,304.1726
AKA,2021-01-01 04:00:00,301.9313,518.6342,128.1633,173.768,468.9767
AKA,2021-01-01 05:00:00,397.6852,607.7601,148.1105,249.5747,577.4736
AKA,2021-01-01 06:00:00,438.4564,641.6011,154.8528,283.6036,622.2722
AKA,2021-01-01 07:00:00,418.9309,629.1191,150.5466,268.3843,600.3203
AKA,2021-01-01 08:00:00,341.678,567.7512,134.1086,207.5694,513.1133
AKA,2021-01-01 09:00:00,217.6419,434.5546,102.6112,115.0308,366.5926
AKA,2021-01-01 10:00:00,76.8221,193.4248,49.6156,27.2065,170.7404
AKA,2021-01-01 11:00:00,2.0266,4.4493,1.8646,0.1619,7.5333
AKA,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
AKA,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
AKA,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
AKA,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
AKA,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
AKA,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
AKA,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
AKA,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
AKA,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
AKA,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
AKA,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
AKA,2021-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0
AKA,2021-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0
AKA,2021-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0
AKA,2021-01-02 02:00:00,43.6257,180.015,25.3857,18.24,95.1387
AKA,2021-01-02 03:00:00,190.4855,533.1677,72.5274,117.9581,304.4141
AKA,2021-01-02 04:00:00,332.72,699.8499,98.299,234.4211,469.7342
AKA,2021-01-02 05:00:00,431.4458,777.1499,111.7213,319.7245,578.783
AKA,2021-01-02 06:00:00,474.0454,807.5529,116.0271,358.0183,624.1318
AKA,2021-01-02 07:00:00,455.9684,802.0978,112.5133,343.455,602.691
AKA,2021-01-02 08:00:00,378.4194,753.9044,101.617,276.8024,515.9214
AKA,2021-01-02 09:00:00,249.9902,635.1676,81.404,168.5861,369.7346
AKA,2021-01-02 10:00:00,94.4483,361.3475,44.6018,49.8466,174.0904
AKA,2021-01-02 11:00:00,2.6992,13.0072,2.2227,0.4765,8.3871
AKA,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
AKA,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
AKA,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
AKA,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
AKA,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
AKA,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
AKA,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
AKA,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
