site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
ALF,2021-01-01 00:00:00,63.1133,183.5415,38.2474,24.8659,128.7525
ALF,2021-01-01 01:00:00,272.9823,578.4379,101.7713,171.211,405.8388
ALF,2021-01-01 02:00:00,485.8171,790.9282,124.1815,361.6356,640.4103
ALF,2021-01-01 03:00:00,649.6758,899.7678,127.6389,522.0369,815.8278
ALF,2021-01-01 04:00:00,748.012,956.8523,122.4588,625.5532,920.1389
ALF,2021-01-01 05:00:00,774.4706,986.7967,111.2363,663.2343,946.2349
ALF,2021-01-01 06:00:00,726.003,984.1877,102.0509,623.9521,892.3356
ALF,2021-01-01 07:00:00,606.7681,944.7258,94.791,511.9771,762.1115
ALF,2021-01-01 08:00:00,428.3372,859.5187,82.0987,346.2386,564.433
ALF,2021-01-01 09:00:00,209.8735,655.3939,59.0471,150.8264,312.7667
ALF,2021-01-01 10:00:00,24.1515,135.9813,12.6409,11.5106,50.7421
ALF,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-02 00:00:00,71.2291,321.2768,30.0746,41.1545,127.6233
ALF,2021-01-02 01:00:00,289.5971,745.0869,71.7861,217.8111,405.0459
ALF,2021-01-02 02:00:00,498.6397,895.1492,90.4089,408.2308,640.1816
ALF,2021-01-02 03:00:00,659.4315,968.3599,97.5364,561.8951,816.2344
ALF,2021-01-02 04:00:00,756.7777,1008.1017,97.0375,659.7402,921.2088
ALF,2021-01-02 05:00:00,782.3233,1023.7656,92.997,689.3264,947.9506
ALF,2021-01-02 06:00:00,733.4943,1013.5172,89.2974,644.1969,894.6355
ALF,2021-01-02 07:00:00,614.272,972.2618,85.4659,528.8061,764.8942
ALF,2021-01-02 08:00:00,435.3302,886.2075,76.4239,358.9063,567.5644
ALF,2021-01-02 09:00:00,215.8305,687.4007,56.4603,159.3702,316.0887
ALF,2021-01-02 10:00:00,25.9309,154.2183,12.757,13.1739,52.739
ALF,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-03 00:00:00,72.5377,355.4577,27.6316,44.9061,126.5977
ALF,2021-01-03 01:00:00,293.1165,786.6409,63.8905,229.226,404.3739
ALF,2021-01-03 02:00:00,502.4382,927.7756,79.5263,422.9119,640.0787
ALF,2021-01-03 03:00:00,662.6478,991.9395,86.8035,575.8442,816.7685
ALF,2021-01-03 04:00:00,758.8868,1022.0541,89.1898,669.697,922.404
ALF,2021-01-03 05:00:00,783.4293,1029.8749,88.6485,694.7808,949.7858
ALF,2021-01-03 06:00:00,734.2584,1016.4423,86.4751,647.7833,897.0462
ALF,2021-01-03 07:00:00,615.423,976.5723,82.3007,533.1224,767.7764
ALF,2021-01-03 08:00:00,437.1151,893.1691,73.415,363.7001,570.7821
ALF,2021-01-03 09:00:00,218.0354,697.6522,54.7332,163.3022,319.4831
ALF,2021-01-03 10:00:00,26.9604,161.5675,12.9279,14.0324,54.8
ALF,2021-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-03 15:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-04 00:00:00,68.5906,314.4625,28.5935,39.9971,125.6769
ALF,2021-01-04 01:00:00,282.7788,731.452,69.651,213.1278,403.8237
ALF,2021-01-04 02:00:00,488.7927,873.8978,90.3538,398.4389,640.1023
ALF,2021-01-04 03:00:00,648.063,943.4459,99.8242,548.2388,817.4299
ALF,2021-01-04 04:00:00,745.1338,981.7336,100.9064,644.2274,923.7236
ALF,2021-01-04 05:00:00,771.2327,995.2921,98.4052,672.8275,951.7394
ALF,2021-01-04 06:00:00,723.9052,984.5158,94.7062,629.199,899.5659
ALF,2021-01-04 07:00:00,607.0653,944.5214,89.4166,517.6487,770.7559
ALF,2021-01-04 08:00:00,431.1524,859.6961,78.9812,352.1711,574.0836
ALF,2021-01-04 09:00:00,215.3698,664.938,57.9451,157.4247,322.9473
ALF,2021-01-04 10:00:00,27.2489,152.2858,13.6431,13.6058,56.8858
ALF,2021-01-04 11:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-04 12:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-04 13:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-04 14:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-04 15:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-04 16:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-04 17:00:00,0.0,0.0,0.0,0.0,0.0
ALF,2021-01-04 18:00:00,0.0,0.0,0.0,0.0,0.0
