site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
ASA,2021-01-01 00:00:00,63.0314,279.6749,30.5019,32.5295,122.6468
ASA,2021-01-01 01:00:00,234.6204,649.8645,71.3598,163.2607,347.833
ASA,2021-01-01 02:00:00,393.3751,803.5303,91.7494,301.6257,526.8669
ASA,2021-01-01 03:00:00,503.7809,870.7402,103.0584,400.7224,647.5615
ASA,2021-01-01 04:00:00,553.0081,891.3646,108.723,444.2851,701.6938
ASA,2021-01-01 05:00:00,537.3404,879.6374,108.8913,428.4491,685.5754
ASA,2021-01-01 06:00:00,459.0563,837.0847,101.6988,357.3575,600.3038
ASA,2021-01-01 07:00:00,325.8444,744.0971,85.6897,240.1546,451.6882
ASA,2021-01-01 08:00:00,154.8559,525.4575,57.1848,97.6711,249.8533
ASA,2021-01-01 09:00:00,15.373,83.8393,9.7284,5.6446,36.4611
ASA,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-02 00:00:00,57.6036,204.6816,33.4622,24.1414,122.2209
ASA,2021-01-02 01:00:00,219.296,529.9538,85.7041,133.5919,347.8551
ASA,2021-01-02 02:00:00,372.3823,682.2072,115.9006,256.4817,527.4261
ASA,2021-01-02 03:00:00,479.773,751.1125,133.4529,346.3201,648.6996
ASA,2021-01-02 04:00:00,528.2728,773.4768,141.8095,386.4633,703.4136
ASA,2021-01-02 05:00:00,512.5304,758.6161,141.7871,370.7433,687.8397
ASA,2021-01-02 06:00:00,433.7437,701.39,132.7241,301.0196,603.0385
ASA,2021-01-02 07:00:00,300.9597,582.4763,111.1072,189.8525,454.7874
ASA,2021-01-02 08:00:00,137.2759,355.1348,69.3663,67.9096,253.1861
ASA,2021-01-02 09:00:00,13.6609,45.6368,10.4489,3.212,38.3212
ASA,2021-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-03 00:00:00,60.7244,255.5067,30.9683,29.7561,121.9379
ASA,2021-01-03 01:00:00,229.4776,614.4138,74.8513,154.6263,348.0283
ASA,2021-01-03 02:00:00,387.6309,771.7784,97.1585,290.4724,528.1391
ASA,2021-01-03 03:00:00,499.1811,846.2076,108.2375,390.9436,649.9913
ASA,2021-01-03 04:00:00,550.8998,876.4494,111.8169,439.0829,705.2831
ASA,2021-01-03 05:00:00,537.9166,873.9462,109.3824,428.5341,690.2472
ASA,2021-01-03 06:00:00,459.9071,829.1012,102.5662,357.3409,605.9074
ASA,2021-01-03 07:00:00,325.0157,721.5576,88.7173,236.2984,458.0097
ASA,2021-01-03 08:00:00,154.3708,495.6641,59.6889,94.6819,256.63
ASA,2021-01-03 09:00:00,16.3896,83.0756,10.5161,5.8735,40.257
ASA,2021-01-03 10:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0
ASA,2021-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0
