site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
BJC,2021-01-01 00:00:00,82.6841,214.136,50.6455,32.0385,185.1217
BJC,2021-01-01 01:00:00,226.2749,464.0597,98.4666,127.8083,381.7203
BJC,2021-01-01 02:00:00,353.0568,609.0501,123.7921,229.2647,528.2554
BJC,2021-01-01 03:00:00,426.4695,654.6818,140.6191,285.8504,614.7444
BJC,2021-01-01 04:00:00,436.0726,631.3469,151.135,284.9375,635.2953
BJC,2021-01-01 05:00:00,386.4362,568.3447,148.4415,237.9947,588.5077
BJC,2021-01-01 06:00:00,285.3629,460.1029,128.1738,157.1891,477.569
BJC,2021-01-01 07:00:00,152.5604,291.6761,85.9885,66.5719,310.0374
BJC,2021-01-01 08:00:00,33.1052,74.3709,25.2054,7.8999,98.1652
BJC,2021-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-01 23:00:00,2.2637,2.3035,2.169,0.0947,11.2102
BJC,2021-01-02 00:00:00,58.358,81.9045,45.9487,12.4093,185.0278
BJC,2021-01-02 01:00:00,164.2329,206.0,107.1572,57.0757,382.1051
BJC,2021-01-02 02:00:00,266.8576,298.4374,154.1768,112.6808,529.1782
BJC,2021-01-02 03:00:00,334.8421,350.9095,181.1334,153.7087,616.2281
BJC,2021-01-02 04:00:00,353.1618,365.9789,187.4803,165.6815,637.3244
BJC,2021-01-02 05:00:00,317.9285,343.3362,173.5923,144.3362,591.0297
BJC,2021-01-02 06:00:00,235.3901,280.5406,138.9374,96.4527,480.4981
BJC,2021-01-02 07:00:00,125.6747,174.303,85.4441,40.2306,313.2601
BJC,2021-01-02 08:00:00,28.4014,43.6207,23.6665,4.7349,101.2928
BJC,2021-01-02 09:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
BJC,2021-01-02 23:00:00,2.7383,6.1494,2.4848,0.2535,11.1468
BJC,2021-01-03 00:00:00,75.1451,179.831,48.2548,26.8903,185.0883
