site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
BJF,2021-01-01 00:00:00,91.9559,331.7388,45.5139,46.442,172.5145
BJF,2021-01-01 01:00:00,254.9124,655.7067,79.4423,175.47,371.8194
BJF,2021-01-01 02:00:00,393.7973,814.2312,91.2324,302.5649,521.752
BJF,2021-01-01 03:00:00,477.7657,873.722,97.8372,379.9286,612.0987
BJF,2021-01-01 04:00:00,497.1529,869.2026,104.031,393.1219,636.7044
BJF,2021-01-01 05:00:00,454.2828,828.5089,104.4956,349.7872,593.8926
BJF,2021-01-01 06:00:00,353.7612,741.8066,96.4157,257.3455,486.5798
BJF,2021-01-01 07:00:00,207.9862,567.5737,75.3665,132.6197,322.0771
BJF,2021-01-01 08:00:00,53.1233,208.4216,30.1887,22.9346,111.6407
BJF,2021-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0
BJF,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
BJF,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
BJF,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
BJF,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
BJF,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
BJF,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
BJF,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
BJF,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
BJF,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
BJF,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
BJF,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
BJF,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
BJF,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
BJF,2021-01-01 23:00:00,1.972,4.2594,1.8204,0.1516,7.339
BJF,2021-01-02 00:00:00,79.5743,210.6186,49.5724,30.0019,172.3934
BJF,2021-01-02 01:00:00,225.5333,468.6415,99.6638,125.8695,372.1725
BJF,2021-01-02 02:00:00,353.264,605.145,127.9383,225.3257,522.6408
BJF,2021-01-02 03:00:00,433.3812,667.4371,142.3836,290.9976,613.5483
BJF,2021-01-02 04:00:00,455.0478,680.5645,146.2879,308.7599,638.7017
BJF,2021-01-02 05:00:00,416.0703,650.7729,140.1539,275.9164,596.3873
BJF,2021-01-02 06:00:00,322.5408,576.386,121.3243,201.2165,489.4877
BJF,2021-01-02 07:00:00,187.8044,426.9516,86.8142,100.9902,325.2862
BJF,2021-01-02 08:00:00,48.1556,146.9747,31.5624,16.5932,114.9708
BJF,2021-01-02 09:00:00,0.0,0.0,0.0,0.0,0.0
