site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
BNF,2021-01-01 00:00:00,69.5591,135.1314,48.3159,21.2432,163.2137
BNF,2021-01-01 01:00:00,265.5022,421.4659,128.4526,137.0496,445.8714
BNF,2021-01-01 02:00:00,468.0589,593.5769,178.0227,290.0362,684.201
BNF,2021-01-01 03:00:00,626.3505,685.1223,206.3377,420.0127,861.9659
BNF,2021-01-01 04:00:00,720.9703,727.8634,220.8949,500.0753,967.0535
BNF,2021-01-01 05:00:00,743.5817,736.6003,224.3852,519.1965,992.3015
BNF,2021-01-01 06:00:00,690.7333,706.9642,220.4048,470.3285,935.9873
BNF,2021-01-01 07:00:00,566.9638,632.2068,205.8414,361.1225,801.9457
BNF,2021-01-01 08:00:00,386.4033,500.9583,170.8139,215.5894,599.3071
BNF,2021-01-01 09:00:00,179.7239,292.0052,104.5853,75.1386,341.8756
BNF,2021-01-01 10:00:00,22.951,40.8663,18.7627,4.1882,65.7107
BNF,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-01 23:00:00,0.0282,0.0,0.0282,0.0,0.128
BNF,2021-01-02 00:00:00,75.0631,190.4332,45.8626,29.2004,161.851
BNF,2021-01-02 01:00:00,279.6149,511.236,114.5577,165.0572,444.9737
BNF,2021-01-02 02:00:00,482.9788,669.636,156.342,326.6368,683.8798
BNF,2021-01-02 03:00:00,641.3031,754.4357,178.6576,462.6455,862.2932
BNF,2021-01-02 04:00:00,736.925,800.8925,186.1073,550.8177,968.0568
BNF,2021-01-02 05:00:00,760.4647,815.3167,184.8419,575.6227,993.9623
BNF,2021-01-02 06:00:00,709.4875,798.5569,177.1053,532.3823,938.2422
BNF,2021-01-02 07:00:00,588.5712,744.8016,162.1012,426.4699,804.6906
BNF,2021-01-02 08:00:00,410.0841,636.9848,135.4998,274.5844,602.4047
BNF,2021-01-02 09:00:00,198.1835,422.6124,89.6037,108.5798,345.1643
BNF,2021-01-02 10:00:00,26.2035,72.3698,18.7415,7.462,67.8686
BNF,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-02 23:00:00,0.0223,0.0,0.022,0.0002,0.1038
BNF,2021-01-03 00:00:00,72.7503,176.3074,45.6153,27.135,160.5942
BNF,2021-01-03 01:00:00,275.888,497.9282,115.1648,160.7233,444.1905
BNF,2021-01-03 02:00:00,480.0388,665.1874,155.5563,324.4825,683.6782
BNF,2021-01-03 03:00:00,639.7006,756.2301,175.6787,464.0218,862.7414
BNF,2021-01-03 04:00:00,736.9981,807.1149,181.2461,555.752,969.1788
BNF,2021-01-03 05:00:00,762.4562,826.0257,178.2424,584.2137,995.736
BNF,2021-01-03 06:00:00,713.0092,812.3557,170.0852,542.924,940.601
BNF,2021-01-03 07:00:00,593.0762,760.4933,156.1342,436.9421,807.5278
BNF,2021-01-03 08:00:00,415.2576,655.4023,131.3618,283.8958,605.581
BNF,2021-01-03 09:00:00,202.4877,440.3116,88.4271,114.0606,348.5177
BNF,2021-01-03 10:00:00,27.4433,77.9595,19.2819,8.1615,70.1549
BNF,2021-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-03 15:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-03 23:00:00,0.0186,0.0,0.017,0.0016,0.0813
BNF,2021-01-04 00:00:00,82.2197,307.0275,37.3005,44.9192,159.4448
BNF,2021-01-04 01:00:00,294.6295,658.4505,84.1314,210.4981,443.5226
BNF,2021-01-04 02:00:00,497.1826,790.467,112.3005,384.8821,683.5964
BNF,2021-01-04 03:00:00,654.2075,857.5298,127.9092,526.2983,863.3105
BNF,2021-01-04 04:00:00,749.7097,894.2982,133.1983,616.5114,970.4188
BNF,2021-01-04 05:00:00,774.0936,904.2725,133.3231,640.7704,997.6213
BNF,2021-01-04 06:00:00,724.2941,885.0572,131.228,593.0662,943.0616
BNF,2021-01-04 07:00:00,604.4314,830.2339,125.7475,478.6839,810.4549
BNF,2021-01-04 08:00:00,426.3705,724.6412,111.0237,315.3467,608.8337
BNF,2021-01-04 09:00:00,211.9673,512.4359,78.8469,133.1203,351.933
BNF,2021-01-04 10:00:00,30.0437,106.8848,18.8635,11.1802,72.5007
BNF,2021-01-04 11:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-04 12:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-04 13:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-04 14:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-04 15:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-04 16:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-04 17:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-04 18:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-04 19:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-04 20:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-04 21:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-04 22:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-04 23:00:00,0.0137,0.0,0.0121,0.0017,0.0606
BNF,2021-01-05 00:00:00,78.0026,252.1432,40.5733,37.4292,158.4043
BNF,2021-01-05 01:00:00,288.3547,599.8784,96.2472,192.1075,442.9709
BNF,2021-01-05 02:00:00,493.0703,747.6144,128.8076,364.2627,683.6349
BNF,2021-01-05 03:00:00,652.0195,823.922,145.8674,506.1521,864.0001
BNF,2021-01-05 04:00:00,748.437,865.3632,151.0156,597.4213,971.7759
BNF,2021-01-05 05:00:00,773.2142,877.8817,149.8959,623.3183,999.6166
BNF,2021-01-05 06:00:00,722.9982,859.029,145.7953,577.2029,945.6224
BNF,2021-01-05 07:00:00,602.4525,803.0586,137.6742,464.7782,813.4696
BNF,2021-01-05 08:00:00,424.0698,695.4564,119.6683,304.4015,612.1602
BNF,2021-01-05 09:00:00,210.3799,482.14,83.6726,126.7073,355.4077
BNF,2021-01-05 10:00:00,30.2402,96.7327,19.8656,10.3746,74.8712
BNF,2021-01-05 11:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-05 12:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-05 13:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-05 14:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-05 15:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-05 16:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-05 17:00:00,0.0,0.0,0.0,0.0,0.0
BNF,2021-01-05 18:00:00,0.0,0.0,0.0,0.0,0.0
