site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
CBF,2021-01-01 00:00:00,210.0546,716.5315,55.4914,154.5631,300.73
CBF,2021-01-01 01:00:00,339.0123,806.3682,78.9759,260.0364,453.3152
CBF,2021-01-01 02:00:00,420.6881,831.1071,96.1184,324.5697,549.7756
CBF,2021-01-01 03:00:00,449.1593,835.7253,102.7481,346.4112,583.5402
CBF,2021-01-01 04:00:00,421.5656,824.6162,97.9361,323.6295,552.3088
CBF,2021-01-01 05:00:00,336.8685,767.6766,86.3688,250.4997,458.2092
CBF,2021-01-01 06:00:00,205.716,631.9439,65.5443,140.1718,307.6526
CBF,2021-01-01 07:00:00,57.2506,288.8272,27.4471,29.8035,110.8963
CBF,2021-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-01 23:00:00,60.2966,400.8448,21.3998,38.8968,102.4962
CBF,2021-01-02 00:00:00,217.6702,770.704,51.3217,166.3485,301.0966
CBF,2021-01-02 01:00:00,349.3419,857.9146,72.2257,277.1161,454.1913
CBF,2021-01-02 02:00:00,432.7534,880.9953,87.811,344.9424,551.1912
CBF,2021-01-02 03:00:00,460.8076,879.9889,94.8406,365.967,585.4884
CBF,2021-01-02 04:00:00,430.4532,855.1332,93.3284,337.1248,554.7466
CBF,2021-01-02 05:00:00,342.6043,784.3286,84.9972,257.6071,461.0605
CBF,2021-01-02 06:00:00,207.4018,625.2786,66.9565,140.4453,310.813
CBF,2021-01-02 07:00:00,57.2245,268.6044,28.7772,28.4473,114.2408
CBF,2021-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-02 09:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-02 23:00:00,58.1758,380.2194,21.0383,37.1375,102.5804
CBF,2021-01-03 00:00:00,215.4899,772.9666,47.8796,167.6103,301.6251
CBF,2021-01-03 01:00:00,352.0411,899.0067,60.7524,291.2887,455.2312
CBF,2021-01-03 02:00:00,441.3389,951.759,67.5249,373.8141,552.7693
CBF,2021-01-03 03:00:00,473.5671,967.2626,69.8618,403.7053,587.5952
CBF,2021-01-03 04:00:00,445.6031,953.131,68.1692,377.434,557.3364
CBF,2021-01-03 05:00:00,360.0021,901.5529,62.2729,297.7292,464.0547
CBF,2021-01-03 06:00:00,225.8079,778.0901,50.287,175.5209,314.1061
CBF,2021-01-03 07:00:00,67.8634,423.4965,24.1658,43.6976,117.7067
CBF,2021-01-03 08:00:00,0.0221,0.0,0.0216,0.0006,0.0886
CBF,2021-01-03 09:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-03 10:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-03 15:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-03 23:00:00,52.0736,274.856,24.5369,27.5366,102.8148
CBF,2021-01-04 00:00:00,200.3918,633.7639,62.1692,138.2227,302.3158
CBF,2021-01-04 01:00:00,333.4595,768.7267,83.5975,249.862,456.4346
CBF,2021-01-04 02:00:00,420.7075,822.9451,96.4606,324.2469,554.5095
CBF,2021-01-04 03:00:00,450.8312,829.1267,103.4487,347.3825,589.8593
CBF,2021-01-04 04:00:00,420.5571,794.2194,104.3934,316.1637,560.0764
CBF,2021-01-04 05:00:00,333.4477,711.1693,96.6133,236.8344,467.1901
CBF,2021-01-04 06:00:00,202.4127,558.4376,74.3703,128.0424,317.5296
CBF,2021-01-04 07:00:00,58.3624,248.3759,31.1673,27.1951,121.2918
CBF,2021-01-04 08:00:00,0.0555,0.0,0.0538,0.0017,0.2336
CBF,2021-01-04 09:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-04 10:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-04 11:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-04 12:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-04 13:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-04 14:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-04 15:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-04 16:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-04 17:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-04 18:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-04 19:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-04 20:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-04 21:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-04 22:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-04 23:00:00,52.052,264.2228,25.4147,26.6373,103.1998
CBF,2021-01-05 00:00:00,199.282,605.6981,67.0079,132.2741,303.1687
CBF,2021-01-05 01:00:00,329.3795,716.9606,95.7578,233.6217,457.8011
CBF,2021-01-05 02:00:00,413.7029,753.2716,115.9342,297.7687,556.4105
CBF,2021-01-05 03:00:00,446.8335,775.8691,120.4197,326.4138,592.2794
CBF,2021-01-05 04:00:00,425.3194,791.3748,108.8572,316.4622,562.9648
CBF,2021-01-05 05:00:00,346.2127,765.1855,90.1197,256.093,470.4644
CBF,2021-01-05 06:00:00,217.8258,656.4482,66.2702,151.5556,321.0811
CBF,2021-01-05 07:00:00,66.6684,339.0005,29.7332,36.9353,124.9934
CBF,2021-01-05 08:00:00,0.1157,0.0,0.1068,0.0089,0.4406
CBF,2021-01-05 09:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-05 10:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-05 11:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-05 12:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-05 13:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-05 14:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-05 15:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-05 16:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-05 17:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-05 18:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-05 19:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-05 20:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-05 21:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-05 22:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-05 23:00:00,44.2242,144.212,29.3733,14.8509,103.7358
CBF,2021-01-06 00:00:00,173.8098,390.8905,87.4399,86.3699,304.1838
CBF,2021-01-06 01:00:00,298.3823,521.0696,127.6976,170.6847,459.3302
CBF,2021-01-06 02:00:00,382.0857,579.6116,152.0281,230.0576,558.4714
CBF,2021-01-06 03:00:00,415.6928,609.3,158.2345,257.4583,594.8539
CBF,2021-01-06 04:00:00,394.8846,615.7924,147.2511,247.6335,565.9997
CBF,2021-01-06 05:00:00,317.4674,571.7818,124.457,193.0105,473.8753
CBF,2021-01-06 06:00:00,190.678,424.8793,90.3715,100.3065,324.7583
CBF,2021-01-06 07:00:00,54.3247,158.6812,35.9058,18.4189,128.8091
CBF,2021-01-06 08:00:00,0.161,0.0,0.157,0.004,0.7147
CBF,2021-01-06 09:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-06 10:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-06 11:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-06 12:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-06 13:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-06 14:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-06 15:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-06 16:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-06 17:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-06 18:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-06 19:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-06 20:00:00,0.0,0.0,0.0,0.0,0.0
CBF,2021-01-06 21:00:00,0.0,0.0,0.0,0.0,0.0
