site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
CLD,2021-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0
CLD,2021-01-01 01:00:00,0.2114,0.0,0.1988,0.0125,0.7796
CLD,2021-01-01 02:00:00,77.2991,325.3015,36.9274,40.3717,142.8757
CLD,2021-01-01 03:00:00,252.4536,658.7384,79.7669,172.6867,363.9457
CLD,2021-01-01 04:00:00,408.7307,797.9678,103.1719,305.5589,537.6976
CLD,2021-01-01 05:00:00,514.8982,860.1895,116.1535,398.7447,652.2952
CLD,2021-01-01 06:00:00,559.2822,880.9873,121.2745,438.0076,699.9308
CLD,2021-01-01 07:00:00,537.7424,869.3612,119.3603,418.3822,677.3586
CLD,2021-01-01 08:00:00,452.1884,820.2661,110.1536,342.0348,586.1158
CLD,2021-01-01 09:00:00,310.9966,708.2786,91.7132,219.2833,432.4185
CLD,2021-01-01 10:00:00,135.8121,458.1639,57.0796,78.7325,226.7376
CLD,2021-01-01 11:00:00,9.4002,48.89,6.6584,2.7418,24.2425
CLD,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
CLD,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
CLD,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
CLD,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
CLD,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
CLD,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
CLD,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
CLD,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
CLD,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
CLD,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
CLD,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
CLD,2021-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0
CLD,2021-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0
CLD,2021-01-02 01:00:00,0.2034,0.0,0.1925,0.011,0.7402
CLD,2021-01-02 02:00:00,77.8455,317.6452,38.1255,39.72,142.4969
CLD,2021-01-02 03:00:00,256.9244,672.223,80.4621,176.4623,364.0336
CLD,2021-01-02 04:00:00,417.976,828.035,100.4481,317.5279,538.3272
