site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
CSA,2021-01-01 00:00:00,208.4017,394.1034,99.5305,108.8712,380.0601
CSA,2021-01-01 01:00:00,366.4794,520.3382,149.7842,216.6952,584.0161
CSA,2021-01-01 02:00:00,482.8768,570.105,187.6633,295.2135,728.6171
CSA,2021-01-01 03:00:00,548.0673,600.2103,205.1963,342.871,804.0109
CSA,2021-01-01 04:00:00,554.7175,619.4449,200.489,354.2285,805.0599
CSA,2021-01-01 05:00:00,494.5845,600.4153,182.2684,312.3161,731.6912
CSA,2021-01-01 06:00:00,374.1201,529.9712,151.3455,222.7745,588.9025
CSA,2021-01-01 07:00:00,211.9955,383.232,104.1594,107.8362,386.4211
CSA,2021-01-01 08:00:00,54.3897,132.5049,36.7612,17.6286,138.0409
CSA,2021-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-01 23:00:00,52.2401,138.517,34.2779,17.9622,129.8947
CSA,2021-01-02 00:00:00,206.969,385.6284,101.0677,105.9013,379.726
CSA,2021-01-02 01:00:00,352.409,465.8918,158.6888,193.7202,584.2362
CSA,2021-01-02 02:00:00,456.804,492.8013,201.3929,255.4112,729.446
CSA,2021-01-02 03:00:00,514.3376,510.4119,222.2581,292.0796,805.4619
CSA,2021-01-02 04:00:00,517.8033,517.6977,220.9877,296.8156,807.1036
CSA,2021-01-02 05:00:00,456.5613,486.5602,202.4595,254.1018,734.2579
CSA,2021-01-02 06:00:00,337.4315,402.9706,166.8079,170.6236,591.887
CSA,2021-01-02 07:00:00,183.5573,257.0806,110.0337,73.5236,389.6898
CSA,2021-01-02 08:00:00,45.8806,73.1603,35.7981,10.0825,141.4409
CSA,2021-01-02 09:00:00,0.0107,0.0,0.0105,0.0001,0.0625
CSA,2021-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-02 23:00:00,51.468,120.0163,35.7744,15.6936,129.2593
CSA,2021-01-03 00:00:00,210.1053,378.9119,105.3349,104.7704,379.5308
CSA,2021-01-03 01:00:00,370.5406,514.6596,155.8968,214.6437,584.5991
CSA,2021-01-03 02:00:00,489.5488,572.795,192.1646,297.3842,730.4182
CSA,2021-01-03 03:00:00,554.062,601.5528,209.1581,344.9039,807.053
CSA,2021-01-03 04:00:00,556.8721,610.6004,205.8609,351.0112,809.2811
CSA,2021-01-03 05:00:00,493.9318,581.8162,189.0583,304.8735,736.9495
CSA,2021-01-03 06:00:00,369.6678,485.3756,163.0282,206.6396,594.9852
CSA,2021-01-03 07:00:00,204.69,302.8577,117.1775,87.5125,393.0595
CSA,2021-01-03 08:00:00,52.2042,78.4039,41.0317,11.1725,144.9288
CSA,2021-01-03 09:00:00,0.0304,0.0,0.0303,0.0002,0.1638
CSA,2021-01-03 10:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-03 15:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-03 23:00:00,50.957,108.8084,36.6524,14.3046,128.7528
CSA,2021-01-04 00:00:00,205.2836,338.2527,112.0848,93.1988,379.4753
CSA,2021-01-04 01:00:00,356.7402,428.2485,178.2956,178.4446,585.1047
CSA,2021-01-04 02:00:00,468.4763,459.9488,229.3656,239.1107,731.533
CSA,2021-01-04 03:00:00,523.6083,456.6286,261.3379,262.2704,808.7831
CSA,2021-01-04 04:00:00,513.6812,417.6965,272.7742,240.907,811.5909
CSA,2021-01-04 05:00:00,440.3466,344.0594,258.9775,181.3691,739.7639
CSA,2021-01-04 06:00:00,317.004,241.8164,213.0952,103.9088,598.1945
CSA,2021-01-04 07:00:00,169.4387,121.1967,133.6522,35.7864,396.5276
CSA,2021-01-04 08:00:00,44.04,23.6832,40.5178,3.5222,148.502
CSA,2021-01-04 09:00:00,0.0487,0.0,0.0486,0.0001,0.2828
CSA,2021-01-04 10:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-04 11:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-04 12:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-04 13:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-04 14:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-04 15:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-04 16:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-04 17:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-04 18:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-04 19:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-04 20:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-04 21:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-04 22:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-04 23:00:00,42.7319,44.144,36.7815,5.9505,128.3761
CSA,2021-01-05 00:00:00,180.2742,195.9227,125.2078,55.0665,379.5599
CSA,2021-01-05 01:00:00,337.4284,339.211,195.0205,142.4079,585.7534
CSA,2021-01-05 02:00:00,463.0244,435.8746,235.65,227.3744,732.7899
CSA,2021-01-05 03:00:00,534.39,490.8143,251.6857,282.7043,810.6512
CSA,2021-01-05 04:00:00,542.1851,508.9739,247.8907,294.2944,814.0314
CSA,2021-01-05 05:00:00,484.3951,488.748,226.2955,258.0995,742.6989
CSA,2021-01-05 06:00:00,367.5869,420.5251,186.9343,180.6526,601.5128
CSA,2021-01-05 07:00:00,210.7906,291.9086,125.5869,85.2038,400.0916
CSA,2021-01-05 08:00:00,57.8535,94.2943,44.3588,13.4947,152.1578
CSA,2021-01-05 09:00:00,0.1009,0.0,0.1003,0.0006,0.49
CSA,2021-01-05 10:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-05 11:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-05 12:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-05 13:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-05 14:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-05 15:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-05 16:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-05 17:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-05 18:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-05 19:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-05 20:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-05 21:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-05 22:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-05 23:00:00,47.1382,94.064,34.7702,12.368,128.1303
CSA,2021-01-06 00:00:00,200.484,335.9975,106.8907,93.5933,379.7852
CSA,2021-01-06 01:00:00,367.5185,505.8752,155.3822,212.1363,586.5447
CSA,2021-01-06 02:00:00,497.6303,604.4666,181.9127,315.7176,734.1882
CSA,2021-01-06 03:00:00,563.3301,623.5403,203.475,359.8551,812.656
CSA,2021-01-06 04:00:00,556.2536,574.0827,223.1274,333.1262,816.6008
CSA,2021-01-06 05:00:00,484.6373,499.9531,219.2492,265.3881,745.7525
CSA,2021-01-06 06:00:00,359.3648,403.744,184.7714,174.5934,604.9374
CSA,2021-01-06 07:00:00,201.1822,266.2642,122.5546,78.6276,403.7488
CSA,2021-01-06 08:00:00,54.4959,82.4371,42.5018,11.9941,155.8935
CSA,2021-01-06 09:00:00,0.1444,0.0,0.1438,0.0006,0.7458
CSA,2021-01-06 10:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-06 11:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-06 12:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-06 13:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-06 14:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-06 15:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-06 16:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-06 17:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-06 18:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-06 19:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-06 20:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-06 21:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-06 22:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-06 23:00:00,57.7442,190.1364,33.2759,24.4682,128.0162
CSA,2021-01-07 00:00:00,235.103,532.7435,88.2843,146.8186,380.1517
CSA,2021-01-07 01:00:00,409.7303,683.7064,123.3496,286.3807,587.4788
CSA,2021-01-07 02:00:00,540.7664,753.3011,146.7837,393.9827,735.7273
CSA,2021-01-07 03:00:00,613.255,788.5292,156.8027,456.4523,814.7961
CSA,2021-01-07 04:00:00,619.4113,800.1324,153.7458,465.6656,819.2972
CSA,2021-01-07 05:00:00,557.0093,778.4858,142.6115,414.3978,748.9223
CSA,2021-01-07 06:00:00,431.7763,709.9763,123.8756,307.9006,608.4656
CSA,2021-01-07 07:00:00,258.7844,561.092,93.5615,165.2229,407.4963
CSA,2021-01-07 08:00:00,76.2964,248.2155,41.3212,34.9753,159.7063
CSA,2021-01-07 09:00:00,0.2535,0.0,0.2445,0.009,1.0533
CSA,2021-01-07 10:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-07 11:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-07 12:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-07 13:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-07 14:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-07 15:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-07 16:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-07 17:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-07 18:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-07 19:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-07 20:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-07 21:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-07 22:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-07 23:00:00,63.5467,253.041,31.903,31.6437,128.0347
CSA,2021-01-08 00:00:00,250.122,609.0573,82.625,167.497,380.6596
CSA,2021-01-08 01:00:00,428.6471,746.858,115.4555,313.1916,588.5554
CSA,2021-01-08 02:00:00,560.8269,807.6899,137.4874,423.3396,737.4062
CSA,2021-01-08 03:00:00,631.4186,829.0494,150.2089,481.2098,817.0703
CSA,2021-01-08 04:00:00,633.2012,820.2874,154.1046,479.0966,822.1185
CSA,2021-01-08 05:00:00,565.2087,777.3761,149.4315,415.7772,752.2058
CSA,2021-01-08 06:00:00,436.9359,700.1087,131.5431,305.3928,612.0948
CSA,2021-01-08 07:00:00,263.3903,557.9092,97.6781,165.7122,411.3312
CSA,2021-01-08 08:00:00,79.2249,257.0925,42.7702,36.4547,163.5933
CSA,2021-01-08 09:00:00,0.3532,0.0,0.3337,0.0195,1.4157
CSA,2021-01-08 10:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-08 11:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-08 12:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-08 13:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-08 14:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-08 15:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-08 16:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-08 17:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-08 18:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-08 19:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-08 20:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-08 21:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-08 22:00:00,0.0,0.0,0.0,0.0,0.0
CSA,2021-01-08 23:00:00,62.4941,246.7708,31.5122,30.9819,128.1868
CSA,2021-01-09 00:00:00,246.9081,601.494,81.1427,165.7653,381.3095
CSA,2021-01-09 01:00:00,423.7465,740.2099,112.6748,311.0716,589.7741
