site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
CWA,2021-01-01 00:00:00,60.292,264.7835,29.6953,30.5966,117.7247
CWA,2021-01-01 01:00:00,236.7779,639.2743,74.197,162.5809,351.767
CWA,2021-01-01 02:00:00,403.1601,793.8082,97.4323,305.7278,540.4905
CWA,2021-01-01 03:00:00,521.0154,858.1407,111.9202,409.0952,670.8237
CWA,2021-01-01 04:00:00,576.737,873.2683,121.5096,455.2274,733.8868
CWA,2021-01-01 05:00:00,566.1556,856.1663,124.9252,441.2304,725.3828
CWA,2021-01-01 06:00:00,490.5589,806.5856,120.0479,370.511,645.8901
CWA,2021-01-01 07:00:00,357.459,707.3989,104.3855,253.0735,500.8241
CWA,2021-01-01 08:00:00,184.4508,503.8123,73.229,111.2219,300.0675
CWA,2021-01-01 09:00:00,29.213,120.9448,18.2399,10.9731,67.5213
CWA,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
CWA,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
CWA,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
CWA,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
CWA,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
CWA,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
CWA,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
CWA,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
CWA,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
CWA,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
CWA,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
CWA,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
CWA,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
CWA,2021-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0
CWA,2021-01-02 00:00:00,47.4077,125.1415,32.5116,14.8961,117.2014
CWA,2021-01-02 01:00:00,194.6032,372.1842,99.366,95.2372,351.6636
CWA,2021-01-02 02:00:00,341.7216,496.2934,150.2757,191.446,540.9282
CWA,2021-01-02 03:00:00,450.8855,557.1479,184.7318,266.1537,671.8496
CWA,2021-01-02 04:00:00,506.0477,581.6221,202.1803,303.8674,735.5082
CWA,2021-01-02 05:00:00,497.0502,565.8589,204.5241,292.5261,727.566
CWA,2021-01-02 06:00:00,424.9802,510.6393,189.2256,235.7545,648.5636
CWA,2021-01-02 07:00:00,299.9461,406.1613,153.1848,146.7613,503.8828
CWA,2021-01-02 08:00:00,146.7626,237.8105,92.8211,53.9415,303.3802
CWA,2021-01-02 09:00:00,23.0496,41.7273,19.0706,3.979,70.0171
