site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
DHF,2021-01-01 00:00:00,221.9129,537.4289,79.5145,142.3983,362.942
DHF,2021-01-01 01:00:00,423.5984,696.3054,119.7656,303.8327,611.6278
DHF,2021-01-01 02:00:00,585.9694,765.9689,148.1522,437.8173,803.9366
DHF,2021-01-01 03:00:00,691.699,798.4914,165.9358,525.7631,926.7654
DHF,2021-01-01 04:00:00,730.6968,806.9995,173.6713,557.0255,971.7437
DHF,2021-01-01 05:00:00,696.7995,786.4919,173.8438,522.9557,935.8049
DHF,2021-01-01 06:00:00,593.653,735.9622,163.6496,430.0034,821.3953
DHF,2021-01-01 07:00:00,431.0789,639.7836,140.2349,290.844,636.3081
DHF,2021-01-01 08:00:00,229.2281,453.0554,98.6495,130.5787,393.1516
DHF,2021-01-01 09:00:00,45.608,122.8216,29.9265,15.6815,111.4651
DHF,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-01 23:00:00,35.6872,127.1551,21.752,13.9352,83.5351
DHF,2021-01-02 00:00:00,217.8168,501.8188,84.6432,133.1735,361.9688
DHF,2021-01-02 01:00:00,422.3509,677.5676,126.6952,295.6558,611.2018
DHF,2021-01-02 02:00:00,588.4901,756.1835,156.0924,432.3977,804.1395
DHF,2021-01-02 03:00:00,696.6068,792.1333,174.5496,522.0571,927.636
DHF,2021-01-02 04:00:00,736.0642,800.4527,182.6987,553.3655,973.2751
DHF,2021-01-02 05:00:00,701.9289,779.431,182.4906,519.4384,937.9449
DHF,2021-01-02 06:00:00,597.04,724.2615,172.4295,424.6105,824.0504
DHF,2021-01-02 07:00:00,431.6752,618.9734,148.7937,282.8815,639.3495
DHF,2021-01-02 08:00:00,228.2706,427.0848,103.967,124.3035,396.4244
DHF,2021-01-02 09:00:00,45.9326,114.0081,31.184,14.7486,114.3678
DHF,2021-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-02 23:00:00,36.4961,143.9122,20.9405,15.5556,82.6206
DHF,2021-01-03 00:00:00,222.5096,545.5987,78.2282,144.2814,361.1113
DHF,2021-01-03 01:00:00,429.7789,729.0026,111.8652,317.9137,610.8976
DHF,2021-01-03 02:00:00,597.7098,814.2916,131.8683,465.8414,804.4666
DHF,2021-01-03 03:00:00,705.2786,846.7806,146.6918,558.5867,928.6294
DHF,2021-01-03 04:00:00,742.6994,843.2798,158.7494,583.95,974.9243
DHF,2021-01-03 05:00:00,707.7602,813.915,164.0251,543.7351,940.1946
DHF,2021-01-03 06:00:00,603.9897,757.4193,158.5324,445.4573,826.8042
DHF,2021-01-03 07:00:00,440.7898,656.9327,139.2818,301.508,642.4768
DHF,2021-01-03 08:00:00,237.3548,465.9796,100.8967,136.4581,399.7691
DHF,2021-01-03 09:00:00,49.2667,128.157,32.3455,16.9211,117.3105
DHF,2021-01-03 10:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-03 15:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-03 23:00:00,31.2051,78.1421,22.4278,8.7773,81.7863
DHF,2021-01-04 00:00:00,201.5426,401.9225,94.233,107.3095,360.3706
DHF,2021-01-04 01:00:00,402.3613,599.8397,140.3371,262.0242,610.7156
DHF,2021-01-04 02:00:00,567.7716,699.9368,166.932,400.8397,804.9178
DHF,2021-01-04 03:00:00,675.7932,747.6537,181.9036,493.8896,929.745
DHF,2021-01-04 04:00:00,715.9349,760.2092,188.5517,527.3832,976.6902
DHF,2021-01-04 05:00:00,684.4228,742.7769,186.9968,497.426,942.5522
DHF,2021-01-04 06:00:00,584.5969,694.336,174.8382,409.7587,829.6545
DHF,2021-01-04 07:00:00,426.1401,600.1931,149.2439,276.8962,645.6874
DHF,2021-01-04 08:00:00,228.9135,419.2183,104.9639,123.9496,403.183
DHF,2021-01-04 09:00:00,47.8708,110.459,32.9596,14.9111,120.3961
DHF,2021-01-04 10:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-04 11:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-04 12:00:00,0.0,0.0,0.0,0.0,0.0
DHF,2021-01-04 13:00:00,0.0,0.0,0.0,0.0,0.0
