site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
DTL,2021-01-01 00:00:00,131.3887,250.0838,77.6081,53.7806,281.8732
DTL,2021-01-01 01:00:00,301.8316,439.7835,138.7338,163.0979,516.542
DTL,2021-01-01 02:00:00,449.2817,542.1721,179.9987,269.2831,697.6
DTL,2021-01-01 03:00:00,548.046,597.1487,203.1249,344.9211,812.7119
DTL,2021-01-01 04:00:00,585.7801,619.905,209.7222,376.0579,854.0336
DTL,2021-01-01 05:00:00,555.6821,606.4376,202.8552,352.8268,818.7484
DTL,2021-01-01 06:00:00,461.3913,554.3264,181.485,279.9063,709.2591
DTL,2021-01-01 07:00:00,314.7982,449.266,142.9856,171.8126,533.024
DTL,2021-01-01 08:00:00,143.1923,262.5338,83.3188,59.8735,302.0488
DTL,2021-01-01 09:00:00,16.6564,36.5241,13.4745,3.1819,53.3924
DTL,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-01 23:00:00,13.6759,43.4536,10.3709,3.305,40.0884
DTL,2021-01-02 00:00:00,145.7708,339.1995,73.9748,71.796,281.1924
DTL,2021-01-02 01:00:00,322.847,527.35,127.8219,195.0251,516.3818
DTL,2021-01-02 02:00:00,470.5948,615.1377,165.1157,305.4791,698.0371
DTL,2021-01-02 03:00:00,568.7643,660.3639,186.8681,381.8962,813.7821
DTL,2021-01-02 04:00:00,606.9065,680.827,193.0799,413.8266,855.7298
DTL,2021-01-02 05:00:00,576.5981,666.2269,187.931,388.6671,821.0206
DTL,2021-01-02 06:00:00,479.4137,605.1923,172.5531,306.8606,712.0179
DTL,2021-01-02 07:00:00,327.2763,481.5726,141.9278,185.3485,536.1472
DTL,2021-01-02 08:00:00,149.5077,273.7446,86.2608,63.247,305.3894
DTL,2021-01-02 09:00:00,17.7459,35.4744,14.5535,3.1924,55.5243
DTL,2021-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-02 23:00:00,11.1217,17.5616,9.7643,1.3574,39.633
DTL,2021-01-03 00:00:00,123.0451,197.6998,80.2577,42.7874,280.6428
DTL,2021-01-03 01:00:00,291.4734,384.6032,148.5437,142.9298,516.3584
DTL,2021-01-03 02:00:00,442.1641,499.6841,193.4521,248.712,698.6132
DTL,2021-01-03 03:00:00,541.5845,554.2188,220.6276,320.9569,814.9901
DTL,2021-01-03 04:00:00,576.2798,563.6483,232.951,343.3288,857.559
DTL,2021-01-03 05:00:00,543.8394,538.6512,228.61,315.2294,823.4178
DTL,2021-01-03 06:00:00,448.9498,477.4706,205.8116,243.1382,714.8916
DTL,2021-01-03 07:00:00,304.0403,368.3608,161.2023,142.838,539.373
DTL,2021-01-03 08:00:00,137.3099,194.2027,91.6508,45.6592,308.8192
DTL,2021-01-03 09:00:00,16.8216,22.9136,14.6984,2.1232,57.7395
DTL,2021-01-03 10:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-03 15:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-03 23:00:00,9.9721,10.6399,9.1494,0.8227,39.2427
DTL,2021-01-04 00:00:00,110.1529,135.9255,80.5122,29.6407,280.2253
DTL,2021-01-04 01:00:00,266.2397,289.2361,158.4898,107.7499,516.4721
DTL,2021-01-04 02:00:00,410.4159,393.529,214.2255,196.1903,699.3281
DTL,2021-01-04 03:00:00,507.1028,446.5095,248.0632,259.0396,816.335
DTL,2021-01-04 04:00:00,541.0246,456.2022,262.5088,278.5158,859.5198
DTL,2021-01-04 05:00:00,509.1121,430.4763,256.3827,252.7293,825.9385
DTL,2021-01-04 06:00:00,418.7059,377.2948,225.7756,192.9303,717.8777
DTL,2021-01-04 07:00:00,282.9073,289.2769,170.0169,112.8904,542.6988
DTL,2021-01-04 08:00:00,128.3336,151.1536,92.4146,35.9189,312.3358
DTL,2021-01-04 09:00:00,16.4377,17.8544,14.74,1.6977,60.0399
DTL,2021-01-04 10:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-04 11:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-04 12:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-04 13:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-04 14:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-04 15:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-04 16:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-04 17:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-04 18:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-04 19:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-04 20:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-04 21:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-04 22:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-04 23:00:00,8.5377,2.8496,8.3084,0.2293,38.9183
DTL,2021-01-05 00:00:00,89.6979,46.7125,79.4291,10.2687,279.9407
DTL,2021-01-05 01:00:00,214.9936,108.8018,174.3565,40.6371,516.7233
DTL,2021-01-05 02:00:00,334.3303,152.5744,258.1597,76.1706,700.1815
DTL,2021-01-05 03:00:00,420.6505,183.5853,313.8699,106.7806,817.816
DTL,2021-01-05 04:00:00,456.554,199.4583,334.4826,122.0714,861.6108
DTL,2021-01-05 05:00:00,431.4101,191.0476,318.8838,112.5263,828.5806
DTL,2021-01-05 06:00:00,349.5153,158.0788,268.1783,81.337,720.9742
DTL,2021-01-05 07:00:00,228.3333,104.226,187.1634,41.1699,546.1221
DTL,2021-01-05 08:00:00,101.505,43.4206,90.9027,10.6023,315.9363
DTL,2021-01-05 09:00:00,13.8428,3.6601,13.4722,0.3706,62.3989
DTL,2021-01-05 10:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-05 11:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-05 12:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-05 13:00:00,0.0,0.0,0.0,0.0,0.0
DTL,2021-01-05 14:00:00,0.0,0.0,0.0,0.0,0.0
