site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
ESD,2021-01-01 00:00:00,54.3331,279.287,25.2618,29.0713,100.9438
ESD,2021-01-01 01:00:00,222.0527,710.5052,60.1361,161.9166,315.2615
ESD,2021-01-01 02:00:00,375.8566,874.782,73.58,302.2766,485.0182
ESD,2021-01-01 03:00:00,480.5915,943.9816,79.4705,401.121,597.9358
ESD,2021-01-01 04:00:00,524.8228,965.4907,81.565,443.2578,646.3217
ESD,2021-01-01 05:00:00,505.8617,956.9222,79.6841,426.1776,626.8792
ESD,2021-01-01 06:00:00,425.2731,911.8763,74.4112,350.8619,540.9326
ESD,2021-01-01 07:00:00,291.1725,805.7009,63.9122,227.2603,394.3374
ESD,2021-01-01 08:00:00,122.8176,544.1075,41.2208,81.5968,197.0808
ESD,2021-01-01 09:00:00,5.8913,43.021,3.9194,1.972,15.0268
ESD,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
ESD,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
ESD,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
ESD,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
ESD,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
ESD,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
ESD,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
ESD,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
ESD,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
ESD,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
ESD,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
ESD,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
ESD,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
ESD,2021-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0
ESD,2021-01-02 00:00:00,45.1044,155.0287,28.6405,16.4639,100.6951
ESD,2021-01-02 01:00:00,193.6344,482.6476,82.7226,110.9118,315.422
ESD,2021-01-02 02:00:00,339.4765,655.1191,112.4577,227.0188,485.7005
ESD,2021-01-02 03:00:00,441.1184,734.3091,128.3734,312.7449,599.1782
ESD,2021-01-02 04:00:00,484.6559,758.2172,135.5934,349.0624,648.1245
ESD,2021-01-02 05:00:00,465.9256,742.1755,134.1116,331.814,629.2045
ESD,2021-01-02 06:00:00,387.1378,682.2762,123.0411,264.0967,543.7071
