site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
FKD,2021-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-01 02:00:00,34.3645,81.6527,26.7088,7.6557,93.1512
FKD,2021-01-01 03:00:00,134.7549,273.8352,82.0939,52.661,263.026
FKD,2021-01-01 04:00:00,233.2708,408.6032,120.2059,113.065,387.5061
FKD,2021-01-01 05:00:00,295.6573,481.246,138.9501,156.7072,458.0863
FKD,2021-01-01 06:00:00,308.5292,504.5832,140.0871,168.4421,469.9592
FKD,2021-01-01 07:00:00,269.4156,479.5371,125.3193,144.0962,422.3167
FKD,2021-01-01 08:00:00,184.7554,390.2503,95.4943,89.2611,318.4052
FKD,2021-01-01 09:00:00,75.6877,205.8742,49.0135,26.6742,165.3047
FKD,2021-01-01 10:00:00,4.1625,11.5096,3.6822,0.4803,14.2038
FKD,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-02 02:00:00,34.1203,71.9879,27.2304,6.8899,93.4412
FKD,2021-01-02 03:00:00,139.1864,286.0298,83.7252,55.4613,263.752
FKD,2021-01-02 04:00:00,248.0911,470.6799,117.2131,130.878,388.7135
FKD,2021-01-02 05:00:00,323.5249,613.4457,122.8593,200.6657,459.7915
FKD,2021-01-02 06:00:00,345.3831,696.3183,111.905,233.4781,472.1447
FKD,2021-01-02 07:00:00,309.651,718.828,92.6768,216.9742,424.9326
FKD,2021-01-02 08:00:00,224.3279,686.0224,67.2141,157.1138,321.3724
FKD,2021-01-02 09:00:00,101.7711,513.8854,36.9352,64.8359,168.5205
FKD,2021-01-02 10:00:00,6.2512,57.8337,3.7799,2.4712,15.4821
FKD,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-03 02:00:00,50.1637,313.044,22.4421,27.7216,93.8925
FKD,2021-01-03 03:00:00,181.7404,669.3509,54.181,127.5593,264.6481
FKD,2021-01-03 04:00:00,293.3361,801.1584,70.8569,222.4792,390.0918
FKD,2021-01-03 05:00:00,359.3473,855.3076,78.7982,280.5491,461.6656
FKD,2021-01-03 06:00:00,371.3774,864.9383,79.853,291.5244,474.4948
FKD,2021-01-03 07:00:00,328.1024,834.426,74.3606,253.7418,427.7061
FKD,2021-01-03 08:00:00,234.5761,746.3508,61.5504,173.0257,324.4886
FKD,2021-01-03 09:00:00,105.5727,525.0796,37.8862,67.6865,171.8752
FKD,2021-01-03 10:00:00,6.8703,60.3852,4.2093,2.661,16.8677
FKD,2021-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-03 15:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-04 01:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-04 02:00:00,49.2928,275.3428,24.492,24.8008,94.5344
FKD,2021-01-04 03:00:00,181.3076,629.9877,60.5371,120.7705,265.7145
FKD,2021-01-04 04:00:00,295.5148,775.3344,79.265,216.2498,391.6407
FKD,2021-01-04 05:00:00,364.0637,839.6509,87.408,276.6558,463.7079
FKD,2021-01-04 06:00:00,377.7561,856.6136,87.5149,290.2412,477.0078
FKD,2021-01-04 07:00:00,335.19,833.0255,80.1745,255.0155,430.6355
FKD,2021-01-04 08:00:00,241.4916,752.791,65.3051,176.1865,327.7516
FKD,2021-01-04 09:00:00,110.8857,540.5663,40.0655,70.8202,175.3666
FKD,2021-01-04 10:00:00,7.8798,68.0764,4.7791,3.1007,18.3661
FKD,2021-01-04 11:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-04 12:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-04 13:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-04 14:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-04 15:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-04 16:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-04 17:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-04 18:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-04 19:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-04 20:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-04 21:00:00,0.0,0.0,0.0,0.0,0.0
FKD,2021-01-04 22:00:00,0.0,0.0,0.0,0.0,0.0
