site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
FQA,2021-01-01 00:00:00,128.4333,421.9913,54.299,74.1343,230.2517
FQA,2021-01-01 01:00:00,303.9065,672.8439,88.6948,215.2117,446.401
FQA,2021-01-01 02:00:00,449.4604,789.1638,106.5128,342.9476,610.6754
FQA,2021-01-01 03:00:00,540.3696,836.0807,117.519,422.8506,711.8834
FQA,2021-01-01 04:00:00,566.7513,837.7689,124.5229,442.2284,743.1293
FQA,2021-01-01 05:00:00,526.9385,806.1218,124.5819,402.3566,702.2836
FQA,2021-01-01 06:00:00,423.0504,726.202,116.6492,306.4011,592.1283
FQA,2021-01-01 07:00:00,268.1926,570.7779,95.4042,172.7884,420.1677
FQA,2021-01-01 08:00:00,96.5328,286.5934,50.8992,45.6337,198.1168
FQA,2021-01-01 09:00:00,2.9389,9.9476,2.5371,0.4018,10.4724
FQA,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-01 23:00:00,6.7994,22.4673,5.5318,1.2676,22.4276
FQA,2021-01-02 00:00:00,108.6025,269.2431,61.0664,47.5361,229.8719
FQA,2021-01-02 01:00:00,260.0592,448.394,116.5583,143.5009,446.5214
FQA,2021-01-02 02:00:00,385.443,518.5167,159.9929,225.4501,611.3641
FQA,2021-01-02 03:00:00,466.2726,549.2639,187.9166,278.3561,713.1702
FQA,2021-01-02 04:00:00,492.4285,557.7597,197.2695,295.159,745.0029
FQA,2021-01-02 05:00:00,455.1424,526.6956,191.2725,263.8698,704.6928
FQA,2021-01-02 06:00:00,358.4864,449.7065,167.5678,190.9186,594.9855
FQA,2021-01-02 07:00:00,219.4878,318.58,121.7714,97.7164,423.355
FQA,2021-01-02 08:00:00,76.4358,131.7216,54.6994,21.7364,201.4938
FQA,2021-01-02 09:00:00,2.6677,3.7741,2.5051,0.1626,11.4761
FQA,2021-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
FQA,2021-01-02 23:00:00,5.1419,5.9849,4.8011,0.3408,22.2131
FQA,2021-01-03 00:00:00,81.8979,107.8547,62.3049,19.593,229.636
FQA,2021-01-03 01:00:00,211.2835,238.0527,134.4355,76.848,446.7905
