site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
HBG,2021-01-01 00:00:00,12.1115,138.7126,4.9005,7.211,22.5009
HBG,2021-01-01 01:00:00,163.6516,800.0242,33.406,130.2456,221.2788
HBG,2021-01-01 02:00:00,349.6641,997.1576,47.4368,302.2272,425.0647
HBG,2021-01-01 03:00:00,492.3234,1063.6733,56.055,436.2684,577.0957
HBG,2021-01-01 04:00:00,576.0234,1082.3049,63.2151,512.8083,667.0149
HBG,2021-01-01 05:00:00,594.5514,1077.2455,67.5574,526.994,688.6959
HBG,2021-01-01 06:00:00,547.2922,1054.1725,67.4139,479.8783,640.6611
HBG,2021-01-01 07:00:00,438.012,1003.9847,62.1335,375.8784,526.1826
HBG,2021-01-01 08:00:00,275.9897,887.7133,51.3031,224.6867,353.0596
HBG,2021-01-01 09:00:00,86.4195,528.1546,26.4327,59.9868,133.0863
HBG,2021-01-01 10:00:00,0.0674,0.0,0.06,0.0074,0.2292
HBG,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-02 00:00:00,10.3073,83.3372,5.9094,4.3979,22.2921
HBG,2021-01-02 01:00:00,150.034,624.3785,47.051,102.9829,221.0764
HBG,2021-01-02 02:00:00,331.3058,849.3557,73.327,257.9788,425.357
HBG,2021-01-02 03:00:00,473.2184,936.4606,88.3738,384.8446,577.9445
HBG,2021-01-02 04:00:00,557.9008,971.8376,96.4148,461.4859,668.4437
HBG,2021-01-02 05:00:00,577.3426,974.1781,99.402,477.9406,690.6889
HBG,2021-01-02 06:00:00,528.425,936.3278,100.353,428.072,643.1641
HBG,2021-01-02 07:00:00,415.4138,845.1373,96.7366,318.6772,529.1068
HBG,2021-01-02 08:00:00,252.1515,669.3054,79.8882,172.2633,356.2874
HBG,2021-01-02 09:00:00,74.5062,315.1237,36.6472,37.8591,136.4799
HBG,2021-01-02 10:00:00,0.1092,0.0,0.104,0.0052,0.4094
HBG,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0
HBG,2021-01-03 00:00:00,11.6282,123.9068,5.2231,6.4051,22.1437
HBG,2021-01-03 01:00:00,162.0265,769.542,36.479,125.5476,221.0236
HBG,2021-01-03 02:00:00,348.799,975.833,52.4534,296.3456,425.8034
HBG,2021-01-03 03:00:00,493.0872,1049.6877,61.1067,431.9805,578.9485
HBG,2021-01-03 04:00:00,578.9747,1076.8573,66.436,512.5387,670.0259
