site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
HJA,2021-01-01 00:00:00,135.666,297.9308,74.1816,61.4844,265.002
HJA,2021-01-01 01:00:00,336.4324,539.9578,133.2944,203.138,523.5214
HJA,2021-01-01 02:00:00,514.5745,662.3589,169.8871,344.6873,730.7302
HJA,2021-01-01 03:00:00,639.7047,721.7573,192.1537,447.551,872.511
HJA,2021-01-01 04:00:00,698.4493,741.6555,203.6622,494.7871,939.2028
HJA,2021-01-01 05:00:00,685.3024,729.2436,205.4166,479.8857,926.2596
HJA,2021-01-01 06:00:00,601.9658,686.0516,194.815,407.1509,834.5612
HJA,2021-01-01 07:00:00,456.3317,600.3433,169.1146,287.2171,670.3535
HJA,2021-01-01 08:00:00,265.6568,438.8115,123.7891,141.8677,444.8224
HJA,2021-01-01 09:00:00,75.3155,158.4339,50.2314,25.0841,173.3316
HJA,2021-01-01 10:00:00,0.2712,0.0,0.2665,0.0047,1.1855
HJA,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-01 23:00:00,8.5322,29.1301,6.6934,1.8388,24.8846
HJA,2021-01-02 00:00:00,143.5947,364.3344,69.7592,73.8355,263.9668
HJA,2021-01-02 01:00:00,346.0268,589.0989,125.2318,220.795,522.9974
HJA,2021-01-02 02:00:00,521.8582,684.5306,165.8895,355.9687,730.8091
HJA,2021-01-02 03:00:00,645.5158,730.1075,192.441,453.0748,873.2435
HJA,2021-01-02 04:00:00,704.0308,747.6766,204.5005,499.5303,940.5947
HJA,2021-01-02 05:00:00,690.4889,733.8466,206.5326,483.9563,928.2719
HJA,2021-01-02 06:00:00,605.8752,686.5699,197.1297,408.7455,837.1123
HJA,2021-01-02 07:00:00,458.1616,593.8535,172.7078,285.4537,673.3253
HJA,2021-01-02 08:00:00,265.8219,426.6492,126.771,139.0509,448.0681
HJA,2021-01-02 09:00:00,75.7993,152.6335,51.3394,24.4599,176.6859
HJA,2021-01-02 10:00:00,0.3349,0.0,0.3288,0.0061,1.4645
HJA,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
HJA,2021-01-02 23:00:00,7.1648,11.5322,6.4372,0.7276,24.3991
HJA,2021-01-03 00:00:00,124.0401,210.0788,80.4494,43.5906,263.049
