site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
HLA,2021-01-01 00:00:00,132.1732,660.8081,37.2357,94.9375,196.8706
HLA,2021-01-01 01:00:00,256.1534,822.2047,56.7421,199.4113,340.2995
HLA,2021-01-01 02:00:00,339.605,882.4793,68.0778,271.5273,432.9641
HLA,2021-01-01 03:00:00,371.9867,899.6737,72.5511,299.4356,468.5526
HLA,2021-01-01 04:00:00,349.6682,883.8289,70.4041,279.264,444.6414
HLA,2021-01-01 05:00:00,274.239,820.3901,62.1627,212.0763,362.8602
HLA,2021-01-01 06:00:00,155.5063,663.493,45.4503,110.056,228.7812
HLA,2021-01-01 07:00:00,29.2987,224.7669,13.4755,15.8233,57.2007
HLA,2021-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-01 23:00:00,14.4571,124.9948,7.5546,6.9026,31.9534
HLA,2021-01-02 00:00:00,122.6737,555.9207,42.5429,80.1308,197.4034
HLA,2021-01-02 01:00:00,237.7314,686.9703,70.6917,167.0397,341.2963
HLA,2021-01-02 02:00:00,314.1799,724.7861,90.4801,223.6998,434.4548
HLA,2021-01-02 03:00:00,343.2534,728.4677,99.7798,243.4736,470.5337
HLA,2021-01-02 04:00:00,321.4275,705.5945,97.2071,224.2204,447.0759
HLA,2021-01-02 05:00:00,248.4262,627.2048,84.7716,163.6546,365.6806
HLA,2021-01-02 06:00:00,137.3726,466.8475,58.4226,78.95,231.894
HLA,2021-01-02 07:00:00,25.6783,134.6424,15.6733,10.005,59.7369
HLA,2021-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-02 09:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-02 23:00:00,14.8247,132.5703,7.4808,7.3439,32.1657
HLA,2021-01-03 00:00:00,127.148,600.2839,40.0402,87.1078,198.1057
HLA,2021-01-03 01:00:00,249.2098,768.437,61.5887,187.6211,342.4644
HLA,2021-01-03 02:00:00,332.0511,829.978,74.8202,257.231,436.1159
HLA,2021-01-03 03:00:00,364.9609,848.8368,79.9629,284.998,472.6816
HLA,2021-01-03 04:00:00,344.0517,835.6014,77.0495,267.0022,449.6715
HLA,2021-01-03 05:00:00,270.5087,773.1664,67.4358,203.0728,368.6541
HLA,2021-01-03 06:00:00,154.6907,622.8734,48.5695,106.1213,235.1504
HLA,2021-01-03 07:00:00,30.8514,218.8015,14.7396,16.1118,62.4326
HLA,2021-01-03 08:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-03 09:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-03 10:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-03 15:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-03 23:00:00,14.8417,129.0184,7.631,7.2106,32.4724
HLA,2021-01-04 00:00:00,127.1612,590.6606,41.0185,86.1427,198.9774
HLA,2021-01-04 01:00:00,249.7278,761.0651,63.1579,186.5699,343.8034
HLA,2021-01-04 02:00:00,333.2142,824.4365,76.6213,256.5929,437.9467
HLA,2021-01-04 03:00:00,366.1403,839.8304,82.7898,283.3504,474.9953
HLA,2021-01-04 04:00:00,344.5817,817.9075,81.6032,262.9785,452.4264
HLA,2021-01-04 05:00:00,270.3331,745.3353,72.8237,197.5094,371.7787
HLA,2021-01-04 06:00:00,154.1634,583.8788,53.0597,101.1037,238.5482
HLA,2021-01-04 07:00:00,31.2561,196.9754,16.2864,14.9698,65.2927
HLA,2021-01-04 08:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-04 09:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-04 10:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-04 11:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-04 12:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-04 13:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-04 14:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-04 15:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-04 16:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-04 17:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-04 18:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-04 19:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-04 20:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-04 21:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-04 22:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-04 23:00:00,14.3605,111.16,8.0521,6.3084,32.8736
HLA,2021-01-05 00:00:00,123.9733,541.0075,44.405,79.5683,200.0186
HLA,2021-01-05 01:00:00,245.6993,717.5904,68.9271,176.7722,345.3129
HLA,2021-01-05 02:00:00,329.2776,786.5087,83.3414,245.9361,439.9463
HLA,2021-01-05 03:00:00,362.3158,803.6093,89.7701,272.5457,477.4734
HLA,2021-01-05 04:00:00,340.6949,778.76,88.6726,252.0222,455.339
HLA,2021-01-05 05:00:00,266.6446,701.6207,79.0156,187.629,375.0525
HLA,2021-01-05 06:00:00,151.3172,533.3072,57.3871,93.9301,242.0852
HLA,2021-01-05 07:00:00,31.1345,171.6717,17.658,13.4765,68.3513
HLA,2021-01-05 08:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-05 09:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-05 10:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-05 11:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-05 12:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-05 13:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-05 14:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-05 15:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-05 16:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-05 17:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-05 18:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-05 19:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-05 20:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-05 21:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-05 22:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-05 23:00:00,12.367,54.9734,9.1543,3.2127,33.3696
HLA,2021-01-06 00:00:00,109.4571,346.9301,57.3728,52.0843,201.2293
HLA,2021-01-06 01:00:00,225.9162,528.6299,94.7257,131.1905,346.9925
HLA,2021-01-06 02:00:00,309.3613,614.0063,116.3289,193.0324,442.1136
HLA,2021-01-06 03:00:00,344.133,645.0739,124.1332,219.9998,480.1144
HLA,2021-01-06 04:00:00,325.1419,632.7504,118.9931,206.1488,458.4074
HLA,2021-01-06 05:00:00,254.1046,565.1314,101.5234,152.5812,378.4731
HLA,2021-01-06 06:00:00,143.7584,416.0321,69.2217,74.5367,245.7591
HLA,2021-01-06 07:00:00,30.4695,127.8128,20.1009,10.3686,71.5599
HLA,2021-01-06 08:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-06 09:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-06 10:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-06 11:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-06 12:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-06 13:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-06 14:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-06 15:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-06 16:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-06 17:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-06 18:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-06 19:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-06 20:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-06 21:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-06 22:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-06 23:00:00,14.4321,94.7085,8.9785,5.4536,33.9605
HLA,2021-01-07 00:00:00,122.0604,472.6303,51.5567,70.5037,202.6093
HLA,2021-01-07 01:00:00,242.0205,633.2577,84.4182,157.6023,348.8414
HLA,2021-01-07 02:00:00,324.59,689.7794,106.7209,217.8691,444.4477
HLA,2021-01-07 03:00:00,358.6987,708.4172,115.6786,243.0202,482.9168
HLA,2021-01-07 04:00:00,339.9214,699.1697,110.5521,229.3693,461.6297
HLA,2021-01-07 05:00:00,268.1444,636.6123,94.7686,173.3758,382.0384
HLA,2021-01-07 06:00:00,154.9837,491.1958,65.9893,88.9944,249.5673
HLA,2021-01-07 07:00:00,34.5672,171.0188,20.5444,14.0228,74.9471
HLA,2021-01-07 08:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-07 09:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-07 10:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-07 11:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-07 12:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-07 13:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-07 14:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-07 15:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-07 16:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-07 17:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-07 18:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-07 19:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-07 20:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-07 21:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-07 22:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-07 23:00:00,15.3107,109.5112,8.9233,6.3874,34.69
HLA,2021-01-08 00:00:00,127.5489,531.8334,47.6501,79.8988,204.1585
HLA,2021-01-08 01:00:00,251.8311,714.785,72.8563,178.9747,350.8591
HLA,2021-01-08 02:00:00,337.7081,789.2371,86.956,250.7521,446.9473
HLA,2021-01-08 03:00:00,372.8315,811.9279,92.59,280.2416,485.879
HLA,2021-01-08 04:00:00,353.1416,795.4498,90.2696,262.8721,465.0039
HLA,2021-01-08 05:00:00,280.277,728.852,79.9232,200.3538,385.746
HLA,2021-01-08 06:00:00,164.8003,578.1117,58.6816,106.1187,253.5074
HLA,2021-01-08 07:00:00,38.34,216.2837,20.2423,18.0977,78.5164
HLA,2021-01-08 08:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-08 09:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-08 10:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-08 11:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-08 12:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-08 13:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-08 14:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-08 15:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-08 16:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-08 17:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-08 18:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-08 19:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-08 20:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-08 21:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-08 22:00:00,0.0,0.0,0.0,0.0,0.0
HLA,2021-01-08 23:00:00,15.7936,118.9885,8.753,7.0406,35.4918
HLA,2021-01-09 00:00:00,127.8679,540.2803,46.3845,81.4834,205.8765
HLA,2021-01-09 01:00:00,249.2776,697.9073,73.5523,175.7253,353.0446
HLA,2021-01-09 02:00:00,332.4839,754.713,91.3208,241.1631,449.6111
HLA,2021-01-09 03:00:00,367.0713,772.7289,98.6297,268.4416,488.9992
HLA,2021-01-09 04:00:00,348.9523,763.1274,94.8559,254.0964,468.5277
HLA,2021-01-09 05:00:00,278.0232,703.8919,82.63,195.3932,389.5934
HLA,2021-01-09 06:00:00,164.5757,561.663,59.8836,104.6921,257.5765
