site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
HSF,2021-01-01 00:00:00,231.2352,545.6633,81.9701,149.265,375.6339
HSF,2021-01-01 01:00:00,433.0929,698.4589,122.1798,310.9131,624.0682
HSF,2021-01-01 02:00:00,594.6364,765.7336,150.6518,443.9846,815.569
HSF,2021-01-01 03:00:00,698.7005,795.2111,169.2868,529.4137,937.0883
HSF,2021-01-01 04:00:00,735.3275,799.9913,178.2516,557.0759,980.345
HSF,2021-01-01 05:00:00,698.5563,775.5566,179.2183,519.338,942.3893
HSF,2021-01-01 06:00:00,592.2002,719.7419,169.338,422.8622,825.8053
HSF,2021-01-01 07:00:00,426.6328,616.3942,145.2678,281.365,638.5341
HSF,2021-01-01 08:00:00,223.4813,422.7337,101.2199,122.2614,393.3326
HSF,2021-01-01 09:00:00,43.3024,107.6323,29.5571,13.7453,110.2155
HSF,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
HSF,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
HSF,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
HSF,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
HSF,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
HSF,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
HSF,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
HSF,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
HSF,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
HSF,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
HSF,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
HSF,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
HSF,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
HSF,2021-01-01 23:00:00,39.8685,134.5906,24.2597,15.6088,93.0004
HSF,2021-01-02 00:00:00,225.4573,500.6683,88.2154,137.2419,374.6508
HSF,2021-01-02 01:00:00,430.0017,670.1915,131.6804,298.3213,623.6366
HSF,2021-01-02 02:00:00,595.479,746.1273,162.6839,432.7951,815.77
HSF,2021-01-02 03:00:00,702.3051,780.2531,182.3649,519.9402,937.9597
HSF,2021-01-02 04:00:00,739.8817,786.8221,191.1306,548.7511,981.8787
HSF,2021-01-02 05:00:00,703.4757,764.0106,190.7259,512.7498,944.532
HSF,2021-01-02 06:00:00,596.5618,708.8602,178.745,417.8167,828.4622
HSF,2021-01-02 07:00:00,429.7576,604.9924,152.2707,277.4869,641.5752
HSF,2021-01-02 08:00:00,225.7631,414.8195,104.8811,120.882,396.6021
HSF,2021-01-02 09:00:00,44.7067,108.3129,30.7013,14.0054,113.0462
HSF,2021-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0
HSF,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
HSF,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
HSF,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
HSF,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
HSF,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
HSF,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
HSF,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
HSF,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
HSF,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
