site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
HTF,2021-01-01 00:00:00,126.106,249.9831,74.7636,51.3424,261.2332
HTF,2021-01-01 01:00:00,317.8449,495.5981,135.308,182.5369,511.5017
HTF,2021-01-01 02:00:00,490.1657,634.5807,169.1071,321.0585,710.0314
HTF,2021-01-01 03:00:00,610.3403,709.0089,185.3432,424.997,843.2966
HTF,2021-01-01 04:00:00,664.8499,741.6708,189.5244,475.3254,902.2164
HTF,2021-01-01 05:00:00,649.1268,741.1654,184.321,464.8059,882.7748
HTF,2021-01-01 06:00:00,564.1746,703.1809,170.9512,393.2234,786.2945
HTF,2021-01-01 07:00:00,418.2746,613.9254,146.7472,271.5274,619.3475
HTF,2021-01-01 08:00:00,230.5674,438.8109,104.411,126.1565,393.3065
HTF,2021-01-01 09:00:00,51.845,128.066,34.834,17.011,124.3227
HTF,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-01 23:00:00,7.5104,13.5536,6.6403,0.8701,25.5826
HTF,2021-01-02 00:00:00,122.2363,225.3283,76.2928,45.9435,260.3334
HTF,2021-01-02 01:00:00,304.5943,427.5202,147.4567,157.1376,511.1134
HTF,2021-01-02 02:00:00,467.1106,529.483,199.321,267.7896,710.2416
HTF,2021-01-02 03:00:00,581.0819,581.7064,232.0575,349.0244,844.1513
HTF,2021-01-02 04:00:00,632.8373,602.22,246.2611,386.5762,903.7177
HTF,2021-01-02 05:00:00,614.5996,586.6735,245.7395,368.8601,884.8804
HTF,2021-01-02 06:00:00,528.6673,536.1559,227.6764,300.9909,788.9213
HTF,2021-01-02 07:00:00,384.6143,440.0233,188.6011,196.0132,622.3765
HTF,2021-01-02 08:00:00,204.728,275.7829,124.0176,80.7103,396.5916
HTF,2021-01-02 09:00:00,45.2998,64.1325,36.4541,8.8457,127.4896
HTF,2021-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
HTF,2021-01-02 23:00:00,6.0571,3.6853,5.8165,0.2406,25.106
HTF,2021-01-03 00:00:00,97.5452,91.2854,78.5011,19.0441,259.5569
HTF,2021-01-03 01:00:00,256.6562,224.2939,173.6473,83.0089,510.8549
HTF,2021-01-03 02:00:00,412.2848,322.5412,248.7204,163.5644,710.5847
HTF,2021-01-03 03:00:00,527.2313,387.7833,294.1242,233.1071,845.1382
HTF,2021-01-03 04:00:00,583.0364,425.074,309.6605,273.3759,905.347
