site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
JZB,2021-01-01 00:00:00,179.6082,488.9799,70.751,108.8572,303.634
JZB,2021-01-01 01:00:00,340.4701,671.9074,101.3438,239.1262,498.4991
JZB,2021-01-01 02:00:00,461.0882,756.0801,118.4335,342.6547,637.3799
JZB,2021-01-01 03:00:00,522.1539,778.8933,128.8991,393.2548,710.8148
JZB,2021-01-01 04:00:00,517.0696,754.8955,134.2352,382.8344,713.8
JZB,2021-01-01 05:00:00,449.0765,692.0248,130.9466,318.1299,646.1315
JZB,2021-01-01 06:00:00,324.7331,565.5692,117.22,207.5131,512.4191
JZB,2021-01-01 07:00:00,166.6066,356.2056,81.9295,84.6771,321.7722
JZB,2021-01-01 08:00:00,31.1777,82.2505,22.4433,8.7344,90.3409
JZB,2021-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-01 23:00:00,26.5881,80.8692,18.8696,7.7184,73.16
JZB,2021-01-02 00:00:00,157.102,347.7378,79.5178,77.5842,303.483
JZB,2021-01-02 01:00:00,300.8984,491.7597,125.7214,175.177,498.8725
JZB,2021-01-02 02:00:00,408.1604,547.9767,159.5344,248.626,638.3307
JZB,2021-01-02 03:00:00,467.1519,572.6887,177.3173,289.8347,712.3564
JZB,2021-01-02 04:00:00,471.0033,577.7581,177.1771,293.8262,715.9059
JZB,2021-01-02 05:00:00,413.7765,541.6949,163.8082,249.9683,648.7366
JZB,2021-01-02 06:00:00,302.0462,449.3909,136.2681,165.7782,515.4244
JZB,2021-01-02 07:00:00,157.114,282.2567,89.3066,67.8074,325.0514
JZB,2021-01-02 08:00:00,30.8435,64.574,23.8566,6.9869,93.2471
JZB,2021-01-02 09:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
JZB,2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
