site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
LCA,2021-01-01 00:00:00,92.947,277.8539,49.8607,43.0863,192.3912
LCA,2021-01-01 01:00:00,257.4681,581.5413,89.7769,167.6913,399.8308
LCA,2021-01-01 02:00:00,405.987,762.6801,103.1636,302.8235,557.0502
LCA,2021-01-01 03:00:00,497.8552,834.053,110.7449,387.1103,653.339
LCA,2021-01-01 04:00:00,520.5601,827.8758,119.4159,401.1443,682.137
LCA,2021-01-01 05:00:00,479.3616,785.9506,120.9607,358.4009,641.4818
LCA,2021-01-01 06:00:00,377.1854,695.8726,112.158,265.0273,534.1428
LCA,2021-01-01 07:00:00,228.0617,526.7386,88.0011,140.0606,367.4328
LCA,2021-01-01 08:00:00,69.5642,222.387,40.1733,29.3909,152.7091
LCA,2021-01-01 09:00:00,0.5129,0.4571,0.4856,0.0273,2.1298
LCA,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
LCA,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
LCA,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
LCA,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
LCA,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
LCA,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
LCA,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
LCA,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
LCA,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
LCA,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
LCA,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
LCA,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
LCA,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
LCA,2021-01-01 23:00:00,2.6893,4.178,2.5138,0.1755,11.3017
LCA,2021-01-02 00:00:00,71.1061,124.6353,51.7503,19.3559,192.1527
LCA,2021-01-02 01:00:00,191.3412,266.0438,114.5897,76.7515,400.0762
LCA,2021-01-02 02:00:00,296.7456,336.2519,163.2071,133.5384,557.8447
