site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
LZD,2021-01-01 00:00:00,2.4499,6.7523,2.2049,0.2451,8.223
LZD,2021-01-01 01:00:00,89.337,251.9708,52.8774,36.4596,177.3365
LZD,2021-01-01 02:00:00,249.5103,542.3714,100.9976,148.5128,379.4095
LZD,2021-01-01 03:00:00,387.4851,689.9976,126.163,261.3221,531.9157
LZD,2021-01-01 04:00:00,471.9883,745.6477,141.1298,330.8584,624.466
LZD,2021-01-01 05:00:00,495.5599,755.8629,146.161,349.3989,650.7552
LZD,2021-01-01 06:00:00,456.5125,730.6694,140.2515,316.261,608.9918
LZD,2021-01-01 07:00:00,358.9652,660.9091,122.4558,236.5093,502.0211
LZD,2021-01-01 08:00:00,214.8693,507.836,90.8161,124.0532,337.1307
LZD,2021-01-01 09:00:00,59.8463,196.9423,36.7312,23.1151,125.5542
LZD,2021-01-01 10:00:00,0.0222,0.0,0.0217,0.0005,0.0939
LZD,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-02 00:00:00,2.3925,6.622,2.1544,0.2381,8.1207
LZD,2021-01-02 01:00:00,85.8995,225.3684,53.5553,32.3442,177.1836
LZD,2021-01-02 02:00:00,236.2326,459.062,110.603,125.6296,379.7336
LZD,2021-01-02 03:00:00,367.1911,582.0508,146.3019,220.8892,532.7795
LZD,2021-01-02 04:00:00,449.4691,636.6714,166.3148,283.1542,625.8954
LZD,2021-01-02 05:00:00,471.6327,643.4565,173.2907,298.342,652.7377
LZD,2021-01-02 06:00:00,430.221,603.6953,167.7195,262.5016,611.4773
LZD,2021-01-02 07:00:00,330.6029,510.1003,146.6461,183.9567,504.9252
LZD,2021-01-02 08:00:00,190.522,347.711,104.1623,86.3597,340.3408
LZD,2021-01-02 09:00:00,51.7563,113.3524,38.0048,13.7515,128.9369
LZD,2021-01-02 10:00:00,0.0501,0.0,0.0496,0.0005,0.2336
LZD,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-03 00:00:00,2.3469,6.5891,2.1112,0.2357,8.0556
LZD,2021-01-03 01:00:00,86.0759,233.8897,52.4435,33.6325,177.1833
LZD,2021-01-03 02:00:00,238.1916,478.7551,107.0219,131.1697,380.2148
LZD,2021-01-03 03:00:00,372.2663,613.6055,138.8546,233.4117,533.8019
LZD,2021-01-03 04:00:00,459.0533,686.0173,153.1269,305.9264,627.4818
LZD,2021-01-03 05:00:00,485.7221,710.6324,155.1684,330.5537,654.8725
LZD,2021-01-03 06:00:00,448.4084,688.1977,147.9952,300.4132,614.1077
LZD,2021-01-03 07:00:00,351.3883,610.2034,130.329,221.0593,507.9647
LZD,2021-01-03 08:00:00,209.2967,452.3067,96.4632,112.8335,343.6751
LZD,2021-01-03 09:00:00,59.0868,165.0263,38.8916,20.1952,132.432
LZD,2021-01-03 10:00:00,0.0986,0.0,0.0967,0.0018,0.4244
LZD,2021-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-03 15:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-04 00:00:00,2.2189,4.5799,2.045,0.1739,8.0278
LZD,2021-01-04 01:00:00,81.371,194.3863,53.0812,28.2898,177.3363
LZD,2021-01-04 02:00:00,230.4758,435.2654,110.705,119.7708,380.8533
LZD,2021-01-04 03:00:00,363.4283,571.9429,145.4162,218.0121,534.9825
LZD,2021-01-04 04:00:00,447.58,633.8281,164.1649,283.415,629.2243
LZD,2021-01-04 05:00:00,472.1644,648.4268,169.4893,302.675,657.1583
LZD,2021-01-04 06:00:00,434.9682,623.3912,161.6195,273.3487,616.8813
LZD,2021-01-04 07:00:00,340.4705,551.1605,139.53,200.9405,511.1375
LZD,2021-01-04 08:00:00,202.2854,404.2153,100.3943,101.8911,347.1314
LZD,2021-01-04 09:00:00,57.8979,148.3298,39.4984,18.3994,136.0371
LZD,2021-01-04 10:00:00,0.1545,0.0,0.1513,0.0031,0.6712
LZD,2021-01-04 11:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-04 12:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-04 13:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-04 14:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-04 15:00:00,0.0,0.0,0.0,0.0,0.0
LZD,2021-01-04 16:00:00,0.0,0.0,0.0,0.0,0.0
