site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
NMD,2021-01-01 00:00:00,127.7695,597.9229,39.2353,88.5342,199.1242
NMD,2021-01-01 01:00:00,277.2699,811.0809,60.5045,216.7654,374.2834
NMD,2021-01-01 02:00:00,389.5876,896.8695,71.7367,317.8509,498.4467
NMD,2021-01-01 03:00:00,448.1735,923.2827,78.8366,369.3369,563.1561
NMD,2021-01-01 04:00:00,446.7872,908.333,82.8277,363.9595,564.0034
NMD,2021-01-01 05:00:00,386.3709,856.6257,81.1473,305.2237,500.931
NMD,2021-01-01 06:00:00,274.1866,755.4752,70.0086,204.1779,378.2363
NMD,2021-01-01 07:00:00,126.6071,534.8002,45.0741,81.533,204.2785
NMD,2021-01-01 08:00:00,10.078,74.3358,6.1284,3.9495,24.1627
NMD,2021-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0
NMD,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
NMD,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
NMD,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
NMD,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
NMD,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
NMD,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
NMD,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
NMD,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
NMD,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
NMD,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
NMD,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
NMD,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
NMD,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
NMD,2021-01-01 23:00:00,8.1883,52.9501,5.5311,2.6572,21.4947
NMD,2021-01-02 00:00:00,116.1673,454.9855,47.8348,68.3325,199.2877
NMD,2021-01-02 01:00:00,261.2205,682.0532,78.2745,182.946,374.9248
NMD,2021-01-02 02:00:00,372.9861,783.3911,94.6013,278.3848,499.6128
NMD,2021-01-02 03:00:00,433.7431,829.0745,101.0421,332.701,564.8582
NMD,2021-01-02 04:00:00,436.5437,838.4822,99.2989,337.2448,566.2164
