site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
NMG,2021-01-01 00:00:00,72.6548,312.9999,37.6419,35.0129,134.4143
NMG,2021-01-01 01:00:00,219.3898,595.938,82.5864,136.8033,319.1516
NMG,2021-01-01 02:00:00,343.4608,716.8765,110.5989,232.8619,456.316
NMG,2021-01-01 03:00:00,418.6567,768.3615,125.7185,292.9382,536.5641
NMG,2021-01-01 04:00:00,435.1916,777.0696,129.1519,306.0396,554.4294
NMG,2021-01-01 05:00:00,390.7333,743.0724,121.9688,268.7645,508.695
NMG,2021-01-01 06:00:00,290.6987,654.3707,102.6209,188.0778,402.477
NMG,2021-01-01 07:00:00,150.9106,465.7681,67.614,83.2966,243.0123
NMG,2021-01-01 08:00:00,22.8076,106.7556,14.964,7.8436,52.0063
NMG,2021-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0
NMG,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
NMG,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
NMG,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
NMG,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
NMG,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
NMG,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
NMG,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
NMG,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
NMG,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
NMG,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
NMG,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
NMG,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
NMG,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
NMG,2021-01-01 23:00:00,0.5064,0.0,0.4818,0.0246,1.8789
