site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
PDF,2021-01-01 00:00:00,90.7585,193.7787,57.9786,32.78,196.6549
PDF,2021-01-01 01:00:00,287.0675,488.9271,124.4236,162.644,458.679
PDF,2021-01-01 02:00:00,477.6709,673.2545,154.3696,323.3013,672.8463
PDF,2021-01-01 03:00:00,615.2258,756.4741,171.9296,443.2961,824.5659
PDF,2021-01-01 04:00:00,683.8552,771.1943,188.9294,494.9258,903.5
PDF,2021-01-01 05:00:00,681.4011,754.1336,196.9363,484.4648,904.2687
PDF,2021-01-01 06:00:00,606.8603,700.4377,194.9567,411.9036,826.818
PDF,2021-01-01 07:00:00,466.8032,596.4681,178.7614,288.0418,676.423
PDF,2021-01-01 08:00:00,279.3917,422.3989,137.242,142.1498,463.3288
PDF,2021-01-01 09:00:00,89.8599,166.8566,61.217,28.6429,202.052
PDF,2021-01-01 10:00:00,1.5503,1.8524,1.4816,0.0687,6.0423
PDF,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
PDF,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
PDF,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
PDF,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
PDF,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
PDF,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
PDF,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
PDF,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
PDF,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
PDF,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
PDF,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
PDF,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
PDF,2021-01-01 23:00:00,1.1911,1.3077,1.1476,0.0435,4.6996
PDF,2021-01-02 00:00:00,87.2183,163.2174,59.666,27.5523,195.6208
PDF,2021-01-02 01:00:00,277.9165,424.3691,136.7562,141.1603,458.1304
PDF,2021-01-02 02:00:00,466.1602,592.1699,181.7316,284.4285,672.8799
PDF,2021-01-02 03:00:00,603.2208,668.9348,210.8999,392.321,825.239
PDF,2021-01-02 04:00:00,671.54,680.1886,234.3982,437.1418,904.826
