site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
QYA,2021-01-01 00:00:00,213.1572,485.7706,85.5168,127.6404,358.7708
QYA,2021-01-01 01:00:00,404.8854,659.4445,126.0636,278.8219,592.282
QYA,2021-01-01 02:00:00,556.8541,737.9877,153.5131,403.341,768.6184
QYA,2021-01-01 03:00:00,652.1814,778.3416,167.8626,484.3188,875.7656
QYA,2021-01-01 04:00:00,681.3618,794.69,169.7036,511.6581,906.4219
QYA,2021-01-01 05:00:00,639.019,779.8723,163.2887,475.7303,858.4967
QYA,2021-01-01 06:00:00,529.0523,728.6354,147.8176,381.2348,735.2537
QYA,2021-01-01 07:00:00,363.0992,621.2003,120.6498,242.4493,545.0881
QYA,2021-01-01 08:00:00,166.2805,401.7494,75.5415,90.739,300.9544
QYA,2021-01-01 09:00:00,17.1866,58.2556,12.344,4.8426,47.2253
QYA,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-01 23:00:00,40.4836,160.8995,22.8163,17.6674,89.6672
QYA,2021-01-02 00:00:00,219.8432,526.1333,82.8149,137.0283,358.0374
QYA,2021-01-02 01:00:00,408.7837,666.3029,127.5269,281.2568,592.0966
QYA,2021-01-02 02:00:00,556.3248,718.5673,163.5641,392.7607,769.0537
QYA,2021-01-02 03:00:00,648.6145,746.996,183.2451,465.3694,876.852
QYA,2021-01-02 04:00:00,676.0129,758.8072,186.5366,489.4763,908.1452
QYA,2021-01-02 05:00:00,631.8953,738.5942,180.1071,451.7883,860.7994
QYA,2021-01-02 06:00:00,520.2196,679.2195,163.3633,356.8564,738.0386
QYA,2021-01-02 07:00:00,353.4183,561.2041,132.8206,220.5977,548.2253
QYA,2021-01-02 08:00:00,159.1385,339.5865,81.0986,78.0399,304.2902
QYA,2021-01-02 09:00:00,16.6358,44.741,12.8198,3.816,49.1404
QYA,2021-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-02 23:00:00,33.1666,74.7637,24.6643,8.5023,88.8409
QYA,2021-01-03 00:00:00,192.5482,345.6413,101.3192,91.229,357.4296
QYA,2021-01-03 01:00:00,375.6921,509.188,160.2,215.4921,592.0422
QYA,2021-01-03 02:00:00,523.1755,585.6103,202.6393,320.5362,769.6218
QYA,2021-01-03 03:00:00,615.1891,619.8102,228.524,386.6651,878.0693
QYA,2021-01-03 04:00:00,641.6805,624.8944,237.7652,403.9153,909.9941
QYA,2021-01-03 05:00:00,597.817,594.8832,232.8231,364.9939,863.2192
QYA,2021-01-03 06:00:00,489.3904,531.054,209.1481,280.2423,740.9297
QYA,2021-01-03 07:00:00,329.3824,418.9172,163.3809,166.0014,551.4559
QYA,2021-01-03 08:00:00,146.3715,228.6847,92.7209,53.6505,307.7056
QYA,2021-01-03 09:00:00,15.8933,25.501,13.6358,2.2575,51.1761
QYA,2021-01-03 10:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0
QYA,2021-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0
