site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
QYF,2021-01-01 00:00:00,190.9072,740.4283,45.5259,145.3813,271.6968
QYF,2021-01-01 01:00:00,336.048,884.6959,61.1136,274.9344,436.3456
QYF,2021-01-01 02:00:00,436.1274,943.7039,69.7617,366.3657,546.2933
QYF,2021-01-01 03:00:00,479.3661,959.6571,74.4241,404.9421,594.0499
QYF,2021-01-01 04:00:00,461.5183,942.5179,75.5495,385.9688,576.362
QYF,2021-01-01 05:00:00,384.3887,888.5782,71.7909,312.5978,494.4347
QYF,2021-01-01 06:00:00,255.5826,764.6268,61.5928,193.9898,353.8498
QYF,2021-01-01 07:00:00,96.5307,463.5733,36.6384,59.8924,164.1852
QYF,2021-01-01 08:00:00,2.3434,16.1976,1.7522,0.5912,6.8442
QYF,2021-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-01 23:00:00,34.2569,208.1674,16.9363,17.3207,69.0339
QYF,2021-01-02 00:00:00,178.4305,610.9818,58.0173,120.4132,271.9415
QYF,2021-01-02 01:00:00,316.998,748.4258,83.9683,233.0297,437.0933
QYF,2021-01-02 02:00:00,411.4379,796.9677,101.3516,310.0863,547.5816
QYF,2021-01-02 03:00:00,452.3084,809.9028,109.505,342.8035,595.8799
QYF,2021-01-02 04:00:00,435.4327,795.7047,108.2537,327.179,578.6979
QYF,2021-01-02 05:00:00,360.0687,737.2297,99.1271,260.9415,497.2062
QYF,2021-01-02 06:00:00,235.8269,609.7305,79.4643,156.3625,356.9572
QYF,2021-01-02 07:00:00,87.3258,338.7574,42.2215,45.1043,167.5061
QYF,2021-01-02 08:00:00,2.319,11.425,1.9047,0.4143,7.6984
QYF,2021-01-02 09:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-02 23:00:00,35.6571,247.2594,15.3139,20.3432,69.0441
QYF,2021-01-03 00:00:00,185.2406,688.1514,49.5468,135.6938,272.3465
QYF,2021-01-03 01:00:00,330.0074,837.888,68.5669,261.4404,438.0037
QYF,2021-01-03 02:00:00,430.8889,898.9302,80.155,350.7339,549.0322
QYF,2021-01-03 03:00:00,473.3786,907.2707,88.1077,385.2709,597.8687
QYF,2021-01-03 04:00:00,452.9963,874.0358,92.0297,360.9666,581.1863
QYF,2021-01-03 05:00:00,373.6316,799.5641,88.9229,284.7087,500.1218
QYF,2021-01-03 06:00:00,245.8404,663.2155,74.3706,171.4698,360.1985
QYF,2021-01-03 07:00:00,93.1056,384.3759,41.3939,51.7116,170.9496
QYF,2021-01-03 08:00:00,2.7426,15.966,2.1485,0.5942,8.6317
QYF,2021-01-03 09:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-03 10:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-03 15:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-03 23:00:00,29.6589,139.0105,17.7879,11.871,69.1743
QYF,2021-01-04 00:00:00,162.2442,477.4037,67.2436,95.0006,272.912
QYF,2021-01-04 01:00:00,297.2806,624.427,101.7907,195.4898,439.0767
QYF,2021-01-04 02:00:00,391.6011,679.2693,125.8004,265.8007,550.6443
QYF,2021-01-04 03:00:00,435.4102,705.5612,134.6779,300.7324,600.0151
QYF,2021-01-04 04:00:00,423.6482,713.3314,127.7969,295.8513,583.8257
QYF,2021-01-04 05:00:00,353.5183,675.7919,111.5553,241.9631,503.1794
QYF,2021-01-04 06:00:00,235.1426,575.4631,85.1043,150.0384,363.5713
QYF,2021-01-04 07:00:00,91.0567,345.0014,44.0902,46.9665,174.5134
QYF,2021-01-04 08:00:00,3.0257,17.1799,2.3683,0.6574,9.6489
QYF,2021-01-04 09:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-04 10:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-04 11:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-04 12:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-04 13:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-04 14:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-04 15:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-04 16:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-04 17:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-04 18:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-04 19:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-04 20:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-04 21:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-04 22:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-04 23:00:00,35.7133,239.6238,15.7226,19.9907,69.4248
QYF,2021-01-05 00:00:00,187.6027,691.4777,50.5509,137.0518,273.6383
QYF,2021-01-05 01:00:00,334.7566,846.0363,69.3548,265.4017,440.3119
QYF,2021-01-05 02:00:00,437.632,910.4398,80.2016,357.4304,552.4172
QYF,2021-01-05 03:00:00,482.2984,921.5618,88.0423,394.2561,602.3177
QYF,2021-01-05 04:00:00,464.2298,892.0778,92.3887,371.8412,586.6143
QYF,2021-01-05 05:00:00,386.2851,822.8535,89.691,296.5941,506.377
QYF,2021-01-05 06:00:00,257.8493,692.2776,75.6219,182.2274,367.0733
QYF,2021-01-05 07:00:00,101.5556,420.6801,43.357,58.1987,178.1948
QYF,2021-01-05 08:00:00,3.7038,23.9021,2.759,0.9447,10.7549
QYF,2021-01-05 09:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-05 10:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-05 11:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-05 12:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-05 13:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-05 14:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-05 15:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-05 16:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-05 17:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-05 18:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-05 19:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-05 20:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-05 21:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-05 22:00:00,0.0,0.0,0.0,0.0,0.0
QYF,2021-01-05 23:00:00,28.8622,110.6588,19.2295,9.6327,69.7961
QYF,2021-01-06 00:00:00,155.1172,391.082,76.9478,78.1694,274.5255
QYF,2021-01-06 01:00:00,279.4967,497.5598,122.9385,156.5582,441.709
QYF,2021-01-06 02:00:00,362.7577,519.0324,158.3842,204.3735,554.35
QYF,2021-01-06 03:00:00,398.1965,518.3442,175.5324,222.6641,604.7753
QYF,2021-01-06 04:00:00,379.7387,489.1077,174.7721,204.9666,589.5502
QYF,2021-01-06 05:00:00,306.3626,417.4702,154.5954,151.7672,509.7123
QYF,2021-01-06 06:00:00,198.5561,324.0563,112.2538,86.3023,370.7022
QYF,2021-01-06 07:00:00,77.923,177.3233,52.5599,25.363,181.9915
QYF,2021-01-06 08:00:00,3.3227,9.4504,2.9352,0.3875,11.954
QYF,2021-01-06 09:00:00,0.0,0.0,0.0,0.0,0.0
