site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
SJM,2021-01-01 00:00:00,177.7418,628.8749,58.361,119.3807,263.1015
SJM,2021-01-01 01:00:00,287.9562,779.2215,74.3508,213.6054,384.8877
SJM,2021-01-01 02:00:00,352.7142,848.1501,79.8123,272.9018,452.8119
SJM,2021-01-01 03:00:00,362.6959,864.1594,78.9399,283.756,462.2476
SJM,2021-01-01 04:00:00,316.8446,832.515,72.6174,244.2272,412.5528
SJM,2021-01-01 05:00:00,221.4264,739.9711,58.9252,162.5012,307.1138
SJM,2021-01-01 06:00:00,92.787,507.7386,33.7461,59.0408,153.1147
SJM,2021-01-01 07:00:00,3.8464,36.7174,2.4335,1.4129,9.8901
SJM,2021-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-01 23:00:00,54.9912,401.9299,20.0447,34.9465,96.0261
SJM,2021-01-02 00:00:00,185.3131,726.0214,48.1724,137.1407,263.8344
SJM,2021-01-02 01:00:00,288.3053,802.3066,68.0534,220.2519,386.1006
SJM,2021-01-02 02:00:00,344.8797,814.5194,81.936,262.9437,454.52
SJM,2021-01-02 03:00:00,349.689,792.4448,88.2278,261.4611,464.4328
SJM,2021-01-02 04:00:00,302.3178,736.5089,84.7424,217.5753,415.1644
SJM,2021-01-02 05:00:00,207.253,614.2477,70.6398,136.6131,310.0723
SJM,2021-01-02 06:00:00,83.8719,360.2372,40.1517,43.7202,156.3172
SJM,2021-01-02 07:00:00,3.5993,19.968,2.8232,0.7761,10.9593
SJM,2021-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-02 09:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-02 23:00:00,54.7941,395.4685,20.1877,34.6065,96.4897
SJM,2021-01-03 00:00:00,186.1316,727.6634,48.0828,138.0488,264.7381
SJM,2021-01-03 01:00:00,291.4756,815.7668,66.6779,224.7977,387.4849
SJM,2021-01-03 02:00:00,350.5684,837.1541,79.1825,271.386,456.3976
SJM,2021-01-03 03:00:00,358.9592,836.4771,81.6189,277.3403,466.7828
SJM,2021-01-03 04:00:00,315.66,814.7859,73.5712,242.0889,417.9339
SJM,2021-01-03 05:00:00,222.9591,733.8116,58.7542,164.2049,313.1801
SJM,2021-01-03 06:00:00,95.8258,509.4106,34.2789,61.5469,159.6592
SJM,2021-01-03 07:00:00,4.6702,45.1627,2.9371,1.7331,12.1271
SJM,2021-01-03 08:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-03 09:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-03 10:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-03 15:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-03 23:00:00,57.6716,454.1313,18.4109,39.2608,97.1535
SJM,2021-01-04 00:00:00,191.5657,776.0003,43.944,147.6217,265.8124
SJM,2021-01-04 01:00:00,298.0973,853.0926,62.1231,235.9742,389.0401
SJM,2021-01-04 02:00:00,358.1843,871.209,74.4963,283.688,458.4437
SJM,2021-01-04 03:00:00,366.8192,867.9471,77.4915,289.3277,469.2962
SJM,2021-01-04 04:00:00,322.9444,843.302,70.6299,252.3145,420.8596
SJM,2021-01-04 05:00:00,229.2497,761.2726,57.1785,172.0712,316.4352
SJM,2021-01-04 06:00:00,100.3855,540.4863,34.0565,66.3289,163.1384
SJM,2021-01-04 07:00:00,5.3894,55.1318,3.1996,2.1899,13.3992
SJM,2021-01-04 08:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-04 09:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-04 10:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-04 11:00:00,0.0,0.0,0.0,0.0,0.0
SJM,2021-01-04 12:00:00,0.0,0.0,0.0,0.0,0.0
