site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
SNF,2021-01-01 00:00:00,121.4387,434.8831,49.0774,72.3614,211.8556
SNF,2021-01-01 01:00:00,319.0447,740.2213,80.1728,238.8719,449.5982
SNF,2021-01-01 02:00:00,490.2877,880.8306,90.664,399.6237,637.2288
SNF,2021-01-01 03:00:00,605.8361,943.1709,95.1947,510.6414,761.9646
SNF,2021-01-01 04:00:00,654.3572,959.6395,98.6014,555.7559,815.3066
SNF,2021-01-01 05:00:00,634.1725,950.9042,98.0521,536.1204,793.6193
SNF,2021-01-01 06:00:00,546.5579,912.4992,93.4489,453.1089,698.379
SNF,2021-01-01 07:00:00,399.4001,827.6823,82.8777,316.5223,536.0737
SNF,2021-01-01 08:00:00,210.0108,641.6183,61.2065,148.8043,317.7602
SNF,2021-01-01 09:00:00,33.6882,181.0507,16.8499,16.8383,69.8193
SNF,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-01 23:00:00,3.5826,15.5043,2.9115,0.671,11.3999
SNF,2021-01-02 00:00:00,113.1891,362.0962,52.84,60.3491,211.1843
SNF,2021-01-02 01:00:00,300.1685,629.5201,97.0598,203.1088,449.4213
SNF,2021-01-02 02:00:00,462.3779,746.5696,123.5276,338.8504,637.6277
SNF,2021-01-02 03:00:00,572.5381,798.0323,139.8849,432.6532,762.9818
SNF,2021-01-02 04:00:00,619.2477,810.3972,148.9967,470.251,816.9423
SNF,2021-01-02 05:00:00,598.2379,790.3069,151.3637,446.8741,795.8315
SNF,2021-01-02 06:00:00,510.0722,727.2056,147.2342,362.838,701.0865
SNF,2021-01-02 07:00:00,363.8394,605.4797,130.1428,233.6966,539.1614
SNF,2021-01-02 08:00:00,181.5876,386.9583,89.2176,92.37,321.0873
SNF,2021-01-02 09:00:00,27.6617,71.9775,20.4521,7.2097,72.289
SNF,2021-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-02 23:00:00,3.0833,5.9559,2.8254,0.258,11.1716
SNF,2021-01-03 00:00:00,98.9366,216.8581,61.7312,37.2054,210.6472
SNF,2021-01-03 01:00:00,276.0217,464.3918,125.4369,150.5848,449.3845
SNF,2021-01-03 02:00:00,437.1303,600.7886,163.886,273.2444,638.1697
SNF,2021-01-03 03:00:00,550.9219,679.8933,181.5475,369.3744,764.1414
SNF,2021-01-03 04:00:00,604.0792,724.743,182.5914,421.4877,818.7162
SNF,2021-01-03 05:00:00,589.5169,733.9788,173.3665,416.1504,798.1747
SNF,2021-01-03 06:00:00,507.7008,700.0731,157.1961,350.5047,703.915
SNF,2021-01-03 07:00:00,366.9662,607.0192,131.6396,235.3267,542.3585
SNF,2021-01-03 08:00:00,187.6753,414.8239,88.2146,99.4606,324.5111
SNF,2021-01-03 09:00:00,29.9647,87.7544,21.1137,8.851,74.8573
SNF,2021-01-03 10:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-03 15:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-03 23:00:00,3.3801,11.4156,2.8962,0.4839,10.9533
SNF,2021-01-04 00:00:00,109.1148,305.6842,58.1519,50.9629,210.2452
SNF,2021-01-04 01:00:00,290.6879,542.5699,115.4961,175.1918,449.4883
SNF,2021-01-04 02:00:00,449.1991,646.3994,155.2744,293.9247,638.8544
SNF,2021-01-04 03:00:00,560.0759,702.8732,177.6463,382.4297,765.4425
SNF,2021-01-04 04:00:00,611.3903,735.7016,182.5432,428.8471,820.6271
SNF,2021-01-04 05:00:00,594.7759,733.4953,177.5731,417.2028,800.6472
SNF,2021-01-04 06:00:00,511.0836,690.3983,163.9183,347.1654,706.8627
SNF,2021-01-04 07:00:00,368.7619,590.146,138.4723,230.2897,545.6626
SNF,2021-01-04 08:00:00,188.3839,393.4621,92.871,95.5129,328.0288
SNF,2021-01-04 09:00:00,30.434,77.2688,22.3692,8.0649,77.526
SNF,2021-01-04 10:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-04 11:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-04 12:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-04 13:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-04 14:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-04 15:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-04 16:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-04 17:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-04 18:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-04 19:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-04 20:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-04 21:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-04 22:00:00,0.0,0.0,0.0,0.0,0.0
SNF,2021-01-04 23:00:00,2.4846,1.0445,2.4392,0.0455,10.809
SNF,2021-01-05 00:00:00,77.4656,72.9135,64.4889,12.9766,209.9793
SNF,2021-01-05 01:00:00,230.2867,226.2514,156.0138,74.2729,449.7332
SNF,2021-01-05 02:00:00,386.4789,362.4737,220.6852,165.7937,639.6819
SNF,2021-01-05 03:00:00,494.5458,425.0447,262.9572,231.5886,766.8845
SNF,2021-01-05 04:00:00,535.0145,416.062,291.919,243.0955,822.6736
SNF,2021-01-05 05:00:00,510.1093,379.5917,293.3727,216.7366,803.2471
SNF,2021-01-05 06:00:00,428.1544,330.5096,261.0916,167.0628,709.9272
SNF,2021-01-05 07:00:00,299.597,256.8263,198.3701,101.2269,549.0713
SNF,2021-01-05 08:00:00,146.7841,146.1537,110.5087,36.2754,331.6379
SNF,2021-01-05 09:00:00,24.4529,23.7992,21.8805,2.5724,80.27
SNF,2021-01-05 10:00:00,0.0,0.0,0.0,0.0,0.0
