site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
SPD,2021-01-01 00:00:00,24.7906,111.9123,15.589,9.2016,56.9724
SPD,2021-01-01 01:00:00,172.0057,507.1313,68.3337,103.672,277.4272
SPD,2021-01-01 02:00:00,337.4306,709.6779,99.3829,238.0476,469.6184
SPD,2021-01-01 03:00:00,462.4069,799.7954,117.1867,345.2202,607.0534
SPD,2021-01-01 04:00:00,529.6049,832.877,127.0597,402.5451,680.3694
SPD,2021-01-01 05:00:00,532.5852,829.1157,129.3766,403.2086,684.571
SPD,2021-01-01 06:00:00,471.9447,793.2621,122.6402,349.3044,619.3715
SPD,2021-01-01 07:00:00,353.707,711.4014,105.3833,248.3237,489.2125
SPD,2021-01-01 08:00:00,192.3851,532.0349,74.6629,117.7222,302.9613
SPD,2021-01-01 09:00:00,36.246,153.8719,21.6113,14.6346,78.5724
SPD,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
SPD,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
SPD,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
SPD,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
SPD,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
SPD,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
SPD,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
SPD,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
SPD,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
SPD,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
SPD,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
SPD,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
SPD,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
SPD,2021-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0
SPD,2021-01-02 00:00:00,23.0002,87.6301,15.7672,7.233,56.6682
SPD,2021-01-02 01:00:00,161.395,422.3098,74.8529,86.5421,277.3363
SPD,2021-01-02 02:00:00,320.0058,604.3713,117.0478,202.958,470.0414
SPD,2021-01-02 03:00:00,441.6512,689.8185,143.3481,298.3031,608.0429
SPD,2021-01-02 04:00:00,507.8062,724.8752,156.6541,351.152,681.9392
SPD,2021-01-02 05:00:00,510.2786,719.304,159.3829,350.8958,686.6956
SPD,2021-01-02 06:00:00,449.693,677.0633,150.2062,299.4868,621.9874
SPD,2021-01-02 07:00:00,332.8814,585.0535,127.1206,205.7609,492.2229
SPD,2021-01-02 08:00:00,176.9236,402.7974,86.2259,90.6977,306.2429
SPD,2021-01-02 09:00:00,33.0259,99.3925,23.2093,9.8165,81.3196
SPD,2021-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0
SPD,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
SPD,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
SPD,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
SPD,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
