site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
SYA,2021-01-01 00:00:00,172.3136,666.7419,47.6256,124.688,257.8049
SYA,2021-01-01 01:00:00,317.1658,807.842,70.6677,246.4981,428.3531
SYA,2021-01-01 02:00:00,419.1441,857.7398,87.019,332.1251,544.9078
SYA,2021-01-01 03:00:00,467.1531,871.657,95.9456,371.2075,599.5291
SYA,2021-01-01 04:00:00,455.907,857.0867,97.5405,358.3665,588.4958
SYA,2021-01-01 05:00:00,384.7896,802.2755,92.1862,292.6033,512.5595
SYA,2021-01-01 06:00:00,261.676,683.1418,77.1705,184.5055,376.8939
SYA,2021-01-01 07:00:00,108.0223,423.9131,45.93,62.0922,190.7417
SYA,2021-01-01 08:00:00,5.3689,32.5131,3.9254,1.4435,15.3462
SYA,2021-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0
SYA,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
SYA,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
SYA,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
SYA,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
SYA,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
SYA,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
SYA,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
SYA,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
SYA,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
SYA,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
SYA,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
SYA,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
SYA,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
SYA,2021-01-01 23:00:00,20.5184,81.9165,14.0804,6.438,55.588
SYA,2021-01-02 00:00:00,138.7862,384.8947,65.4928,73.2934,257.9883
SYA,2021-01-02 01:00:00,272.7974,553.3029,103.2281,169.5693,429.0361
SYA,2021-01-02 02:00:00,370.8246,626.2975,127.6552,243.1695,546.1321
SYA,2021-01-02 03:00:00,421.502,665.0078,137.4204,284.0815,601.2994
SYA,2021-01-02 04:00:00,418.688,681.3301,132.7638,285.9241,590.7798
SYA,2021-01-02 05:00:00,357.1159,652.5457,117.9251,239.1908,515.29
SYA,2021-01-02 06:00:00,243.6228,555.8856,92.1804,151.4424,379.9733
