site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
SYB,2021-01-01 00:00:00,210.03,446.1701,88.2443,121.7857,368.4279
SYB,2021-01-01 01:00:00,426.0063,657.2746,127.3434,298.6629,635.2306
SYB,2021-01-01 02:00:00,608.041,765.3978,146.6848,461.3561,847.077
SYB,2021-01-01 03:00:00,728.6769,808.5748,160.2695,568.4075,989.5329
SYB,2021-01-01 04:00:00,776.5848,807.3736,172.7822,603.8027,1052.89
SYB,2021-01-01 05:00:00,751.6464,780.4268,178.9506,572.6958,1032.8287
SYB,2021-01-01 06:00:00,655.8929,721.8282,178.0351,477.8578,930.7133
SYB,2021-01-01 07:00:00,498.0606,620.5191,164.3576,333.703,753.4986
SYB,2021-01-01 08:00:00,296.7661,453.5744,128.0231,168.743,513.2562
SYB,2021-01-01 09:00:00,96.7875,192.2716,60.3679,36.4197,226.3514
SYB,2021-01-01 10:00:00,1.9769,3.2616,1.8424,0.1345,8.1854
SYB,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
SYB,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
SYB,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
SYB,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
SYB,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
SYB,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
SYB,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
SYB,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
SYB,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
SYB,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
SYB,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
SYB,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
SYB,2021-01-01 23:00:00,33.3695,145.0366,17.8326,15.5369,77.4865
SYB,2021-01-02 00:00:00,221.4633,572.9171,67.4703,153.993,367.1396
SYB,2021-01-02 01:00:00,435.1305,750.1957,95.4272,339.7033,634.4849
SYB,2021-01-02 02:00:00,612.7794,829.3619,113.2686,499.5109,846.9666
SYB,2021-01-02 03:00:00,732.4261,858.6631,128.5003,603.9258,990.1072
SYB,2021-01-02 04:00:00,782.9078,854.9109,142.8026,640.1052,1054.1516
SYB,2021-01-02 05:00:00,760.8759,827.668,152.4201,608.4559,1034.7332
SYB,2021-01-02 06:00:00,667.4597,771.6488,155.3657,512.094,933.1721
SYB,2021-01-02 07:00:00,510.83,673.5583,147.3781,363.4518,756.3854
SYB,2021-01-02 08:00:00,308.8534,504.9403,120.1611,188.6923,516.4156
