site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
THL,2021-01-01 00:00:00,213.0606,437.5135,94.0167,119.044,374.5965
THL,2021-01-01 01:00:00,375.6943,572.7333,138.6421,237.0522,580.4472
THL,2021-01-01 02:00:00,495.6685,626.9956,171.5931,324.0754,727.2487
THL,2021-01-01 03:00:00,562.3286,654.235,188.1617,374.1668,804.9991
THL,2021-01-01 04:00:00,568.5727,664.8222,186.8013,381.7714,808.4001
THL,2021-01-01 05:00:00,507.7819,637.9138,173.4283,334.3535,737.2186
THL,2021-01-01 06:00:00,386.3692,562.0538,147.1963,239.1729,596.3033
THL,2021-01-01 07:00:00,222.3061,411.3387,104.1181,118.1881,395.2538
THL,2021-01-01 08:00:00,60.0223,151.0024,39.2963,20.726,147.7665
THL,2021-01-01 09:00:00,0.0564,0.0,0.0557,0.0007,0.2663
THL,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
THL,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
THL,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
THL,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
THL,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
THL,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
THL,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
THL,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
THL,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
THL,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
THL,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
THL,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
THL,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
THL,2021-01-01 23:00:00,48.8742,131.4177,32.2446,16.6296,123.2346
THL,2021-01-02 00:00:00,200.5383,375.236,98.9645,101.5737,374.2417
THL,2021-01-02 01:00:00,343.8012,451.0674,157.3573,186.444,580.6449
THL,2021-01-02 02:00:00,447.3468,478.306,199.9466,247.4002,728.0549
THL,2021-01-02 03:00:00,506.3223,497.2715,221.3979,284.9243,806.4283
