site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
TYA,2021-01-01 00:00:00,124.2337,234.9687,75.547,48.6867,266.2635
TYA,2021-01-01 01:00:00,304.6226,459.3909,137.1372,167.4853,506.4338
TYA,2021-01-01 02:00:00,466.3322,593.0781,173.0401,293.292,694.0152
TYA,2021-01-01 03:00:00,575.2366,659.8264,192.4892,382.7474,816.228
TYA,2021-01-01 04:00:00,617.7465,678.7162,200.8483,416.8982,864.7446
TYA,2021-01-01 05:00:00,591.447,662.7111,197.6566,393.7904,836.2578
TYA,2021-01-01 06:00:00,499.605,611.2106,180.908,318.697,732.707
TYA,2021-01-01 07:00:00,352.4568,509.2257,147.8356,204.6212,561.1461
TYA,2021-01-01 08:00:00,173.1042,320.0129,93.6602,79.4441,333.2624
TYA,2021-01-01 09:00:00,26.2757,57.7552,20.2823,5.9934,75.2296
TYA,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
TYA,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
TYA,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
TYA,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
TYA,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
TYA,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
TYA,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
TYA,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
TYA,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
TYA,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
TYA,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
TYA,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
TYA,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
TYA,2021-01-01 23:00:00,9.0735,20.6977,7.6757,1.3978,30.6653
TYA,2021-01-02 00:00:00,124.1295,246.0428,73.636,50.4934,265.5141
TYA,2021-01-02 01:00:00,300.7989,451.4075,136.5558,164.243,506.1989
TYA,2021-01-02 02:00:00,456.9934,562.4467,178.8647,278.1288,694.3756
TYA,2021-01-02 03:00:00,562.9815,616.7097,204.8198,358.1617,817.2236
TYA,2021-01-02 04:00:00,605.6404,631.8004,216.84,388.8004,866.372
TYA,2021-01-02 05:00:00,579.6735,611.3204,215.4394,364.2341,838.4706
TYA,2021-01-02 06:00:00,484.9352,536.9488,203.5219,281.4133,735.4189
TYA,2021-01-02 07:00:00,333.6149,399.8811,171.4595,162.1554,564.2368
TYA,2021-01-02 08:00:00,158.7463,215.1233,104.194,54.5523,336.5856
