site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
YCA,2021-01-01 00:00:00,124.6416,368.2614,58.8252,65.8164,236.114
YCA,2021-01-01 01:00:00,281.8376,577.1942,99.7073,182.1304,440.717
YCA,2021-01-01 02:00:00,408.5517,669.0732,126.3867,282.165,592.843
YCA,2021-01-01 03:00:00,488.9644,721.8306,139.0475,349.9168,682.1285
YCA,2021-01-01 04:00:00,514.0401,753.1738,138.2222,375.8179,702.4901
YCA,2021-01-01 05:00:00,475.1068,746.8449,128.8028,346.3039,652.5399
YCA,2021-01-01 06:00:00,373.8717,685.7222,112.0683,261.8034,535.6807
YCA,2021-01-01 07:00:00,223.9449,536.4539,84.3059,139.6391,359.8736
YCA,2021-01-01 08:00:00,63.6781,226.6164,35.534,28.1441,137.0957
YCA,2021-01-01 09:00:00,0.0852,0.0,0.0825,0.0028,0.3653
YCA,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
YCA,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
YCA,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
YCA,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
YCA,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
YCA,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
YCA,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
YCA,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
YCA,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
YCA,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
YCA,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
YCA,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
YCA,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
YCA,2021-01-01 23:00:00,8.7315,26.6574,7.097,1.6345,28.4715
YCA,2021-01-02 00:00:00,108.6894,251.0855,63.7159,44.9735,235.8845
YCA,2021-01-02 01:00:00,244.3407,392.1288,120.6747,123.666,440.9881
YCA,2021-01-02 02:00:00,351.9798,439.8409,166.2641,185.7157,593.6762
YCA,2021-01-02 03:00:00,419.1423,469.2202,191.2402,227.9021,683.5469
YCA,2021-01-02 04:00:00,434.4751,473.5168,197.5155,236.9596,704.477
YCA,2021-01-02 05:00:00,390.2027,438.3158,185.9859,204.2168,655.04
YCA,2021-01-02 06:00:00,293.5284,360.083,154.8753,138.6531,538.6038
YCA,2021-01-02 07:00:00,164.5304,232.9845,102.6302,61.9002,363.1007
YCA,2021-01-02 08:00:00,44.6874,71.7906,35.2718,9.4156,140.4874
YCA,2021-01-02 09:00:00,0.1043,0.0,0.1037,0.0006,0.5727
YCA,2021-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0
YCA,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
YCA,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
YCA,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
