site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
YGA,2021-01-01 00:00:00,51.1115,104.401,37.2807,13.8309,129.8793
YGA,2021-01-01 01:00:00,211.7112,360.8919,111.2131,100.4981,380.5447
YGA,2021-01-01 02:00:00,380.3529,525.4033,160.4145,219.9384,585.9293
YGA,2021-01-01 03:00:00,504.4966,591.933,196.6116,307.885,731.9802
YGA,2021-01-01 04:00:00,565.3287,588.0921,227.5433,337.7854,808.7466
YGA,2021-01-01 05:00:00,559.9952,551.2975,242.3152,317.6801,810.997
YGA,2021-01-01 06:00:00,492.4456,500.2519,229.6225,262.823,738.577
YGA,2021-01-01 07:00:00,369.4903,416.2609,191.9863,177.504,596.4195
YGA,2021-01-01 08:00:00,207.6023,270.7081,129.3574,78.2449,394.2087
YGA,2021-01-01 09:00:00,54.4393,74.9085,43.7732,10.6662,145.7201
YGA,2021-01-01 10:00:00,0.0359,0.0,0.0358,0.0001,0.1833
YGA,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
YGA,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
YGA,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
YGA,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
YGA,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
YGA,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
YGA,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
YGA,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
YGA,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
YGA,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
YGA,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
YGA,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
YGA,2021-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0
YGA,2021-01-02 00:00:00,42.9041,45.014,36.8205,6.0836,129.103
YGA,2021-01-02 01:00:00,178.3907,184.7687,126.6596,51.7311,380.1968
YGA,2021-01-02 02:00:00,328.1105,292.2944,205.5562,122.5543,586.1362
