site,Time,ghi_clear_mcclear,dni_clear_mcclear,dhi_clear_mcclear,bhi_clear_mcclear,ghi_extra_mcclear
YTA,2021-01-01 00:00:00,238.9421,606.3021,76.4319,162.5103,369.513
YTA,2021-01-01 01:00:00,429.1414,761.019,107.0487,322.0927,593.7011
YTA,2021-01-01 02:00:00,575.3165,829.3884,127.3748,447.9418,759.7661
YTA,2021-01-01 03:00:00,662.5695,863.0496,137.4762,525.0933,856.3932
YTA,2021-01-01 04:00:00,682.6246,874.1797,138.0543,544.5703,876.9979
YTA,2021-01-01 05:00:00,631.5486,856.4833,132.388,499.1607,820.1743
YTA,2021-01-01 06:00:00,513.2259,800.1374,120.3735,392.8524,689.7928
YTA,2021-01-01 07:00:00,339.9062,679.7941,98.7956,241.1106,494.7349
YTA,2021-01-01 08:00:00,139.2979,420.3064,59.184,80.1139,248.2886
YTA,2021-01-01 09:00:00,7.6272,34.7264,5.6375,1.9898,21.9423
YTA,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-01 23:00:00,47.1571,174.4592,26.7906,20.3664,104.4432
YTA,2021-01-02 00:00:00,221.7381,496.2172,89.2989,132.4392,368.9063
YTA,2021-01-02 01:00:00,394.4267,596.8525,142.0395,252.3873,593.6465
YTA,2021-01-02 02:00:00,524.6486,628.0304,185.4333,339.2153,760.3303
YTA,2021-01-02 03:00:00,602.7403,641.4033,211.9416,390.7987,857.6008
YTA,2021-01-02 04:00:00,620.6756,646.8256,216.891,403.7846,878.8293
YTA,2021-01-02 05:00:00,568.4196,616.3615,208.0181,360.4014,822.5679
YTA,2021-01-02 06:00:00,447.944,529.322,186.2854,261.6586,692.6481
YTA,2021-01-02 07:00:00,278.013,376.2285,142.584,135.429,497.9203
YTA,2021-01-02 08:00:00,103.7728,169.0413,69.9738,33.7989,251.6501
YTA,2021-01-02 09:00:00,5.9131,9.3381,5.3493,0.5637,23.2914
YTA,2021-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-02 23:00:00,37.5107,70.604,28.9347,8.576,103.6749
YTA,2021-01-03 00:00:00,188.2234,282.77,111.7646,76.4588,368.4296
YTA,2021-01-03 01:00:00,355.4868,409.1904,181.7746,173.7122,593.7266
YTA,2021-01-03 02:00:00,488.1973,474.5856,231.3622,256.8351,761.0305
YTA,2021-01-03 03:00:00,568.2322,503.7494,260.8084,307.4237,858.9421
YTA,2021-01-03 04:00:00,586.5896,509.2612,267.9723,318.6173,880.789
YTA,2021-01-03 05:00:00,536.649,479.2162,255.5323,281.1167,825.0809
YTA,2021-01-03 06:00:00,426.6272,417.9478,219.3841,207.2431,695.6118
YTA,2021-01-03 07:00:00,271.9104,311.963,159.0149,112.8955,501.2014
YTA,2021-01-03 08:00:00,105.5036,140.8444,76.8916,28.612,255.0938
YTA,2021-01-03 09:00:00,6.4581,6.8241,6.0284,0.4297,24.6773
YTA,2021-01-03 10:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-03 15:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-03 23:00:00,35.7414,56.6291,28.7845,6.9569,102.976
YTA,2021-01-04 00:00:00,184.7708,264.147,112.869,71.9018,368.0837
YTA,2021-01-04 01:00:00,355.9106,413.4608,180.1796,175.731,593.9418
YTA,2021-01-04 02:00:00,493.6039,497.3245,224.0047,269.5992,761.8665
YTA,2021-01-04 03:00:00,576.2222,536.4911,248.2689,327.9533,860.4163
YTA,2021-01-04 04:00:00,593.9279,539.1349,255.8197,338.1083,882.8752
YTA,2021-01-04 05:00:00,543.3745,505.1939,246.0665,297.3079,827.7113
YTA,2021-01-04 06:00:00,431.0747,431.4249,216.0375,215.0372,698.6814
YTA,2021-01-04 07:00:00,272.8673,306.5287,160.963,111.9044,504.5754
YTA,2021-01-04 08:00:00,105.1471,128.2486,78.5669,26.5803,258.6168
YTA,2021-01-04 09:00:00,6.699,5.4986,6.3391,0.3599,26.1752
YTA,2021-01-04 10:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-04 11:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-04 12:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-04 13:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-04 14:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-04 15:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-04 16:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-04 17:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-04 18:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-04 19:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-04 20:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-04 21:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-04 22:00:00,0.0,0.0,0.0,0.0,0.0
YTA,2021-01-04 23:00:00,30.7234,25.2208,27.5714,3.1521,102.4334
YTA,2021-01-05 00:00:00,157.0043,134.1964,120.3199,36.6844,367.8695
YTA,2021-01-05 01:00:00,307.3916,220.0832,213.7475,93.6441,594.2922
YTA,2021-01-05 02:00:00,432.5335,268.5202,286.7205,145.813,762.8378
