site,status,path,n,latitude,longitude,elev,metadata_altitude
AKA,cached,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/AKA_mcclear_2021_hourly.csv,,,,,
ALF,cached,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/ALF_mcclear_2021_hourly.csv,,,,,
ASA,cached,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/ASA_mcclear_2021_hourly.csv,,,,,
BJC,cached,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/BJC_mcclear_2021_hourly.csv,,,,,
BJF,cached,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/BJF_mcclear_2021_hourly.csv,,,,,
BNF,cached,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/BNF_mcclear_2021_hourly.csv,,,,,
CBF,cached,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/CBF_mcclear_2021_hourly.csv,,,,,
CLD,cached,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/CLD_mcclear_2021_hourly.csv,,,,,
CSA,cached,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/CSA_mcclear_2021_hourly.csv,,,,,
CWA,cached,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/CWA_mcclear_2021_hourly.csv,,,,,
DHF,cached,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/DHF_mcclear_2021_hourly.csv,,,,,
DHL,cached,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/DHL_mcclear_2021_hourly.csv,,,,,
DTL,cached,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/DTL_mcclear_2021_hourly.csv,,,,,
DYB,cached,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/DYB_mcclear_2021_hourly.csv,,,,,
ESD,cached,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/ESD_mcclear_2021_hourly.csv,,,,,
FKD,downloaded,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/FKD_mcclear_2021_hourly.csv,8760.0,47.29266667,87.93366667,461.0,461.0
FQA,downloaded,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/FQA_mcclear_2021_hourly.csv,8760.0,35.0001,114.4,67.5,67.5
GGF,downloaded,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/GGF_mcclear_2021_hourly.csv,8760.0,29.58333333,102.0001,3000.0,3000.0
GGS,downloaded,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/GGS_mcclear_2021_hourly.csv,8760.0,29.65,102.1166667,1640.0,1640.0
HBG,downloaded,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/HBG_mcclear_2021_hourly.csv,8760.0,37.53333333,101.25,3220.0,3220.0
HJA,downloaded,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/HJA_mcclear_2021_hourly.csv,8760.0,24.73333333,108.3166667,279.0,279.0
HLA,downloaded,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/HLA_mcclear_2021_hourly.csv,8760.0,47.45,126.9166667,236.0,236.0
HSF,downloaded,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/HSF_mcclear_2021_hourly.csv,8760.0,22.68333333,112.9,56.4,56.4
HTF,downloaded,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/HTF_mcclear_2021_hourly.csv,8760.0,26.85,109.6,557.0,557.0
JZB,downloaded,/Users/dengnan/Documents/git_store/FY4A_SWCOD/FY4A_data/McClear_clearsky/JZB_mcclear_2021_hourly.csv,8760.0,36.05,120.2666667,6.8,0.0
