Time,index,ghi,Sun_Zen,Sun_Azi,ghi_clear,T_a,rh,C01,C02,C03,C04,C05,C06,Sat_Azi,Sat_Zen,Sun_Azi_sat,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C05,WSA_C05,BSA_C06,WSA_C06,site
2021-04-14 04:00:00,174,879.9,30.713313114098973,172.75346520557946,879.0557718758753,291.91999999999996,16.07,0.1513,0.145,0.2023,0.0283,0.1898,0.1403,197.72,47.8,173.46,76.54,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.23,0.008,0.054,0.184,0.025,0.047,0.069808483185649,0.074502194,0.1037297443987782,0.114783592,0.1817377850489291,0.198211476,0.1585375219872978,0.157121884,0.1221512132585088,0.123981366,BJC
2021-04-17 06:00:00,184,730.1,37.61324870599389,225.81930543207403,796.229874369915,290.73999999999995,12.15,0.1488,0.142,0.1998,0.032,0.1858,0.14,197.72,47.8,226.28,82.44,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.231,0.008,0.054,0.184,0.025,0.047,0.0704213762632081,0.074502194,0.1053020670958193,0.114783592,0.1839627064705077,0.198211476,0.1587745266252036,0.158121884,0.1220182779071992,0.123981366,BJC
2021-04-08 06:00:00,164,700.6,40.06327188737915,222.25440288782005,777.305646254212,290.25,26.71,0.162,0.148,0.182,0.0293,0.19,0.138,197.72,47.8,222.72,85.5,1.32,0.096,0.004,0.019,0.158,0.075,0.044,0.277,0.106,0.081,0.23,0.008,0.054,0.194,0.08,0.058,0.0705650066438976,0.070581918,0.103231171423713,0.111573432,0.1741592506650238,0.185466122,0.1574992791016941,0.157121884,0.1206186583732406,0.129232644,BJC
2021-04-08 07:00:00,165,538.9,48.97762999128711,239.35138671826977,649.8792016659187,291.62,26.42,0.1498,0.1263,0.1498,0.0278,0.153,0.1068,197.72,47.8,239.68,88.76,1.32,0.096,0.004,0.019,0.158,0.075,0.044,0.277,0.106,0.081,0.23,0.008,0.054,0.194,0.08,0.058,0.0703049784723567,0.070581918,0.107217985970482,0.111573432,0.1792599847194635,0.185466122,0.1565251075169449,0.157121884,0.1245571641809743,0.129232644,BJC
2021-04-15 04:00:00,180,719.7,30.350679932024622,172.80193589815963,881.3313301506802,290.09999999999997,49.81,0.187,0.1743,0.2143,0.0318,0.1935,0.1443,197.72,47.8,173.52,76.2,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.23,0.008,0.054,0.184,0.025,0.047,0.0697871972983566,0.074502194,0.1036723580459696,0.114783592,0.1816589217518017,0.198211476,0.1585764829834714,0.157121884,0.1221638467685037,0.123981366,BJC
2021-04-06 04:00:00,151,689.4,33.705393344343626,172.32738374524433,858.3328330754301,290.16999999999996,32.96,0.1713,0.157,0.1903,0.035,0.1815,0.1377,197.72,47.8,172.98,79.3,1.32,0.094,0.004,0.018,0.159,0.076,0.044,0.271,0.103,0.079,0.224,0.008,0.053,0.201,0.083,0.061,0.0701108809372661,0.06995954,0.102622709097444,0.112762616,0.1687575027949033,0.181653814,0.1535446762640639,0.152499506,0.122158970817177,0.13266733,BJC
2021-04-30 07:00:00,224,683.5,44.36963560563232,247.73092713200265,691.6356673040168,284.40999999999997,54.57,0.1398,0.1113,0.1723,0.0308,0.1518,0.0973,197.72,47.8,248.04,81.62,1.32,0.09,0.031,0.019,0.132,0.067,0.032,0.313,0.137,0.078,0.236,0.008,0.056,0.171,0.023,0.043,0.0669345729938257,0.0696898859999999,0.094523932653814,0.1005914239999999,0.2192129466254692,0.231463692,0.160289529760759,0.1603666399999999,0.1144278128609921,0.116113486,BJC
2021-04-30 08:00:00,225,526.8,55.39643718461789,260.1070129135062,523.2656895902328,285.42999999999995,51.71,0.114,0.082,0.1133,0.0288,0.1145,0.0715,197.72,47.8,260.36,84.4,1.32,0.09,0.031,0.019,0.132,0.067,0.032,0.313,0.137,0.078,0.236,0.008,0.056,0.171,0.023,0.043,0.069677421337768,0.0696898859999999,0.1007905693130309,0.1005914239999999,0.2315574522751295,0.231463692,0.15908897937721,0.1603666399999999,0.1153833404449704,0.116113486,BJC
2021-04-19 05:00:00,197,710.2,30.51526528764709,202.74580183076665,874.5219639698859,296.62,29.63,0.1618,0.1543,0.2158,0.0303,0.2028,0.1488,197.72,47.8,203.4,78.34,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.231,0.008,0.054,0.184,0.025,0.047,0.0697967368755102,0.074502194,0.1036981216337789,0.114783592,0.1816942912793149,0.198211476,0.1595588199779672,0.158121884,0.1221580548879531,0.123981366,BJC
2021-04-18 06:00:00,191,713.6,37.35467269658244,226.21686282800076,798.2069595495457,295.17999999999995,17.61,0.1493,0.1395,0.198,0.029,0.1855,0.1365,197.72,47.8,226.68,82.12,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.231,0.008,0.054,0.184,0.025,0.047,0.0703905590923175,0.074502194,0.1052250892462263,0.114783592,0.1838520255905094,0.198211476,0.1588035608429521,0.158121884,0.1220189600362139,0.123981366,BJC
