Time,index,ghi,Sun_Zen,Sun_Azi,ghi_clear,T_a,rh,C01,C02,C03,C04,C05,C06,Sat_Azi,Sat_Zen,Sun_Azi_sat,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C05,WSA_C05,BSA_C06,WSA_C06,site
2021-04-17 02:00:00,225,862.2,40.51504876150602,118.47376713486464,736.2071607175297,288.65,22.72,0.1108,0.086,0.3153,0.03,0.1413,0.078,196.72,41.94,119.08,61.52,1.4,0.064,0.0,0.01,0.092,0.0,0.011,0.428,0.349,0.0,0.206,0.127,0.03,0.118,0.026,0.015,0.0504672422233667,0.05022378,0.0771139664457034,0.076846158,0.4509245579225904,0.494025216,0.1737439010430772,0.188697708,0.0994087100570768,0.102254454,FQA
2021-04-17 01:00:00,224,703.0,51.92648814827533,105.43446760309162,570.4726879145431,287.54999999999995,27.41,0.0898,0.0693,0.2582,0.0295,0.1143,0.0625,196.78,41.96,105.9,61.84,1.36,0.064,0.0,0.01,0.092,0.0,0.011,0.428,0.349,0.0,0.206,0.127,0.03,0.118,0.026,0.015,0.0500963278415574,0.05022378,0.0767059606257132,0.076846158,0.4849166099543149,0.494025216,0.185000758493721,0.188697708,0.1013846976615115,0.102254454,FQA
2021-04-13 05:00:00,214,838.3,27.22910760767386,200.32275899609436,890.6397558941019,287.95,35.6,0.172,0.1483,0.3688,0.0315,0.1998,0.1278,196.56,41.92,201.34,69.22,1.48,0.064,0.0,0.007,0.09,0.0,0.01,0.428,0.357,0.0,0.204,0.126,0.03,0.114,0.043,0.015,0.0547741376206822,0.054356646,0.0768201966009745,0.0762237799999999,0.4313585858716147,0.495538688,0.1656459730517288,0.1865085239999999,0.0946348304546255,0.101470582,FQA
2021-04-04 05:00:00,191,794.7,30.298554111194868,197.25224574948408,868.5549252423821,288.71,38.2,0.1798,0.1723,0.382,0.0335,0.243,0.1615,196.56,41.92,198.18,72.34,1.48,0.079,0.0,0.023,0.092,0.001,0.023,0.453,0.569,0.0,0.178,0.173,0.0,0.086,0.089,0.0,0.0485197138401297,0.047314694,0.0615377739653947,0.060503878,0.463276211275818,0.560645696,0.181124401670855,0.2107288319999999,0.0876073511485901,0.102837376,FQA
2021-04-14 02:00:00,217,721.9,41.37542206343959,119.4756087756969,728.1490028364153,288.4,42.6,0.1448,0.1198,0.305,0.0373,0.1505,0.0865,196.72,41.94,120.08,62.58,1.4,0.064,0.0,0.007,0.091,0.0,0.01,0.427,0.358,0.0,0.205,0.126,0.03,0.114,0.042,0.015,0.0545088215974637,0.054356646,0.0774411737106624,0.0772237799999999,0.4525037763198944,0.494727872,0.1732997105630117,0.1875085239999999,0.0966538237096684,0.101281398,FQA
2021-04-18 01:00:00,231,662.8,51.67353504058589,105.11794506943627,573.3085233774356,287.22999999999996,41.03,0.1075,0.0858,0.2468,0.032,0.1238,0.0683,196.72,41.94,105.54,61.54,1.4,0.064,0.0,0.01,0.092,0.0,0.011,0.428,0.35,0.0,0.206,0.127,0.03,0.117,0.025,0.015,0.0501050748842728,0.05022378,0.0767155823727001,0.076846158,0.4841125868262613,0.4942144,0.184676077586919,0.188697708,0.1001656542425707,0.10106527,FQA
2021-04-06 03:00:00,193,850.8,34.54809732877443,140.65529697655523,820.1915950834855,287.12,47.71,0.1455,0.1268,0.2953,0.0325,0.1678,0.1013,196.64,41.94,141.46,66.42,1.44,0.076,0.0,0.022,0.093,0.001,0.024,0.452,0.568,0.0,0.172,0.167,0.0,0.084,0.087,0.0,0.0466034859142346,0.045692316,0.0609651251293409,0.0601262559999999,0.4713401651544235,0.559456512,0.1776862809520928,0.2035937279999999,0.0869623140289345,0.100459008,FQA
2021-04-10 02:00:00,204,882.5,42.57555266031145,120.7756636345658,715.0272179157863,288.84,46.65,0.137,0.1073,0.2738,0.0303,0.1475,0.0973,196.72,41.94,121.38,64.04,1.4,0.068,0.0,0.005,0.097,0.0,0.014,0.425,0.299,0.0,0.183,0.178,0.0,0.116,0.072,0.017,0.0612021213594364,0.06111189,0.0779659398064219,0.077713292,0.4487512354704404,0.481566016,0.1971395314840749,0.216674752,0.0986065736718219,0.106201674,FQA
2021-04-14 01:00:00,216,608.2,52.70830751508991,106.38073014237035,561.0330972165995,286.89,47.37,0.1288,0.103,0.2623,0.036,0.1288,0.0738,196.78,41.96,106.86,62.92,1.36,0.064,0.0,0.007,0.091,0.0,0.01,0.427,0.358,0.0,0.205,0.126,0.03,0.114,0.042,0.015,0.05424841493616,0.054356646,0.0770691641945143,0.0772237799999999,0.4885095712637468,0.494727872,0.1848561126372641,0.1875085239999999,0.1003199529763452,0.101281398,FQA
2021-04-08 02:00:00,198,704.5,43.19618230186755,121.40949402004244,708.0222154251749,287.2,73.61,0.1578,0.132,0.284,0.0278,0.1493,0.0778,196.72,41.94,122.02,64.78,1.4,0.132,0.0,0.039,0.104,0.001,0.026,0.451,0.567,0.0,0.177,0.172,0.0,0.088,0.091,0.0,0.0789010769380002,0.078272742,0.0686846024775876,0.068371012,0.4985625222281418,0.558267328,0.1914281372543922,0.209539648,0.0956334912218005,0.105215744,FQA
