Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
2021-01-02 04:00:00,389.2,63.050417254419855,472.19127630746,269.60999999999996,65.29,0.1353,0.1063,0.1,0.0265,0.1335,0.1015,47.8,107.88,1.32,0.092,0.004,0.018,0.18,0.086,0.05,0.278,0.106,0.081,0.301,0.155,0.095,0.234,0.008,0.055,0.234,0.096,0.07,0.09358940633036654,0.06795954,0.20970623610288056,0.12738872399999998,0.3180942677547133,0.186466122,0.35905949530170334,0.19944942999999998,0.2395558126607331,0.15974426200000003,0.26926975192879693,0.15572812400000002,22.53797921796999
2021-01-02 05:00:00,360.9,63.630810650640655,461.2266756246563,270.60999999999996,60.22,0.1338,0.1075,0.103,0.029,0.141,0.1088,47.8,111.22,1.32,0.092,0.004,0.018,0.18,0.086,0.05,0.278,0.106,0.081,0.301,0.155,0.095,0.234,0.008,0.055,0.234,0.096,0.07,0.09362874218341463,0.06795954,0.2105519569434146,0.12738872399999998,0.31913666786048783,0.186466122,0.36058375960731703,0.19944942999999998,0.23963448436682927,0.15974426200000003,0.27021381240195125,0.15572812400000002,7.091495037464341
2021-01-03 04:00:00,420.3,62.96314575002461,473.6445978528149,269.17999999999995,25.5,0.1318,0.1055,0.1033,0.0278,0.1363,0.1033,47.8,107.76,1.32,0.093,0.004,0.018,0.179,0.086,0.05,0.278,0.106,0.082,0.301,0.155,0.095,0.237,0.008,0.056,0.233,0.096,0.07,0.09458355879312748,0.06895954,0.20858051405224076,0.12638872399999998,0.3181023080178782,0.18508850000000004,0.35883290323368977,0.19944942999999998,0.24265511758625494,0.16136663999999998,0.2681294110350595,0.15472812400000002,22.664519056149146
2021-01-04 05:00:00,449.0,63.40281331545076,465.15354839977584,271.32,22.23,0.132,0.1118,0.1153,0.0303,0.147,0.1148,47.8,110.98,1.32,0.093,0.004,0.018,0.179,0.086,0.05,0.278,0.106,0.081,0.301,0.155,0.095,0.237,0.008,0.056,0.233,0.096,0.07,0.09461319683450234,0.06895954,0.20921773194180016,0.12638872399999998,0.31872471611431186,0.186466122,0.3599813773369654,0.19944942999999998,0.24271439366900466,0.16136663999999998,0.26884072402805603,0.15472812400000002,7.2910506092811715
2021-01-05 05:00:00,434.6,63.27818742211947,467.30708910496077,268.41999999999996,20.72,0.132,0.1158,0.123,0.0315,0.1473,0.1143,47.8,110.84,1.32,0.093,0.004,0.018,0.179,0.086,0.05,0.278,0.106,0.082,0.301,0.155,0.095,0.237,0.008,0.056,0.233,0.096,0.07,0.09460475047924216,0.06895954,0.20903613530370627,0.12638872399999998,0.31866388769991705,0.18508850000000004,0.3596540810706334,0.19944942999999998,0.2426975009584843,0.16136663999999998,0.26863801150181166,0.15472812400000002,7.38707042723766
2021-01-06 04:00:00,477.8,62.65692746036491,478.8009776210029,261.57,15.72,0.1363,0.107,0.1055,0.0375,0.1345,0.1085,47.8,107.38,1.32,0.094,0.004,0.018,0.179,0.086,0.05,0.278,0.106,0.082,0.301,0.155,0.095,0.237,0.008,0.056,0.233,0.096,0.07,0.0955631792364824,0.06995954,0.20814235358437144,0.12638872399999998,0.31756224976678343,0.18508850000000004,0.3580431954136927,0.19944942999999998,0.24261435847296478,0.16136663999999998,0.26764030167557745,0.15472812400000002,23.040255855648155
2021-01-07 04:00:00,471.1,62.540175580806384,480.78151873880233,259.89,19.66,0.129,0.108,0.1083,0.0328,0.136,0.107,47.8,107.22,1.32,0.094,0.004,0.018,0.179,0.086,0.05,0.278,0.106,0.082,0.301,0.155,0.095,0.237,0.008,0.056,0.233,0.096,0.07,0.09555546562972339,0.06995954,0.20797651103905274,0.12638872399999998,0.3173578391876697,0.18508850000000004,0.35774429315178113,0.19944942999999998,0.24259893125944676,0.16136663999999998,0.26745517511336125,0.15472812400000002,23.16394545505929
2021-01-09 05:00:00,447.8,62.710122047676066,477.15250752775216,271.5,22.2,0.1385,0.1173,0.129,0.029,0.15,0.116,47.8,110.24,1.32,0.093,0.004,0.018,0.178,0.085,0.05,0.275,0.105,0.081,0.3,0.155,0.095,0.236,0.008,0.056,0.232,0.096,0.07,0.09456670404619683,0.06895954,0.20690746098168253,0.12519954,0.31418198121266666,0.183276938,0.35717978179012694,0.19844942999999998,0.24162140809239363,0.16036663999999998,0.2667248971087238,0.15372812400000002,7.744200395740592
2021-01-11 04:00:00,458.3,62.00099394610103,489.97615646254263,272.34999999999997,22.7,0.1335,0.107,0.1065,0.028,0.1383,0.1068,47.8,106.58,1.32,0.094,0.004,0.018,0.178,0.085,0.05,0.273,0.104,0.08,0.301,0.155,0.095,0.237,0.008,0.056,0.232,0.095,0.07,0.09552024525531187,0.06995954,0.20592021167537716,0.12519954,0.31050237663810853,0.182465376,0.3563795036433348,0.19944942999999998,0.24252849051062372,0.16136663999999998,0.26531082481365686,0.15353894,23.648576369232586
2021-01-11 05:00:00,430.2,62.38528276258935,482.7884493034468,273.06,21.58,0.136,0.1158,0.1235,0.0273,0.1483,0.1155,47.8,109.9,1.32,0.094,0.004,0.018,0.178,0.085,0.05,0.273,0.104,0.08,0.301,0.155,0.095,0.237,0.008,0.056,0.232,0.095,0.07,0.09554528010191253,0.06995954,0.20645220216564122,0.12519954,0.31115328264972575,0.182465376,0.3573496039491105,0.19944942999999998,0.24257856020382504,0.16136663999999998,0.2659054024204226,0.15353894,7.905331875378607
