index,Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
20,2021-01-28 05:00:00,491.6,58.63037508661978,550.3746470933046,268.76,12.69,0.142,0.1295,0.151,0.0355,0.173,0.1385,47.8,106.1,1.32,0.101,0.004,0.02,0.182,0.087,0.051,0.271,0.104,0.08,0.29,0.15,0.092,0.234,0.008,0.055,0.229,0.095,0.069,0.0737061443863746,0.074204296,0.1314224955285223,0.128200286,0.1836204213763254,0.180465376,0.1970429579061507,0.191636376,0.1581988569319339,0.159744262,0.1549478176678009,0.1519165619999999,8.692987897703603
1,2021-01-02 05:00:00,360.9,63.630810650640655,461.2266756246563,270.60999999999996,60.22,0.1338,0.1075,0.103,0.029,0.141,0.1088,47.8,111.22,1.32,0.092,0.004,0.018,0.18,0.086,0.05,0.278,0.106,0.081,0.301,0.155,0.095,0.234,0.008,0.055,0.234,0.096,0.07,0.0675157012324067,0.06795954,0.1364157320795039,0.1273887239999999,0.1965249835809525,0.186466122,0.2154499323658867,0.1994494299999999,0.1578096370165275,0.159744262,0.1650230975924762,0.155728124,7.091495037464341
23,2021-01-31 05:00:00,430.5,57.80431510925493,564.9806949213628,271.23999999999995,76.84,0.1543,0.136,0.1465,0.0298,0.1708,0.1385,47.8,105.28,1.32,0.102,0.004,0.02,0.182,0.087,0.051,0.27,0.103,0.079,0.29,0.149,0.092,0.234,0.008,0.055,0.23,0.095,0.069,0.0747196093162627,0.0752042959999999,0.1305616708363519,0.128200286,0.1828237767128538,0.180653814,0.1953349778630453,0.191447192,0.1582708526869147,0.159744262,0.1550478261891066,0.1529165619999999,8.70923312441397
17,2021-01-26 03:00:00,371.4,62.09902736009775,486.8169000817576,269.97999999999996,90.82,0.1325,0.1045,0.1003,0.028,0.126,0.095,47.8,100.36,1.32,0.1,0.004,0.019,0.181,0.087,0.05,0.267,0.102,0.078,0.287,0.148,0.091,0.231,0.008,0.055,0.227,0.094,0.069,0.0740894588670646,0.074581918,0.1358061772006118,0.128577908,0.1863597190489097,0.178842252,0.2016385216939918,0.1896356299999999,0.154919791522668,0.156744262,0.1567975860128762,0.149727378,41.17048406873809
9,2021-01-11 05:00:00,430.2,62.38528276258935,482.7884493034468,273.06,21.58,0.136,0.1158,0.1235,0.0273,0.1483,0.1155,47.8,109.9,1.32,0.094,0.004,0.018,0.178,0.085,0.05,0.273,0.104,0.08,0.301,0.155,0.095,0.237,0.008,0.056,0.232,0.095,0.07,0.0695159720166532,0.06995954,0.1325485685954764,0.12519954,0.1905074689374621,0.182465376,0.2126577001657974,0.1994494299999999,0.1594704906052405,0.1613666399999999,0.1610403154221918,0.15353894,7.905331875378607
10,2021-01-12 04:00:00,395.4,61.84843041104419,492.5849204689515,272.54999999999995,30.6,0.1345,0.1128,0.1063,0.0278,0.136,0.1058,47.8,106.4,1.32,0.094,0.004,0.018,0.178,0.085,0.05,0.273,0.104,0.08,0.301,0.155,0.095,0.237,0.008,0.056,0.232,0.095,0.07,0.0695170290237475,0.06995954,0.13190717429947,0.12519954,0.1897602864291531,0.182465376,0.2114957327025869,0.1994494299999999,0.1595125357891592,0.1613666399999999,0.1603516496817588,0.15353894,23.76671263297996
16,2021-01-21 04:00:00,404.7,60.16905116901684,522.7084777802519,274.10999999999996,51.21,0.1448,0.1238,0.1138,0.0288,0.1403,0.1085,47.8,104.54,1.32,0.096,0.004,0.019,0.178,0.085,0.049,0.265,0.101,0.078,0.293,0.151,0.093,0.24,0.008,0.057,0.226,0.093,0.068,0.0701039906983141,0.070581918,0.131407399133159,0.126577162,0.1815570815862246,0.176653068,0.2017772339174384,0.193447938,0.1612305202575565,0.1629890179999999,0.154592841668859,0.149915816,24.75520981933263
19,2021-01-26 05:00:00,440.9,59.1563882810833,540.9790626666907,273.97999999999996,89.23,0.1473,0.1338,0.1495,0.0308,0.162,0.1298,47.8,106.62,1.32,0.1,0.004,0.019,0.181,0.087,0.05,0.267,0.102,0.078,0.287,0.148,0.091,0.231,0.008,0.055,0.227,0.094,0.069,0.0741143107637387,0.074581918,0.1324028045494805,0.128577908,0.1825799643118506,0.178842252,0.1959133958719761,0.1896356299999999,0.1551540688159875,0.156744262,0.15328298815889,0.149727378,8.660508628691787
62,2021-02-17 05:00:00,651.4,52.41791054614294,653.381926121115,271.63,15.19,0.152,0.1468,0.1798,0.0358,0.2013,0.1705,47.8,99.98,1.32,0.095,0.004,0.018,0.174,0.083,0.048,0.257,0.098,0.075,0.272,0.14,0.086,0.22,0.008,0.052,0.217,0.089,0.065,0.0706168507302694,0.07095954,0.1211692112898858,0.1235764159999999,0.1691113327873522,0.172218382,0.1758771485192352,0.180010268,0.1489605434323092,0.149877128,0.1415152111529334,0.144291946,8.028598169285175
24,2021-02-02 05:00:00,506.5,57.23009368855504,575.0268064735276,271.2,15.98,0.1463,0.1343,0.156,0.033,0.1773,0.1458,47.8,104.7,1.32,0.102,0.004,0.02,0.182,0.087,0.051,0.271,0.103,0.079,0.29,0.15,0.092,0.235,0.008,0.055,0.23,0.095,0.069,0.0747296196187181,0.0752042959999999,0.1299811440363329,0.128200286,0.1831751946495365,0.181653814,0.1945785523754261,0.191636376,0.1593220549667639,0.1607442619999999,0.1544415868707554,0.1529165619999999,8.698109241923845
