Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,aod,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
2021-02-02 02:00:00,513.9,57.63144042256803,546.2654265471226,279.25,86.28,0.1278,0.1065,0.0983,0.0275,0.122,0.0858,40.58,79.22,0.24,0.300451,0.06,0.071,0.005,0.098,0.114,0.01,0.157,0.118,0.029,0.156,0.119,0.035,0.163,0.08,0.044,0.134,0.095,0.037,0.06953477454920107,0.06654395399999999,0.11052789604382196,0.10579075600000001,0.1436610614055211,0.139372674,0.13443110560757476,0.130296126,0.11962413802813751,0.11751935200000001,0.10400277899654084,0.10100046600000002,66.5002311953125
2021-02-02 03:00:00,618.4,51.2204918874274,655.8146074005273,279.65,83.74,0.1438,0.1235,0.126,0.028,0.1423,0.104,40.58,81.22,0.24,0.300451,0.06,0.071,0.005,0.098,0.114,0.01,0.157,0.118,0.029,0.156,0.119,0.035,0.163,0.08,0.044,0.134,0.095,0.037,0.06409707191851192,0.06654395399999999,0.10184163163379796,0.10579075600000001,0.13509272836637753,0.139372674,0.12592058868603398,0.130296126,0.11436678115728127,0.11751935200000001,0.09741400175883035,0.10100046600000002,50.66829609594623
2021-02-02 04:00:00,666.9,48.36905084217549,701.7098845186171,280.04999999999995,81.2,0.1493,0.1248,0.1373,0.0283,0.1425,0.11,40.58,84.82000000000001,0.24,0.300451,0.06,0.071,0.005,0.098,0.114,0.01,0.157,0.118,0.029,0.156,0.119,0.035,0.163,0.08,0.044,0.134,0.095,0.037,0.062118010231113456,0.06654395399999999,0.09868304541615756,0.10579075600000001,0.13200359974991607,0.139372674,0.12286090849585796,0.130296126,0.11250774699456334,0.11751935200000001,0.09505897357351645,0.10100046600000002,32.20367688531263
2021-02-02 05:00:00,650.9,49.70008948117426,680.5190507896687,280.52,77.89,0.1535,0.134,0.1513,0.0283,0.1605,0.1225,40.58,89.74,0.24,0.300451,0.06,0.071,0.005,0.098,0.114,0.01,0.157,0.118,0.029,0.156,0.119,0.035,0.163,0.08,0.044,0.134,0.095,0.037,0.06301003177032025,0.06654395399999999,0.1001064768921623,0.10579075600000001,0.13339347864918255,0.139372674,0.12423680263778594,0.130296126,0.11334106507557079,0.11751935200000001,0.09611681747519055,0.10100046600000002,13.230955685560446
2021-02-02 06:00:00,563.3,54.90763081617113,593.8173933669765,280.97999999999996,74.57,0.1468,0.118,0.1155,0.029,0.1463,0.1088,40.58,95.68,0.24,0.300451,0.06,0.071,0.005,0.098,0.114,0.01,0.157,0.118,0.029,0.156,0.119,0.035,0.163,0.08,0.044,0.134,0.095,0.037,0.06704964450036942,0.06654395399999999,0.10655695850830532,0.10579075600000001,0.13973305600653663,0.139372674,0.13052604985473343,0.130296126,0.11719895545047297,0.11751935200000001,0.10097383201904132,0.10100046600000002,3.721100540425084
2021-02-02 07:00:00,402.3,63.02811804814745,448.25523803441484,281.45,71.26,0.1273,0.0978,0.086,0.0273,0.1165,0.08,40.58,102.3,0.24,0.300451,0.06,0.071,0.005,0.098,0.114,0.01,0.157,0.118,0.029,0.156,0.119,0.035,0.163,0.08,0.044,0.134,0.095,0.037,0.07528206082839814,0.06654395399999999,0.11971674795547804,0.10579075600000001,0.1528017244673055,0.139372674,0.1435348808309905,0.130296126,0.12533752127282555,0.11751935200000001,0.11109047723559702,0.10100046600000002,17.57690929273133
2021-02-03 02:00:00,475.5,57.40152922242069,550.0309457718613,278.97999999999996,88.73,0.11,0.0833,0.0765,0.0275,0.1013,0.0675,40.58,78.92,0.24,0.300451,0.06,0.071,0.005,0.098,0.114,0.01,0.157,0.118,0.029,0.156,0.119,0.035,0.163,0.08,0.044,0.134,0.095,0.037,0.06931461349844974,0.06654395399999999,0.1101760392066764,0.10579075600000001,0.1433123806921678,0.139372674,0.13408425932113666,0.130296126,0.11940800206801733,0.11751935200000001,0.10373342471309913,0.10100046600000002,66.71645187650967
2021-02-03 03:00:00,617.8,50.953848804276916,659.8457565309908,281.91999999999996,77.46,0.126,0.0985,0.0995,0.0273,0.128,0.09,40.58,80.94,0.24,0.300451,0.06,0.071,0.005,0.098,0.114,0.01,0.157,0.118,0.029,0.156,0.119,0.035,0.163,0.08,0.044,0.134,0.095,0.037,0.06390107685816632,0.06654395399999999,0.10152874121180819,0.10579075600000001,0.13478593885489032,0.139372674,0.12561646919608427,0.130296126,0.1141810787638309,0.11751935200000001,0.09717951368088362,0.10100046600000002,50.82642730522019
2021-02-03 04:00:00,694.8,48.07833361010221,705.9282066952748,284.84999999999997,66.2,0.1435,0.1255,0.1295,0.032,0.1445,0.107,40.58,84.54,0.24,0.300451,0.06,0.071,0.005,0.098,0.114,0.01,0.157,0.118,0.029,0.156,0.119,0.035,0.163,0.08,0.044,0.134,0.095,0.037,0.06193041408040216,0.06654395399999999,0.09838374607748,0.10579075600000001,0.13171187609202226,0.139372674,0.12257229043793669,0.130296126,0.11233356108628564,0.11751935200000001,0.09483734531416205,0.10100046600000002,32.26108525427111
2021-02-03 05:00:00,662.8,49.40930884566782,684.8363454490167,285.91999999999996,63.19,0.1398,0.1203,0.1385,0.0278,0.155,0.1153,40.58,89.46000000000001,0.24,0.300451,0.06,0.071,0.005,0.098,0.114,0.01,0.157,0.118,0.029,0.156,0.119,0.035,0.163,0.08,0.044,0.134,0.095,0.037,0.06281047127667927,0.06654395399999999,0.09978799514650018,0.10579075600000001,0.13308216382849014,0.139372674,0.12392850894416686,0.130296126,0.11315394197561901,0.11751935200000001,0.0958796101648608,0.10100046600000002,13.173571230775025
