index,Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
41,2021-02-17 06:00:00,649.6,50.64788276680335,658.0669850815473,279.34999999999997,34.42,0.1483,0.126,0.1463,0.0288,0.1578,0.1218,40.58,91.3,0.24,0.073,0.032,0.018,0.09,0.077,0.016,0.14,0.092,0.03,0.141,0.122,0.029,0.152,0.075,0.041,0.125,0.078,0.033,0.0781054486094545,0.0542566919999999,0.1017613607165001,0.0825252159999999,0.1546466647521819,0.116076268,0.1600702728235456,0.12412941,0.1648875201784091,0.109706298,0.1377437809855455,0.094294826,6.623633388613342
42,2021-02-17 07:00:00,521.3,59.31431446526237,510.0425817947597,280.15,34.03,0.1248,0.0925,0.0953,0.0275,0.1218,0.087,40.58,97.98,0.24,0.073,0.032,0.018,0.09,0.077,0.016,0.14,0.092,0.03,0.141,0.122,0.029,0.152,0.075,0.041,0.125,0.078,0.033,0.0815673579172233,0.0542566919999999,0.1100915799883187,0.0825252159999999,0.1645996540120172,0.116076268,0.173268802059414,0.12412941,0.1730013701184922,0.109706298,0.1461821849232319,0.094294826,21.135475458123324
46,2021-02-18 04:00:00,801.8,43.18869250141988,771.2868368177833,280.34999999999997,40.96,0.1355,0.1185,0.1555,0.0283,0.158,0.1245,40.58,79.86,0.24,0.073,0.031,0.018,0.09,0.077,0.016,0.14,0.092,0.03,0.142,0.121,0.03,0.152,0.075,0.041,0.125,0.077,0.033,0.0759227287456182,0.054067508,0.0967109068842775,0.0825252159999999,0.1486123562773186,0.116076268,0.1530434251038646,0.1235626039999999,0.1599682469652053,0.109706298,0.1325439068842775,0.0941056419999999,32.70284270359474
44,2021-02-18 02:00:00,603.0,53.36984695637159,612.3217663525047,277.21999999999997,58.36,0.1043,0.0813,0.0888,0.0278,0.1118,0.0783,40.58,74.04,0.24,0.073,0.031,0.018,0.09,0.077,0.016,0.14,0.092,0.03,0.142,0.121,0.03,0.152,0.075,0.041,0.125,0.077,0.033,0.0788862401751169,0.054067508,0.1040718868865808,0.0825252159999999,0.1574072934229278,0.116076268,0.1646106793931985,0.1235626039999999,0.1671380326817346,0.109706298,0.1399048868865808,0.0941056419999999,70.09122251488878
3,2021-02-02 05:00:00,650.9,49.70008948117426,680.5190507896687,280.52,77.89,0.1535,0.134,0.1513,0.0283,0.1605,0.1225,40.58,89.74,0.24,0.06,0.071,0.005,0.098,0.114,0.01,0.157,0.118,0.029,0.156,0.119,0.035,0.163,0.08,0.044,0.134,0.095,0.037,0.0699487375729268,0.0665439539999999,0.1140338884973755,0.105790756,0.174333972304301,0.139372674,0.1738577432560324,0.130296126,0.1761176761385091,0.117519352,0.1486472404144796,0.101000466,13.230955685560446
27,2021-02-09 03:00:00,678.0,49.245430119175786,685.2425108354354,280.38,64.69,0.1315,0.1005,0.1095,0.028,0.133,0.0975,40.58,79.10000000000001,0.24,0.05,0.06,0.004,0.082,0.096,0.008,0.135,0.101,0.025,0.158,0.12,0.035,0.163,0.08,0.044,0.13,0.092,0.036,0.0581330605920823,0.055840552,0.0950512969473317,0.089140688,0.1492887186633385,0.119667034,0.1754591211841646,0.13248531,0.1757587474561097,0.117519352,0.1437421595745262,0.097810536,51.76487012401009
13,2021-02-04 02:00:00,528.6,57.16628155272655,553.8732413206878,279.78,73.76,0.1025,0.08,0.0795,0.0258,0.108,0.0733,40.58,78.64,0.24,0.061,0.071,0.005,0.098,0.114,0.01,0.157,0.118,0.029,0.156,0.119,0.035,0.163,0.08,0.044,0.134,0.095,0.037,0.0771609309274937,0.0675439539999999,0.1240083961371026,0.105790756,0.184658462668229,0.139372674,0.1842697293010106,0.130296126,0.1831173306225281,0.117519352,0.1569593301142522,0.101000466,66.93384942028007
2,2021-02-02 04:00:00,666.9,48.36905084217549,701.7098845186171,280.04999999999995,81.2,0.1493,0.1248,0.1373,0.0283,0.1425,0.11,40.58,84.82000000000001,0.24,0.06,0.071,0.005,0.098,0.114,0.01,0.157,0.118,0.029,0.156,0.119,0.035,0.163,0.08,0.044,0.134,0.095,0.037,0.0690343295811044,0.0665439539999999,0.1125656841161395,0.105790756,0.1728142519798637,0.139372674,0.1723251439457947,0.130296126,0.1750873572744838,0.117519352,0.1474237367634496,0.101000466,32.20367688531263
1,2021-02-02 03:00:00,618.4,51.2204918874274,655.8146074005273,279.65,83.74,0.1438,0.1235,0.126,0.028,0.1423,0.104,40.58,81.22,0.24,0.06,0.071,0.005,0.098,0.114,0.01,0.157,0.118,0.029,0.156,0.119,0.035,0.163,0.08,0.044,0.134,0.095,0.037,0.0710617273724656,0.0665439539999999,0.1158209425417054,0.105790756,0.1761837299993091,0.139372674,0.17572317686371,0.130296126,0.1773717491520739,0.117519352,0.1501364521180878,0.101000466,50.66829609594623
6,2021-02-03 02:00:00,475.5,57.40152922242069,550.0309457718613,278.97999999999996,88.73,0.11,0.0833,0.0765,0.0275,0.1013,0.0675,40.58,78.92,0.24,0.06,0.071,0.005,0.098,0.114,0.01,0.157,0.118,0.029,0.156,0.119,0.035,0.163,0.08,0.044,0.134,0.095,0.037,0.0763884404680656,0.0665439539999999,0.1243736931459082,0.105790756,0.1850365771159401,0.139372674,0.184651048108448,0.130296126,0.1833736794006373,0.117519352,0.1572637442882568,0.101000466,66.71645187650967
