Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
2021-01-01 03:00:00,444.0,64.0392620343014,466.7625193054649,269.28,41.28,0.0983,0.0758,0.0805,0.031,0.1483,0.1128,40.98,99.06,23.16,0.099,0.0,0.032,0.197,0.0,0.066,0.297,0.0,0.086,0.369,0.0,0.106,0.367,0.0,0.093,0.282,0.0,0.079,0.100024,0.054916096000000005,0.201356,0.106076948,0.304396,0.178524508,0.380236,0.222972068,0.375649,0.238881154,0.28824099999999997,0.17316786199999998,34.08424418117045
2021-01-01 04:00:00,526.6,59.52051433958022,556.3473239369431,271.29999999999995,36.23,0.1153,0.0928,0.1108,0.0288,0.19,0.15,40.98,98.66,23.16,0.099,0.0,0.032,0.197,0.0,0.066,0.297,0.0,0.086,0.369,0.0,0.106,0.367,0.0,0.093,0.282,0.0,0.079,0.100024,0.054916096000000005,0.201356,0.106076948,0.304396,0.178524508,0.380236,0.222972068,0.375649,0.238881154,0.28824099999999997,0.17316786199999998,19.271299074473973
2021-01-01 05:00:00,558.9,58.20858099235403,581.7005770359461,272.94,32.23,0.118,0.0998,0.13,0.0308,0.2048,0.1678,40.98,99.18,23.16,0.099,0.0,0.032,0.197,0.0,0.066,0.297,0.0,0.086,0.369,0.0,0.106,0.367,0.0,0.093,0.282,0.0,0.079,0.100024,0.054916096000000005,0.201356,0.106076948,0.304396,0.178524508,0.380236,0.222972068,0.375649,0.238881154,0.28824099999999997,0.17316786199999998,3.2081129667044763
2021-01-01 06:00:00,518.9,60.316022948266664,540.8213981654275,274.58,28.22,0.1078,0.0903,0.1028,0.0305,0.1858,0.1498,40.98,100.56,23.16,0.099,0.0,0.032,0.197,0.0,0.066,0.297,0.0,0.086,0.369,0.0,0.106,0.367,0.0,0.093,0.282,0.0,0.079,0.100024,0.054916096000000005,0.201356,0.106076948,0.304396,0.178524508,0.380236,0.222972068,0.375649,0.238881154,0.28824099999999997,0.17316786199999998,12.673570308052234
2021-01-02 03:00:00,393.3,64.00693320553553,466.9416192245877,271.73999999999995,37.39,0.1028,0.083,0.0818,0.0298,0.1388,0.1103,40.98,98.98,23.16,0.108,0.0,0.037,0.215,0.0,0.077,0.314,0.0,0.096,0.375,0.001,0.11,0.379,0.0,0.1,0.296,0.0,0.087,0.109369,0.057027986,0.220929,0.108923106,0.323216,0.181748288,0.3874326628308136,0.22365076400000003,0.389,0.2412378,0.303569,0.176146886,34.23397707598485
2021-01-02 04:00:00,468.9,59.45858374965969,557.065283395808,273.22999999999996,32.45,0.1293,0.0985,0.099,0.0335,0.1528,0.1243,40.98,98.58,23.16,0.108,0.0,0.037,0.215,0.0,0.077,0.314,0.0,0.096,0.375,0.001,0.11,0.379,0.0,0.1,0.296,0.0,0.087,0.109369,0.057027986,0.220929,0.108923106,0.323216,0.181748288,0.38735973055873024,0.22365076400000003,0.389,0.2412378,0.303569,0.176146886,19.41521517494516
2021-01-02 05:00:00,480.7,58.11774877774098,582.9548921754239,274.03,31.17,0.1575,0.1523,0.1723,0.0415,0.1833,0.143,40.98,99.08,23.16,0.108,0.0,0.037,0.215,0.0,0.077,0.314,0.0,0.096,0.375,0.001,0.11,0.379,0.0,0.1,0.296,0.0,0.087,0.109369,0.057027986,0.220929,0.108923106,0.323216,0.181748288,0.3873404044801721,0.22365076400000003,0.389,0.2412378,0.303569,0.176146886,3.3315845906365382
2021-01-02 06:00:00,543.1,60.202150689371656,542.5665331439639,274.82,29.89,0.126,0.1055,0.1103,0.0318,0.1678,0.1377,40.98,100.46,23.16,0.108,0.0,0.037,0.215,0.0,0.077,0.314,0.0,0.096,0.375,0.001,0.11,0.379,0.0,0.1,0.296,0.0,0.087,0.109369,0.057027986,0.220929,0.108923106,0.323216,0.181748288,0.38737086501115187,0.22365076400000003,0.389,0.2412378,0.303569,0.176146886,12.581926500510889
2021-01-03 04:00:00,486.2,59.38923530944695,557.920785689301,273.87,34.9,0.1223,0.1003,0.1098,0.0285,0.1843,0.1465,40.98,98.48,23.16,0.108,0.0,0.037,0.215,0.0,0.077,0.314,0.0,0.096,0.375,0.0,0.11,0.379,0.0,0.1,0.296,0.0,0.088,0.109369,0.057027986,0.220929,0.108923106,0.323216,0.181748288,0.3871,0.22346158000000002,0.389,0.2412378,0.30374399999999996,0.174769264,19.55991801728328
2021-01-03 05:00:00,534.9,58.01956677917848,584.3422667999423,274.9,32.73,0.119,0.1075,0.1273,0.0273,0.2005,0.1638,40.98,98.98,23.16,0.108,0.0,0.037,0.215,0.0,0.077,0.314,0.0,0.096,0.375,0.0,0.11,0.379,0.0,0.1,0.296,0.0,0.088,0.109369,0.057027986,0.220929,0.108923106,0.323216,0.181748288,0.3871,0.22346158000000002,0.389,0.2412378,0.30374399999999996,0.174769264,3.453690641008933
