Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,aod,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
2021-01-01 03:00:00,746.8,51.42656088238819,616.0594663957528,281.29999999999995,51.11,0.1115,0.0878,0.1268,0.028,0.12,0.0623,28.5,72.8,0.84,0.375391,0.023,0.013,0.001,0.032,0.002,0.0,0.286,0.0,0.04,0.295,0.0,0.056,0.185,0.11,0.046,0.058,0.054,0.003,0.023660841429015672,0.024081770000000002,0.03231530490903465,0.032378368,0.23045438081161904,0.23089511999999998,0.21723613313626666,0.21785316799999999,0.13846430793026743,0.142439628,0.06234731110480686,0.06408307,47.14844080050227
2021-01-01 04:00:00,788.7,46.858820580233825,688.8915624227801,283.14,37.91,0.1205,0.1045,0.155,0.0288,0.1425,0.0768,28.5,72.64,0.84,0.375391,0.023,0.013,0.001,0.032,0.002,0.0,0.286,0.0,0.04,0.295,0.0,0.056,0.185,0.11,0.046,0.058,0.054,0.003,0.0230983803658528,0.024081770000000002,0.03222640665279864,0.032378368,0.231069484906466,0.23089511999999998,0.21809727886905242,0.21785316799999999,0.13428227354636105,0.142439628,0.05999319099354819,0.06408307,29.89003184436217
2021-01-01 05:00:00,757.5,46.60338535526967,692.8210493266629,284.31,34.93,0.125,0.1095,0.1685,0.0278,0.149,0.0863,28.5,74.92,0.84,0.375391,0.023,0.013,0.001,0.032,0.002,0.0,0.286,0.0,0.04,0.295,0.0,0.056,0.185,0.11,0.046,0.058,0.054,0.003,0.023070352458439376,0.024081770000000002,0.032221965862274646,0.032378368,0.23110297414616726,0.23089511999999998,0.2181441638046342,0.21785316799999999,0.13407654269319785,0.142439628,0.05987580134237796,0.06408307,10.901128106280566
2021-01-01 06:00:00,649.6,50.725734149015715,627.538036199344,285.48999999999995,31.94,0.1208,0.0988,0.1413,0.0283,0.1345,0.0768,28.5,79.38,0.84,0.375391,0.023,0.013,0.001,0.032,0.002,0.0,0.286,0.0,0.04,0.295,0.0,0.056,0.185,0.11,0.046,0.058,0.054,0.003,0.023566767552017042,0.024081770000000002,0.032300461720730325,0.032378368,0.23055065469079705,0.23089511999999998,0.21737091656711588,0.21785316799999999,0.13775864753458456,0.142439628,0.06195376556152858,0.06408307,6.680830096653523
2021-01-01 07:00:00,474.5,58.30198885811828,498.2814178909645,286.66999999999996,28.6,0.0983,0.0788,0.098,0.028,0.1085,0.0538,28.5,85.66,0.84,0.375391,0.023,0.013,0.001,0.032,0.002,0.0,0.286,0.0,0.04,0.295,0.0,0.056,0.185,0.11,0.046,0.058,0.054,0.003,0.024746010871694302,0.024081770000000002,0.03248600667507265,0.032378368,0.22947869934888354,0.23089511999999998,0.21587017908843698,0.21785316799999999,0.14673087138021176,0.142439628,0.06688308267812779,0.06408307,20.884476529201322
2021-01-02 03:00:00,756.3,51.39972849379932,616.8215868354835,283.19,59.23,0.1095,0.0875,0.1128,0.029,0.1185,0.0668,28.5,72.72,0.84,0.375391,0.023,0.013,0.001,0.032,0.002,0.0,0.286,0.0,0.04,0.295,0.0,0.056,0.186,0.11,0.046,0.058,0.054,0.003,0.023657185991045653,0.024081770000000002,0.03231472831105784,0.032378368,0.23045807876678792,0.23089511999999998,0.21724131027350307,0.21785316799999999,0.1394368476899873,0.143439628,0.06233202030607076,0.06408307,47.32218452881557
2021-01-02 04:00:00,806.7,46.79264375544516,690.2394311978315,286.13,42.3,0.1245,0.1033,0.1593,0.0285,0.144,0.0765,28.5,72.56,0.84,0.375391,0.023,0.013,0.001,0.032,0.002,0.0,0.286,0.0,0.04,0.295,0.0,0.056,0.186,0.11,0.046,0.058,0.054,0.003,0.02309108546217901,0.024081770000000002,0.03222525095235636,0.032378368,0.23107817087450858,0.23089511999999998,0.21810943922431203,0.21785316799999999,0.13522869888528433,0.143439628,0.05996263852920969,0.06408307,30.057015011023736
2021-01-02 05:00:00,777.1,46.50090055367972,694.7219294215882,287.21,37.22,0.1188,0.1055,0.185,0.0283,0.1543,0.08,28.5,74.8,0.84,0.375391,0.023,0.013,0.001,0.032,0.002,0.0,0.286,0.0,0.04,0.295,0.0,0.056,0.186,0.11,0.046,0.058,0.054,0.003,0.02305920531948962,0.024081770000000002,0.0322201993494373,0.032378368,0.2311163819258865,0.23089511999999998,0.2181629346962411,0.21785316799999999,0.1349948034338211,0.143439628,0.05982911107924863,0.06408307,11.029978500061986
2021-01-02 06:00:00,679.6,50.59952366599764,629.9160357523235,288.28999999999996,32.13,0.1158,0.0993,0.1515,0.0273,0.1385,0.0753,28.5,79.26,0.84,0.375391,0.023,0.013,0.001,0.032,0.002,0.0,0.286,0.0,0.04,0.295,0.0,0.056,0.186,0.11,0.046,0.058,0.054,0.003,0.023550133854515962,0.024081770000000002,0.03229783627452242,0.032378368,0.2305679228048082,0.23089511999999998,0.2173950919267315,0.21785316799999999,0.13863410632426282,0.143439628,0.06188417362246608,0.06408307,6.605774792425564
2021-01-02 07:00:00,496.0,58.16518966641854,501.01372654206074,289.38,27.04,0.0955,0.0758,0.102,0.027,0.1098,0.0525,28.5,85.54,0.84,0.375391,0.023,0.013,0.001,0.032,0.002,0.0,0.286,0.0,0.04,0.295,0.0,0.056,0.186,0.11,0.046,0.058,0.054,0.003,0.024721400565470415,0.024081770000000002,0.03248214392052861,0.032378368,0.22949860328137822,0.23089511999999998,0.21589804459392953,0.21785316799999999,0.14754130940265847,0.143439628,0.06678028110037582,0.06408307,20.85495684265362
