index,Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
21,2021-01-08 07:00:00,361.5,64.01004219455108,403.47810233513064,275.94,21.3,0.1045,0.0813,0.0775,0.0263,0.0958,0.066,37.16,99.38,0.48,0.023,0.047,0.0,0.028,0.028,0.0,0.272,0.084,0.051,0.309,0.052,0.075,0.174,0.1,0.044,0.061,0.053,0.012,0.0386376856228167,0.031891648,0.0373160680306142,0.033297152,0.3025492040918426,0.217632734,0.3319262691997121,0.215515918,0.2092076715379078,0.132303032,0.0787779859150911,0.054495288,20.51728858895251
17,2021-01-08 03:00:00,579.7,57.0151174067693,529.9286431594634,269.04999999999995,35.82,0.1245,0.0908,0.084,0.0285,0.1023,0.0755,37.16,86.26,0.48,0.023,0.047,0.0,0.028,0.028,0.0,0.272,0.084,0.051,0.309,0.052,0.075,0.174,0.1,0.044,0.061,0.053,0.012,0.0335854678303493,0.031891648,0.0343062361542506,0.033297152,0.2935197084627521,0.217632734,0.3263365814293227,0.215515918,0.1984582719794667,0.132303032,0.0730808041491173,0.054495288,43.26652306680444
35,2021-01-12 04:00:00,610.9,52.75633527927908,602.2466759177476,275.91999999999996,39.66,0.1325,0.1083,0.1065,0.0275,0.1283,0.091,37.16,86.84,0.48,0.024,0.054,0.0,0.031,0.018,0.0,0.27,0.245,0.052,0.319,0.176,0.081,0.181,0.103,0.045,0.066,0.069,0.013,0.0333074458024683,0.034215936,0.0341024819341561,0.034405312,0.3149322263260137,0.244713736,0.3558963789117486,0.240709002,0.200778091067671,0.138492962,0.078061847414265,0.06114461,27.522208075972003
8,2021-01-02 03:00:00,548.2,57.40762379314254,523.8188245799258,275.66999999999996,50.17,0.1155,0.0888,0.0813,0.0283,0.1,0.0683,37.16,86.96000000000001,0.48,0.022,0.05,0.0,0.027,0.018,0.0,0.354,0.0,0.106,0.354,0.0,0.106,0.177,0.098,0.046,0.044,0.066,0.0,0.0335277194918695,0.0314592,0.031149979017073,0.030405312,0.365236,0.2079720679999999,0.365236,0.2079720679999999,0.2017103302040643,0.13216942,0.0592165897292678,0.0564861439999999,42.27907013022593
7,2021-01-02 02:00:00,436.6,64.03185704406839,403.8069709879747,273.46,55.64,0.097,0.0673,0.0605,0.0283,0.08,0.048,37.16,87.24,0.48,0.022,0.05,0.0,0.027,0.018,0.0,0.354,0.0,0.106,0.354,0.0,0.106,0.177,0.098,0.046,0.044,0.066,0.0,0.0386547483159511,0.0314592,0.0329957093937424,0.030405312,0.365236,0.2079720679999999,0.365236,0.2079720679999999,0.2117593066992643,0.13216942,0.0659842677770555,0.0564861439999999,56.191288530126826
56,2021-01-18 02:00:00,453.3,62.969217852170985,421.11162892130073,273.29999999999995,65.7,0.0948,0.0703,0.063,0.0255,0.0858,0.0525,37.16,84.98,0.48,0.024,0.054,0.0,0.031,0.018,0.0,0.27,0.244,0.052,0.318,0.175,0.08,0.18,0.102,0.045,0.065,0.069,0.013,0.041009528596469,0.034215936,0.0366698428654896,0.034405312,0.3495618699544159,0.244524552,0.3795234723033721,0.24089744,0.2141541095711082,0.137303778,0.0869033976510438,0.06014461,59.09924382449139
23,2021-01-09 04:00:00,602.5,53.17374607362025,595.7622511999547,267.17999999999995,86.41,0.1388,0.1253,0.12,0.0328,0.124,0.0898,37.16,87.34,0.48,0.022,0.049,0.0,0.028,0.049,0.0,0.276,0.171,0.054,0.313,0.146,0.079,0.174,0.099,0.043,0.063,0.049,0.012,0.0306802851973027,0.031270016,0.0366802851973027,0.037270016,0.3092084238518117,0.233958876,0.3451047069144123,0.231788726,0.1933867190721015,0.13349147,0.0718242851973027,0.055738552,27.094700209989924
22,2021-01-09 03:00:00,575.6,56.92477511824679,531.3608707678378,267.10999999999996,86.64,0.125,0.0955,0.087,0.033,0.1008,0.0665,37.16,86.12,0.48,0.022,0.049,0.0,0.028,0.049,0.0,0.276,0.171,0.054,0.313,0.146,0.079,0.174,0.099,0.043,0.063,0.049,0.012,0.032976334250868,0.031270016,0.038976334250868,0.037270016,0.3172211664673148,0.233958876,0.3519459959311577,0.231788726,0.1980256753231822,0.13349147,0.074120334250868,0.055738552,43.43782695348341
67,2021-01-28 02:00:00,375.1,61.46366735192622,446.5162080116301,276.46999999999997,93.97,0.138,0.1213,0.0988,0.0288,0.1198,0.0858,37.16,82.7,0.48,0.022,0.049,0.0,0.029,0.017,0.0,0.274,0.248,0.053,0.301,0.166,0.076,0.176,0.1,0.044,0.061,0.064,0.012,0.0362320476823944,0.031270016,0.0339376491959327,0.032216128,0.3488405882700778,0.247903666,0.3549906921485198,0.2277052719999999,0.2069809952701926,0.134303032,0.0797327969729233,0.056576312,61.24808314633191
65,2021-01-19 05:00:00,600.7,51.30922375113459,624.7503131571768,282.76,27.1,0.1358,0.126,0.14,0.028,0.1455,0.1058,37.16,88.14,0.48,0.024,0.054,0.0,0.031,0.018,0.0,0.27,0.244,0.052,0.319,0.175,0.08,0.18,0.102,0.045,0.065,0.069,0.013,0.0324452857139516,0.034215936,0.0338150952379838,0.034405312,0.3108641798926703,0.244524552,0.3527689814803988,0.24189744,0.1979772063485752,0.137303778,0.0759601984122715,0.06014461,10.472408593414144
